observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE12030,2876898,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61337,https://doi.org/10.15454/PJFLXT,RE12030,VIRTUAL_TRIAL,,,,,,,,2013,4,,2,,2,,2,
AO13002,2876874,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61273,https://doi.org/10.15454/2QGKAK,AO13002,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,5,,4,,1,
RE12005,2876881,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61290,https://doi.org/10.15454/Q9AAOE,RE12005,VIRTUAL_TRIAL,,,,,,,,2013,5,,5,,NA,,1,
RE12039,2876896,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61354,https://doi.org/10.15454/D4PG9N,RE12039,VIRTUAL_TRIAL,,,,,,,,2013,5,,2,,3,,1,
CF12048,2876886,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61386,https://doi.org/10.15454/SZ7V8T,CF12048,VIRTUAL_TRIAL,,,,,,,,2013,"3,5",,2,,3,,1,
CF12042,2876883,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61367,https://doi.org/10.15454/TFKRVB,CF12042,VIRTUAL_TRIAL,,,,,,,,2013,4,,5,,2,,2,
CF12062,2876884,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61428,https://doi.org/10.15454/F7YNUM,CF12062,VIRTUAL_TRIAL,,,,,,,,2013,"7,5",,5,,2,,2,
CF12130,2876897,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61462,https://doi.org/10.15454/9YFN5V,CF12130,VIRTUAL_TRIAL,,,,,,,,2013,4,,5,,2,,6,
CF12149,2876869,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61479,https://doi.org/10.15454/LE3Y6P,CF12149,VIRTUAL_TRIAL,,,,,,,,2013,3,,5,,NA,,3,
CF12164,2876872,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61495,https://doi.org/10.15454/79MDPU,CF12164,VIRTUAL_TRIAL,,,,,,,,2013,3,,5,,3,,7,
