observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI04012itkfi,2799121,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49639,gnpis_pui:holding-921_taxon-4898_accession-49639,DI04012,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,38",,"106,2",,"90,3",
DI04012itkt,2799122,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49639,gnpis_pui:holding-921_taxon-4898_accession-49639,DI04012,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,7",,"98,5",,"92,8",
RE03174itkt,2799096,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49640,gnpis_pui:holding-921_taxon-4898_accession-49640,RE03174,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,45",,"104,7",,"98,6",
RE03174itkfi,2799095,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49640,gnpis_pui:holding-921_taxon-4898_accession-49640,RE03174,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,74",,"107,7",,"91,6",
DI04009itkfi,2799177,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48478,gnpis_pui:holding-921_taxon-4898_accession-48478,DI04009,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,17",,"107,1",,"91,1",
DI04009itkt,2799178,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48478,gnpis_pui:holding-921_taxon-4898_accession-48478,DI04009,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,23",,"102,3",,"96,4",
CF03388itkfi,2799151,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48582,gnpis_pui:holding-921_taxon-4898_accession-48582,CF03388,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,22",,"91,7",,78,
CF03388itkt,2799152,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48582,gnpis_pui:holding-921_taxon-4898_accession-48582,CF03388,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,95",,"88,9",,"83,7",
EM03059itkfi,2799149,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48624,gnpis_pui:holding-921_taxon-4898_accession-48624,EM03059,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,62",,"112,2",,"95,4",
EM03059itkt,2799150,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48624,gnpis_pui:holding-921_taxon-4898_accession-48624,EM03059,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,6",,"109,7",,"103,3",
Apacheitkfi,2799135,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,3",,"105,5",,"89,8",
