observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI07019itkt,2826700,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,61759,https://doi.org/10.15454/SFPRAV,DI07019,VIRTUAL_TRIAL,,,,,,,,treated,2007,"23,6",,113,,NA,,100,,NA,,56,,NA,,86,,NA,,242,,35,,"0,31",,115,,41,,349,,"9,8",,"74,8",,NA,,1630,,"2,07",,NA,
DI06007itkt,2826729,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,treated,2007,"22,1",,99,,94,,NA,,"31,3",,NA,,"78,5",,NA,,204,,NA,,45,,"0,45",,162,,"8,5",,371,,"11,35",,"78,5",,1555,,NA,,"1,84",,25,
Barokitkt,2826664,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2007,"22,5",,103,,94,,NA,,54,,NA,,"73,5",,NA,,"221,5",,NA,,51,,"0,5",,150,,59,,423,,"11,065",,"78,8",,1725,,NA,,"2,13",,29,
RE06061itkt,2826721,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27831,https://doi.org/10.15454/BPSJCE,RE06061,VIRTUAL_TRIAL,,,,,,,,treated,2007,"16,2",,54,,NA,,94,,NA,,23,,NA,,61,,NA,,178,,38,,"0,71",,85,,4,,234,,"10,4",,"75,3",,NA,,950,,"1,65",,NA,
RE06055itkt,2826691,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,treated,2007,"17,8",,64,,NA,,100,,NA,,26,,NA,,86,,NA,,212,,43,,"0,67",,115,,21,,331,,"10,7",,"78,2",,NA,,1100,,"1,36",,NA,
RE06023itkt,2826701,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27827,https://doi.org/10.15454/B5PA3I,RE06023,VIRTUAL_TRIAL,,,,,,,,treated,2007,"25,3",,130,,NA,,100,,NA,,55,,NA,,61,,NA,,215,,50,,"0,39",,153,,67,,337,,"11,1",,"80,6",,NA,,1500,,"2,61",,NA,
RE06050itkt,2826699,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,treated,2007,"14,7",,44,,NA,,0,,NA,,0,,NA,,1,,NA,,1,,45,,"1,02",,85,,15,,288,,"10,8",,"78,8",,NA,,0,,"1,4",,NA,
RE06140itkt,2826703,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27834,https://doi.org/10.15454/YQFE3M,RE06140,VIRTUAL_TRIAL,,,,,,,,treated,2007,"22,7",,105,,NA,,100,,NA,,57,,NA,,96,,NA,,252,,54,,"0,51",,180,,6,,305,,"11,2",,"76,8",,NA,,1500,,"2,95",,NA,
AO07803itkt,2826678,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27764,https://doi.org/10.15454/NMXDOZ,AO07803,VIRTUAL_TRIAL,,,,,,,,treated,2007,"19,3",,76,,97,,NA,,"79,3",,NA,,"70,9",,NA,,"247,2",,NA,,62,,"0,83",,181,,"44,5",,342,,"10,9",,"79,2",,"1732,5",,NA,,"1,7",,32,
DI07016itkt,2826694,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27804,https://doi.org/10.15454/0DEDAU,DI07016,VIRTUAL_TRIAL,,,,,,,,treated,2007,"14,3",,42,,NA,,88,,NA,,6,,NA,,39,,NA,,133,,55,,"1,31",,102,,9,,360,,"11,1",,78,,NA,,850,,"1,86",,NA,
AO07218itkt,2826715,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27758,https://doi.org/10.15454/HQFX9Y,AO07218,VIRTUAL_TRIAL,,,,,,,,treated,2007,"24,8",,125,,97,,NA,,60,,NA,,79,,NA,,236,,NA,,54,,"0,44",,202,,53,,339,,"11,73",,"78,3",,1660,,NA,,"1,85",,35,
CF05173itkt,2826712,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2007,"18,9",,72,,84,,NA,,73,,NA,,"95,5",,NA,,"252,5",,NA,,74,,"1,03",,204,,12,,342,,"11,485",,"79,9",,1650,,NA,,3,,27,
DI07021itkt,2826677,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27806,https://doi.org/10.15454/HIUKXE,DI07021,VIRTUAL_TRIAL,,,,,,,,treated,2007,19,,73,,NA,,100,,NA,,24,,NA,,75,,NA,,199,,66,,"0,9",,190,,52,,327,,"10,3",,"76,2",,NA,,1220,,"2,46",,NA,
CF05079itkt,2826711,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2007,"16,1",,53,,88,,NA,,"33,8",,NA,,"79,9",,NA,,"201,7",,NA,,105,,"2,02",,233,,62,,354,,"11,625",,"80,7",,"1442,5",,NA,,"2,53",,44,
AO07438itkt,2826707,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27762,https://doi.org/10.15454/XHRZAO,AO07438,VIRTUAL_TRIAL,,,,,,,,treated,2007,"20,6",,86,,94,,NA,,"72,1",,NA,,"88,5",,NA,,"254,6",,NA,,69,,"0,8",,224,,"59,5",,405,,"11,97",,"76,4",,"1832,5",,NA,,"1,95",,48,
CF06136itkt,2826730,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2007,"20,6",,86,,NA,,100,,NA,,53,,NA,,87,,NA,,240,,63,,"0,73",,168,,65,,223,,"10,3",,"77,9",,NA,,1660,,"3,5",,NA,
DI05014itkt,2826683,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2007,"17,4",,61,,97,,NA,,"52,9",,NA,,"69,4",,NA,,"219,3",,NA,,54,,"0,89",,131,,9,,184,,"12,05",,79,,"1537,5",,NA,,"2,43",,25,
RE05007itkt,2826670,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,treated,2007,"24,8",,125,,100,,NA,,"50,9",,NA,,"62,4",,NA,,"213,3",,NA,,38,,"0,31",,127,,"46,5",,188,,"10,975",,"75,5",,"1767,5",,NA,,"2,53",,28,
CF05162itkt,2826686,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2007,"21,7",,96,,97,,NA,,"47,9",,NA,,85,,NA,,"229,9",,NA,,82,,"0,86",,234,,65,,388,,"11,805",,80,,1620,,NA,,"2,7",,42,
CF06016itkt,2826717,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,treated,2007,18,,65,,NA,,94,,NA,,23,,NA,,66,,NA,,184,,60,,"0,91",,160,,57,,384,,"11,4",,"78,4",,NA,,1200,,"2,15",,NA,
CF03201itkt,2826697,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2007,"20,4",,84,,85,,NA,,"59,3",,NA,,"92,5",,NA,,"236,8",,NA,,85,,"1,01",,249,,"56,5",,359,,"11,48",,"81,4",,"1672,5",,NA,,"2,25",,31,
AO07210itkt,2826676,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2007,19,,73,,91,,NA,,"61,6",,NA,,"73,9",,NA,,"226,5",,NA,,62,,"0,85",,174,,"12,5",,348,,"11,435",,"77,1",,1485,,NA,,"2,1",,23,
AO07302itkt,2826728,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,treated,2007,"13,5",,37,,82,,NA,,"5,9",,NA,,"69,5",,NA,,"157,4",,NA,,56,,"1,51",,94,,"10,5",,296,,"10,79",,"75,5",,1195,,NA,,"1,92",,19,
AO07403itkt,2826675,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27761,https://doi.org/10.15454/KYXZFC,AO07403,VIRTUAL_TRIAL,,,,,,,,treated,2007,"17,9",,65,,94,,NA,,"31,9",,NA,,"77,3",,NA,,"203,2",,NA,,50,,"0,77",,131,,"10,5",,333,,"11,295",,"76,4",,"1412,5",,NA,,"2,73",,29,
AO07311itkt,2826713,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27760,https://doi.org/10.15454/RMDMGI,AO07311,VIRTUAL_TRIAL,,,,,,,,treated,2007,"22,4",,102,,97,,NA,,"75,1",,NA,,91,,NA,,"263,1",,NA,,60,,"0,59",,185,,51,,341,,"10,25",,"80,3",,1665,,NA,,"1,81",,29,
CF04043itkt,2826698,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2007,"21,6",,95,,97,,NA,,"76,9",,NA,,"80,5",,NA,,"254,4",,NA,,55,,"0,59",,161,,49,,378,,"10,92",,"79,2",,1740,,NA,,"2,24",,33,
RE06134itkt,2826679,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2007,"18,8",,71,,NA,,100,,NA,,44,,NA,,87,,NA,,230,,52,,"0,73",,150,,1,,323,,"12,2",,"77,4",,NA,,1120,,"2,4",,NA,
Hendrixitkt,2826665,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2007,"21,6",,95,,NA,,100,,NA,,35,,NA,,87,,NA,,222,,82,,"0,87",,280,,59,,381,,"11,5",,"82,7",,NA,,1550,,"2,95",,NA,
Folkloritkt,2826671,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2007,"21,1",,90,,94,,NA,,"81,7",,NA,,"85,9",,NA,,"261,6",,NA,,75,,"0,83",,248,,65,,329,,"10,93",,"77,6",,1620,,NA,,"1,99",,34,
RE06060itkt,2826720,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2007,"17,1",,60,,NA,,94,,NA,,26,,NA,,83,,NA,,203,,44,,"0,74",,114,,16,,319,,"10,4",,"78,8",,NA,,1000,,"1,45",,NA,
RE06127itkt,2826710,BTH_Clermont-Ferrand_2007_TECH,BTH_Clermont-Ferrand_2007_TECH,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2007,"18,2",,67,,NA,,100,,NA,,39,,NA,,87,,NA,,226,,53,,"0,79",,138,,-7,,388,,11,,"77,9",,NA,,1100,,"2,76",,NA,
