observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF10286itkfi,2861156,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61040,https://doi.org/10.15454/ZPOAFD,CF10286,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,124,,"9,35",,"102,5",,1,,81,,1,,1,
CF10286itkt,2861157,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61040,https://doi.org/10.15454/ZPOAFD,CF10286,VIRTUAL_TRIAL,,,,,,,,treated,2011,92,,125,,"9,95",,98,,,,95,,,,,
Bermudeitkfi,2861146,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,132,,"8,62",,"97,2",,"4,5",,"76,9",,1,,1,
Apacheitkfi,2861170,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,128,,"8,93",,104,,"2,5",,"82,3",,1,,1,
CF10272itkt,2861165,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,60872,https://doi.org/10.15454/BXDSWF,CF10272,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,130,,"9,82",,"98,2",,,,"95,2",,,,,
DI11018itkfi,2861214,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61066,https://doi.org/10.15454/Y3MMR4,DI11018,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,135,,"9,4",,79,,1,,"62,5",,4,,1,
DI11016itkfi,2861210,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61022,https://doi.org/10.15454/59UTTT,DI11016,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,61,,130,,"8,68",,"92,9",,"5,5",,"73,5",,1,,1,
DI11018itkt,2861215,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61066,https://doi.org/10.15454/Y3MMR4,DI11018,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,137,,"9,64",,"99,5",,,,"96,5",,,,,
DI11021itkfi,2861168,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61108,https://doi.org/10.15454/2G0RQP,DI11021,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,129,,"7,66",,"77,7",,1,,"61,4",,3,,1,
RE10089itkt,2861217,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62022,https://doi.org/10.15454/85UUP2,RE10089,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,139,,"9,45",,"100,6",,,,"97,5",,,,,
RE10089itkfi,2861216,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62022,https://doi.org/10.15454/85UUP2,RE10089,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,136,,"9,06",,"95,4",,2,,"75,4",,1,,1,
RE10126itkfi,2861200,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,60914,https://doi.org/10.15454/BQJZTG,RE10126,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,72,,136,,"9,14",,"91,3",,"1,5",,"72,2",,1,,1,
AO11018itkt,2861139,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61496,https://doi.org/10.15454/SWFJCY,AO11018,VIRTUAL_TRIAL,,,,,,,,treated,2011,94,,133,,"9,7",,97,,,,"94,1",,,,,
DI11021itkt,2861169,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61108,https://doi.org/10.15454/2G0RQP,DI11021,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,130,,"9,52",,"90,4",,,,"87,6",,,,,
CF10299itkt,2861193,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,132,,"9,18",,"104,5",,,,"101,2",,,,,
DI11019itkt,2861213,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61080,https://doi.org/10.15454/9DKTE7,DI11019,VIRTUAL_TRIAL,,,,,,,,treated,2011,88,,138,,"8,93",,"100,9",,,,"97,8",,,,,
DI11016itkt,2861211,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61022,https://doi.org/10.15454/59UTTT,DI11016,VIRTUAL_TRIAL,,,,,,,,treated,2011,63,,131,,"10,41",,"84,6",,,,82,,,,,
CF10299itkfi,2861192,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,79,,131,,"8,13",,"101,8",,2,,"80,5",,1,,1,
AO11018itkfi,2861138,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61496,https://doi.org/10.15454/SWFJCY,AO11018,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,132,,"9,29",,"96,6",,2,,"76,4",,1,,1,
EM09227itkfi,2861184,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,133,,"8,7",,"96,7",,3,,"76,5",,1,,1,
Folkloritkt,2861153,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,136,,"10,36",,"96,6",,,,"93,6",,,,,
