observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Rumbaitkt,2766134,BTH_Clermont-Ferrand_2000_SetB3,BTH_Clermont-Ferrand_2000_SetB3,59728,https://doi.org/10.15454/AYEEVH,RUMBA,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,138,,12,,"98,3",,"90,8",
CF99228itkt,2766144,BTH_Clermont-Ferrand_2000_SetB3,BTH_Clermont-Ferrand_2000_SetB3,49255,gnpis_pui:holding-921_taxon-4898_accession-49255,CF99228,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,139,,"12,6",,"91,3",,"84,3",
CF00193itkt,2766143,BTH_Clermont-Ferrand_2000_SetB3,BTH_Clermont-Ferrand_2000_SetB3,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,142,,"15,1",,"89,3",,"82,5",
EM00019itkt,2766136,BTH_Clermont-Ferrand_2000_SetB3,BTH_Clermont-Ferrand_2000_SetB3,26862,https://doi.org/10.15454/SKKWNL,EM00019,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,143,,"12,3",,89,,"82,3",
EM00018itkt,2766135,BTH_Clermont-Ferrand_2000_SetB3,BTH_Clermont-Ferrand_2000_SetB3,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,144,,"11,1",,"100,3",,"92,7",
DI00025itkt,2766122,BTH_Clermont-Ferrand_2000_SetB3,BTH_Clermont-Ferrand_2000_SetB3,49206,gnpis_pui:holding-921_taxon-4898_accession-49206,DI00025,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,139,,14,,97,,"89,6",
RE00015itkt,2766148,BTH_Clermont-Ferrand_2000_SetB3,BTH_Clermont-Ferrand_2000_SetB3,49501,gnpis_pui:holding-921_taxon-4898_accession-49501,RE00015,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,137,,"11,6",,"99,9",,"92,3",
LM00003itkt,2766123,BTH_Clermont-Ferrand_2000_SetB3,BTH_Clermont-Ferrand_2000_SetB3,49082,gnpis_pui:holding-921_taxon-4898_accession-49082,LM00003,VIRTUAL_TRIAL,,,,,,,,treated,2000,105,,144,,"13,6",,"93,9",,"86,7",
RE00012itkt,2766147,BTH_Clermont-Ferrand_2000_SetB3,BTH_Clermont-Ferrand_2000_SetB3,48445,gnpis_pui:holding-921_taxon-4898_accession-48445,RE00012,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,140,,"11,2",,"89,6",,"82,8",
RE99159itkt,2766130,BTH_Clermont-Ferrand_2000_SetB3,BTH_Clermont-Ferrand_2000_SetB3,48432,gnpis_pui:holding-921_taxon-4898_accession-48432,RE99159,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,137,,"13,5",,89,,"82,3",
