observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,vp(CO_321:1000225),vp(CO_321:1000225).date
DI03003itkt,2792621,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26426,https://doi.org/10.15454/PIXJ6I,DI03003,VIRTUAL_TRIAL,,,,,,,,2003,24,,117,,82,,67,,63,,212,,48,,"0,41",,204,,18,,355,,11,,"78,9",,"1,91",
DI02008itkt,2792613,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,2003,"17,1",,59,,100,,"86,8",,"88,5",,275,,103,,"1,74",,240,,79,,372,,"11,045",,NA,,"2,75",
Recitalitkt,2792620,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,24059,https://doi.org/10.15454/WL6NIE,RECITAL,VIRTUAL_TRIAL,,,,,,,,2003,"15,65",,50,,"89,5",,"71,05",,"78,25",,239,,100,,2,,204,,63,,337,,"10,95",,"83,3",,"2,85",
Koreliitkt,2792608,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2003,"19,1",,74,,100,,"77,2",,86,,263,,94,,"1,27",,243,,93,,412,,"11,315",,NA,,"2,9",
RE01047itkt,2792618,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26097,https://doi.org/10.15454/3W80FR,RE01047,VIRTUAL_TRIAL,,,,,,,,2003,"21,4",,93,,97,,78,,58,,233,,50,,"0,54",,175,,14,,341,,"10,8",,"81,7",,"3,46",
RE02080itkt,2792603,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26100,https://doi.org/10.15454/AM3GAN,RE02080,VIRTUAL_TRIAL,,,,,,,,2003,"15,3",,48,,76,,46,,54,,176,,44,,"0,92",,95,,12,,351,,"9,5",,"77,9",,"2,6",
CF00193itkt,2792593,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,2003,"17,9",,65,,91,,"59,6",,97,,248,,105,,"1,61",,247,,74,,448,,"11,58",,NA,,"2,93",
RE01015itkt,2792626,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,2003,"17,9",,65,,100,,"76,9",,87,,264,,67,,"1,03",,172,,36,,356,,"11,21",,NA,,"1,95",
EM02224itkt,2792638,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,2003,"22,3",,101,,76,,59,,70,,206,,56,,"0,56",,195,,8,,311,,"10,9",,"78,2",,"2,9",
EM02054itkt,2792607,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,2003,"18,6",,70,,85,,84,,73,,242,,86,,"1,22",,208,,89,,346,,"10,8",,"83,3",,"2,98",
