observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI05022,2809992,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,3,,NA,,5,,3,,3,
DI05021,2809990,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,2005,7,,6,,NA,,5,,4,,1,
EM03332,2809993,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,2005,7,,6,,NA,,5,,3,,6,
CF04043,2809971,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,2005,"7,25",,6,,NA,,5,,4,,4,
CF04022,2809969,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,2005,"7,25",,4,,NA,,3,,4,,3,
CF04052,2809964,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,26897,https://doi.org/10.15454/Q627QP,CF04052,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",,6,,NA,,2,,7,,1,
RE04097,2809978,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48464,gnpis_pui:holding-921_taxon-4898_accession-48464,RE04097,VIRTUAL_TRIAL,,,,,,,,2005,"7,25",,4,,NA,,5,,4,,1,
CF04101,2809985,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,49054,gnpis_pui:holding-921_taxon-4898_accession-49054,CF04101,VIRTUAL_TRIAL,,,,,,,,2005,5,,6,,NA,,3,,4,,4,
RE04124,2809962,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,49453,gnpis_pui:holding-921_taxon-4898_accession-49453,RE04124,VIRTUAL_TRIAL,,,,,,,,2005,"7,25",,6,,NA,,2,,5,,1,
DI05026,2809996,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48489,gnpis_pui:holding-921_taxon-4898_accession-48489,DI05026,VIRTUAL_TRIAL,,,,,,,,2005,"3,25",,6,,NA,,5,,3,,1,
