observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI06024itkt,2817856,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49274,https://doi.org/10.15454/WL2TYG,DI06024,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,"51,3",,"141,5",,"12,11",,"75,2",,"109,8",,"113,1",,,
CF05001itkt,2817810,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48455,gnpis_pui:holding-921_taxon-4898_accession-48455,CF05001,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"43,3",,"151,5",,"12,29",,"78,6",,"94,9",,"97,8",,,
CF05001itkfi,2817809,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48455,gnpis_pui:holding-921_taxon-4898_accession-48455,CF05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,45,,"148,5",,"9,96",,74,,"101,5",,"90,4",,NA,
Apacheitkt,2817822,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2006,78,,"43,8",,142,,"12,08",,"75,6",,"92,3",,"95,1",,,
RE05140itkfi,2817843,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49743,gnpis_pui:holding-921_taxon-4898_accession-49743,RE05140,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,"45,2",,150,,"10,11",,"69,8",,"101,1",,90,,NA,
CF05173itkfi,2817835,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"50,5",,144,,"11,14",,"73,2",,"106,4",,"94,7",,NA,
CF05173itkt,2817836,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2006,78,,"49,3",,"145,5",,"12,34",,"76,4",,"101,7",,"104,7",,,
CF05138itkfi,2817849,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49473,https://doi.org/10.15454/MHX4J5,CF05138,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"49,3",,"148,5",,"10,22",,"65,2",,"105,4",,"93,9",,NA,
RE05140itkt,2817844,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49743,gnpis_pui:holding-921_taxon-4898_accession-49743,RE05140,VIRTUAL_TRIAL,,,,,,,,treated,2006,88,,"43,9",,151,,"11,16",,"69,4",,"93,7",,"96,6",,,
AO06801itkt,2817816,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49266,gnpis_pui:holding-921_taxon-4898_accession-49266,AO06801,VIRTUAL_TRIAL,,,,,,,,treated,2006,78,,"40,6",,141,,"11,5",,67,,"100,2",,"103,2",,,
Folkloritkt,2817796,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2006,88,,"50,3",,148,,"11,18",,"74,2",,"104,8",,108,,,
Folkloritkfi,2817795,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,54,,"147,5",,"9,88",,"70,8",,"111,9",,"99,6",,NA,
AO06801itkfi,2817815,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49266,gnpis_pui:holding-921_taxon-4898_accession-49266,AO06801,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,"42,6",,"140,5",,"10,26",,"75,8",,"102,7",,"91,4",,5,
RE05075itkt,2817846,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48989,gnpis_pui:holding-921_taxon-4898_accession-48989,RE05075,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,"44,2",,"143,5",,"10,69",,"74,4",,"101,2",,"104,3",,,
DI06022itkt,2817864,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49273,gnpis_pui:holding-921_taxon-4898_accession-49273,DI06022,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,"40,9",,"145,5",,"12,2",,"75,5",,"95,1",,"97,9",,,
RE05108itkfi,2817847,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,"42,3",,146,,"11,23",,"72,7",,"103,8",,"92,4",,NA,
RE05041itkt,2817802,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,27042,https://doi.org/10.15454/1NUEUQ,RE05041,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,"46,2",,149,,"12,62",,76,,"89,6",,"92,3",,,
DI06022itkfi,2817863,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49273,gnpis_pui:holding-921_taxon-4898_accession-49273,DI06022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"40,8",,"145,5",,"9,97",,"74,4",,"101,3",,"90,2",,3,
