observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08019-2itkt,2837472,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,104,,"37,3",,142,,"11,95",,"77,9",,"116,2",,"109,4",,,,1,
Toisondoritkfi,2837463,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,"38,2",,143,,"10,94",,"75,2",,"118,8",,"79,4",,"2,5",,,
EM06229itkfi,2837489,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,"42,7",,136,,"12,28",,"75,3",,"120,9",,"80,8",,"3,5",,,
DI08019-2itkfi,2837471,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,102,,"39,7",,140,,"10,28",,77,,"146,4",,"97,9",,1,,,
Folkloritkfi,2837465,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,105,,"43,8",,142,,"10,72",,"74,2",,"132,1",,"88,3",,3,,,
Folkloritkt,2837466,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,108,,"44,5",,142,,"12,18",,"76,6",,"115,2",,"108,5",,,,1,
HadmF276itkt,2837494,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"43,6",,140,,"12,48",,"76,8",,"101,7",,"95,7",,,,1,
HadmF276itkfi,2837493,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,91,,42,,139,,"11,22",,75,,"118,4",,"79,1",,4,,,
Caphornitkt,2837500,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2009,92,,"41,2",,141,,"13,39",,"76,4",,"97,5",,"91,8",,,,1,
EM06110itkfi,2837533,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,101,,"40,3",,136,,"11,31",,"75,4",,"113,8",,76,,"4,5",,,
