observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE12002itkfi,2969352,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,143,,11.5,,80,,100.9,,4.5,,100.6,,1.5,,3.5,,4,
RE12002itkt,2969354,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,traite,2015,145,,12.2,,78.4,,92.2,,,,113.7,,,,,,3,
RE12002itknt,2969353,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,144,,,,,,101.8,,5,,109.4,,2,,4.5,,5.5,
RE12020itkt,2969357,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,traite,2015,144,,14.5,,80.9,,85.3,,,,105.1,,,,,,2,
RE12020itknt,2969356,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,143,,,,,,99.1,,4.5,,106.4,,3.5,,5,,5.5,
RE12020itkfi,2969355,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,141,,13.3,,81.3,,83.9,,3.5,,83.7,,2.5,,3.5,,3,
AO14039itkfi,2969391,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,60867,https://doi.org/10.15454/WFL1YX,AO14039,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,139,,11.3,,80.4,,102.5,,5,,102.2,,1.5,,6,,5.5,
AO14039itkt,2969393,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,60867,https://doi.org/10.15454/WFL1YX,AO14039,VIRTUAL_TRIAL,,,,,,,,traite,2015,141,,12,,78.9,,98.1,,,,120.9,,,,,,4.5,
AO14039itknt,2969392,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,60867,https://doi.org/10.15454/WFL1YX,AO14039,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,141,,,,,,104.5,,4,,112.2,,1.5,,7.5,,7.5,
AO13022itkt,2969390,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,traite,2015,142,,12,,78.8,,96.1,,,,118.4,,,,,,4,
AO13022itknt,2969389,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,141,,,,,,72.9,,NA,,78.3,,9,,NA,,5.5,
AO13022itkfi,2969388,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,139,,11.6,,78.5,,82.6,,3,,82.3,,8.5,,NA,,5,
AREZZOitkfi,2969439,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,138,,12,,82,,95.3,,8,,95,,1.5,,4,,5,
AREZZOitkt,2969441,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,traite,2015,139,,13,,82.8,,97.1,,,,119.7,,,,,,4.5,
AREZZOitknt,2969440,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,138,,,,,,90.3,,8,,97,,1.5,,5,,7,
AO13030itkt,2969417,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,traite,2015,140,,12,,77.9,,101.8,,,,125.5,,,,,,3.5,
AO13030itknt,2969416,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,140,,,,,,87,,5,,93.5,,3.5,,7,,5,
AO13030itkfi,2969415,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,139,,11.4,,79.2,,101.8,,6,,101.5,,3,,5.5,,3,
AO13047itkt,2969372,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,traite,2015,142,,12.6,,80.5,,98.5,,,,121.5,,,,,,6.5,
AO13047itknt,2969371,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,141,,,,,,90.5,,2,,97.2,,7,,4.5,,7,
AO13047itkfi,2969370,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,141,,12,,79.7,,87,,2,,86.8,,6,,5,,7,
CF12202itkt,2969366,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,traite,2015,142,,11.8,,79.3,,108.7,,,,134,,,,,,3,
CF12202itkfi,2969364,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,138,,11.5,,81.3,,108,,4,,107.7,,1.5,,4,,3,
CF12202itknt,2969365,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,140,,,,,,91.2,,6,,98,,3.5,,6,,7,
DI13002-2itkt,2969339,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49462,https://doi.org/10.15454/9WA3DH,DI13002-2,VIRTUAL_TRIAL,,,,,,,,traite,2015,144,,11.6,,79.4,,104.5,,,,128.8,,,,,,2,
DI13002-2itknt,2969338,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49462,https://doi.org/10.15454/9WA3DH,DI13002-2,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,143,,,,,,79.4,,NA,,85.3,,9,,NA,,5.5,
DI13002-2itkfi,2969337,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49462,https://doi.org/10.15454/9WA3DH,DI13002-2,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,141,,11.2,,80,,100.6,,2.5,,100.3,,6.5,,4,,3,
DI13003itkt,2969369,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,traite,2015,145,,13,,80.8,,96.8,,,,119.2,,,,,,3,
DI13003itknt,2969368,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,144,,,,,,101.5,,3,,109.1,,4,,5,,5.5,
DI13003itkfi,2969367,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,144,,11.9,,82.7,,107.9,,3.5,,107.6,,3,,4.5,,4.5,
DI13005itknt,2969347,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,146,,,,,,97.2,,7,,104.5,,3,,5.5,,6,
DI13005itkt,2969348,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,traite,2015,147,,11.2,,77,,97.8,,,,120.6,,,,,,4.5,
DI13005itkfi,2969346,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,144,,9.8,,77.2,,95.7,,5,,95.4,,3.5,,5.5,,4,
