observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
AO13026itknt,2969010,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,78.3,,88.8,,7,,75.42,,1,,6,
CF09117itkt,2969073,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,traite,2015,99,,47.9,,130,,13.6,,78.5,,92.8,,,,96.1,,,,,
CF09117itknt,2969072,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,78.4,,104.5,,6,,88.79,,1,,6,
APACHEitknt,2969044,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,81.2,,95.4,,1,,81.04,,1,,7,
AO13029itknt,2969014,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,79,,100.3,,3,,85.25,,1,,5,
AO13047itkt,2969035,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,traite,2015,97,,45.6,,132,,12.6,,82,,104.9,,,,108.7,,,,,
AO13029itkt,2969015,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,52.2,,130,,11.4,,81.1,,102.6,,,,106.4,,,,,
DI13003itkt,2969033,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,36.7,,134,,13.3,,77.9,,88.2,,,,91.4,,,,,
RE12002itkt,2969023,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,traite,2015,102,,47,,132,,12.3,,79.3,,95.7,,,,99.2,,,,,
APACHEitkt,2969045,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,48.8,,129,,12.3,,82.9,,96.6,,,,100.2,,,,,
