observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volS(CO_321:1000250),volS(CO_321:1000250).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF10299itkt,2862105,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM10126itkt,2862090,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI08019-2itkt,2862077,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,2011,"12,2",,30,,NA,,88,,NA,,27,,NA,,60,,NA,,175,,95,,"3,13",,122,,NA,,242,,"10,54",,"79,9",,NA,,1157,,NA,
CF10185itkt,2862119,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF10140itkt,2862079,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF10042itkt,2862086,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF10064itkt,2862113,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF09117itkt,2862115,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF09227itkt,2862121,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM08231itkt,2862108,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Folkloritkt,2862075,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2011,"12,2",,30,,NA,,94,,NA,,33,,NA,,74,,NA,,201,,99,,"3,27",,130,,NA,,278,,"11,21",,"76,5",,NA,,1400,,NA,
RE09013itkt,2862101,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49189,https://doi.org/10.15454/FINGUM,RE09013,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE10040itkt,2862102,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49526,https://doi.org/10.15454/U0AWKP,RE10040,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE10072itkt,2862078,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE10095itkt,2862084,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49072,https://doi.org/10.15454/OZM4O0,RE10095,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE09063itkt,2862098,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE10039itkt,2862080,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE09079itkt,2862068,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Premioitkt,2862083,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2011,"13,9",,39,,91,,97,,78,,53,,85,,86,,254,,235,,"92,5",,"2,37",,"154,5",,"74,5",,265,,"12,065",,"78,4",,1640,,1501,,"38,5",
EM09003itkt,2862074,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Apacheitkt,2862089,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2011,"18,8",,"71,5",,100,,85,,69,,73,,88,,72,,257,,231,,"80,5",,"1,135",,"194,5",,54,,"300,5",,"11,115",,"78,4",,1778,,1512,,31,
EM10317itkt,2862076,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,61542,https://doi.org/10.15454/GSBZL4,EM10317,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Lyrikitkt,2862120,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2011,13,,34,,NA,,85,,NA,,25,,NA,,55,,NA,,164,,106,,"3,09",,154,,NA,,309,,"10,72",,80,,NA,,995,,NA,
Ghaytaitkt,2862111,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2011,"17,5",,62,,NA,,97,,NA,,46,,NA,,79,,NA,,221,,152,,"2,44",,388,,NA,,334,,"14,32",,81,,NA,,1854,,NA,
Grapeliitkt,2862082,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2011,"14,1",,40,,NA,,97,,NA,,25,,NA,,61,,NA,,184,,77,,"1,92",,124,,NA,,268,,"10,86",,"78,9",,NA,,1157,,NA,
CF08027itkt,2862122,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Granamaxitkt,2862092,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2011,"12,4",,31,,NA,,100,,NA,,77,,NA,,96,,NA,,273,,116,,"3,71",,150,,NA,,270,,"10,69",,"77,5",,NA,,1443,,NA,
AO11011itkt,2862096,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Gotikitkt,2862106,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI11012itkt,2862117,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI11013itkt,2862116,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE10042itkt,2862088,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
