observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI06024itkfi,2817621,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,49274,https://doi.org/10.15454/WL2TYG,DI06024,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"12,67",,"111,8",,67,
Apacheitkfi,2817587,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"12,48",,"102,8",,"61,6",
CF05138itkt,2817616,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,49473,https://doi.org/10.15454/MHX4J5,CF05138,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,1",,"110,8",,91,
CF05138itkfi,2817615,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,49473,https://doi.org/10.15454/MHX4J5,CF05138,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"11,55",,"122,4",,"73,4",
CF05173itkt,2817602,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2006,"14,56",,"115,9",,"95,2",
EM05347itkt,2817584,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,48655,gnpis_pui:holding-921_taxon-4898_accession-48655,EM05347,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,46",,"106,5",,"87,5",
RE05140itkfi,2817609,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,49743,gnpis_pui:holding-921_taxon-4898_accession-49743,RE05140,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"12,35",,"118,1",,"70,8",
CF05173itkfi,2817601,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"13,56",,"136,9",,82,
CF05083itkfi,2817571,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,48769,gnpis_pui:holding-921_taxon-4898_accession-48769,CF05083,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"13,32",,"116,5",,"69,8",
AO06801itkt,2817582,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,49266,gnpis_pui:holding-921_taxon-4898_accession-49266,AO06801,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,11",,"111,7",,"91,8",
RE05140itkt,2817610,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,49743,gnpis_pui:holding-921_taxon-4898_accession-49743,RE05140,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,88",,103,,"84,6",
AO06801itkfi,2817581,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,49266,gnpis_pui:holding-921_taxon-4898_accession-49266,AO06801,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"11,99",,"116,7",,"69,9",
Folkloritkt,2817562,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2006,"12,26",,"112,3",,"92,2",
Folkloritkfi,2817561,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"11,05",,"143,7",,"86,1",
RE05108itkt,2817614,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,treated,2006,"14,32",,"109,4",,"89,9",
DI06022itkt,2817630,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,49273,gnpis_pui:holding-921_taxon-4898_accession-49273,DI06022,VIRTUAL_TRIAL,,,,,,,,treated,2006,"14,82",,"93,5",,"76,9",
RE05041itkt,2817568,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,27042,https://doi.org/10.15454/1NUEUQ,RE05041,VIRTUAL_TRIAL,,,,,,,,treated,2006,"14,24",,"108,7",,"89,3",
CF05001itkt,2817576,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,48455,gnpis_pui:holding-921_taxon-4898_accession-48455,CF05001,VIRTUAL_TRIAL,,,,,,,,treated,2006,"14,9",,"105,1",,"86,4",
RE05108itkfi,2817613,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"12,04",,"137,6",,"82,4",
RE05075itkfi,2817611,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,48989,gnpis_pui:holding-921_taxon-4898_accession-48989,RE05075,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"11,58",,115,,"68,9",
RE05036itkt,2817596,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,49717,gnpis_pui:holding-921_taxon-4898_accession-49717,RE05036,VIRTUAL_TRIAL,,,,,,,,treated,2006,"12,45",,"117,2",,"96,3",
RE05041itkfi,2817567,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,27042,https://doi.org/10.15454/1NUEUQ,RE05041,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"13,04",,"141,7",,"84,9",
DI06022itkfi,2817629,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,49273,gnpis_pui:holding-921_taxon-4898_accession-49273,DI06022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"13,09",,96,,"57,5",
