observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Ressoritkt,2762614,BTH_Dijon_2000_SetA,BTH_Dijon_2000_SetA,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2000,"12,8",,90,,"82,4",
CF9825itkt,2762572,BTH_Dijon_2000_SetA,BTH_Dijon_2000_SetA,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,treated,2000,"11,2",,90,,"82,4",
RE99018itkfi,2762645,BTH_Dijon_2000_SetA,BTH_Dijon_2000_SetA,28769,https://doi.org/10.15454/4XEWEU,RE99018,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"12,3",,95,,"66,4",
CF99005itkfi,2762621,BTH_Dijon_2000_SetA,BTH_Dijon_2000_SetA,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"11,8",,"96,5",,"67,4",
EM99012itkt,2762644,BTH_Dijon_2000_SetA,BTH_Dijon_2000_SetA,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,treated,2000,"12,5",,"86,1",,"78,9",
EM99001itkfi,2762605,BTH_Dijon_2000_SetA,BTH_Dijon_2000_SetA,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"11,4",,"104,7",,"73,2",
HA1070.50itkfi,2762567,BTH_Dijon_2000_SetA,BTH_Dijon_2000_SetA,48987,gnpis_pui:holding-921_taxon-4898_accession-48987,HA1070.50,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"12,3",,"111,2",,"77,8",
EM99017itkfi,2762647,BTH_Dijon_2000_SetA,BTH_Dijon_2000_SetA,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"12,3",,"96,1",,"67,1",
CF99005itkt,2762622,BTH_Dijon_2000_SetA,BTH_Dijon_2000_SetA,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2000,"12,1",,"92,2",,"84,4",
RE99009itkt,2762636,BTH_Dijon_2000_SetA,BTH_Dijon_2000_SetA,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,treated,2000,"11,7",,"88,3",,"80,9",
