observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
1,2833516,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,48757,gnpis_pui:holding-921_taxon-4898_accession-48757,RE07045,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"37,97",,"4,5",
1,2833508,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49172,gnpis_pui:holding-921_taxon-4898_accession-49172,RE07027,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"42,2",,"3,5",
2,2833509,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49172,gnpis_pui:holding-921_taxon-4898_accession-49172,RE07027,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"40,14",,4,
1,2833504,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49441,gnpis_pui:holding-921_taxon-4898_accession-49441,DI08008,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"36,83",,4,
2,2833505,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49441,gnpis_pui:holding-921_taxon-4898_accession-49441,DI08008,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"39,55",,"4,8",
2,2833477,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49624,gnpis_pui:holding-921_taxon-4898_accession-49624,CF07098,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"51,49",,"3,5",
1,2833476,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49624,gnpis_pui:holding-921_taxon-4898_accession-49624,CF07098,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"47,62",,"3,5",
2,2833489,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"41,63",,"6,5",
1,2833488,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"41,34",,"4,5",
2,2833471,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49535,gnpis_pui:holding-921_taxon-4898_accession-49535,AO08337,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"32,8",,"6,5",
