observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Toisondoritkt,2846710,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,,,"44,6",,144,,"10,24",,"83,7",,"98,1",,,,"109,7",,,,,,1,
EM07117itkt,2846701,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2010,88,,,,42,,144,,"9,53",,82,,"102,4",,,,"114,6",,,,,,1,
EM07117itknt,2846700,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,96,,1,,"44,1",,143,,,,"83,8",,107,,"1,5",,"110,6",,1,,"1,5",,1,
CF05162itkt,2846716,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,"54,2",,141,,"10,42",,"81,9",,"105,4",,,,"117,9",,,,,,1,
CF05162itknt,2846715,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,92,,6,,52,,140,,,,"82,2",,"104,7",,1,,"108,2",,1,,"2,5",,1,
CF05162itkfi,2846714,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,,,"54,8",,140,,"10,38",,"82,8",,"109,9",,1,,"92,6",,1,,,,1,
Bermudeitknt,2846691,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,1,,"50,8",,142,,,,"84,8",,"102,6",,2,,106,,1,,"4,5",,1,
Toisondoritkfi,2846708,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,,,"36,1",,142,,"9,26",,"80,7",,"82,3",,NA,,"69,3",,"8,5",,,,1,
Strub061859-1itkfi,2846705,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,98,,,,"49,6",,146,,"8,91",,"82,2",,"114,2",,1,,"96,2",,2,,,,1,
CF07018itkt,2846728,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,"49,2",,145,,"10,92",,83,,"102,3",,,,"114,5",,,,,,1,
Granamaxitknt,2846763,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,2,,58,,142,,,,"82,4",,"106,3",,1,,"109,8",,1,,"3,5",,1,
Toisondoritknt,2846709,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,75,,NA,,"37,2",,143,,,,81,,78,,NA,,"80,6",,8,,NA,,1,
CF07018itknt,2846727,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,"2,5",,"50,6",,144,,,,83,,"104,3",,1,,"107,8",,1,,2,,1,
Strub061859-1itknt,2846706,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,102,,1,,"48,8",,146,,,,"83,1",,"106,7",,1,,"110,3",,3,,1,,1,
Flamenkoitkt,2846749,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2010,88,,,,"51,5",,140,,"10,13",,"79,4",,"103,8",,,,"116,2",,,,,,1,
Flamenkoitknt,2846748,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,92,,1,,"51,4",,138,,,,"79,6",,"105,2",,1,,"108,8",,1,,3,,1,
CF07018itkfi,2846726,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,,,"50,7",,143,,"10,09",,"82,7",,"106,6",,2,,"89,8",,1,,,,1,
EM07117itkfi,2846699,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,94,,,,46,,144,,"9,22",,83,,108,,1,,91,,1,,,,1,
RE07019itkfi,2846693,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,,,"47,5",,142,,"10,18",,"83,8",,106,,1,,"89,3",,"1,5",,,,1,
Granamaxitkt,2846764,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2010,85,,,,"61,1",,141,,"10,26",,83,,"105,4",,,,118,,,,,,1,
EM06017itkfi,2846681,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,95,,,,"54,5",,140,,"12,15",,"85,2",,"98,8",,1,,"83,2",,1,,,,1,
RE07019itkt,2846695,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,"46,8",,142,,"10,52",,"84,2",,"103,7",,,,116,,,,,,1,
AO10003itknt,2846733,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,1,,"51,4",,143,,,,"83,6",,"103,1",,"1,5",,"106,6",,1,,"1,5",,1,
Flamenkoitkfi,2846747,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,,,"54,6",,140,,"10,42",,"79,7",,"105,3",,1,,"88,7",,1,,,,1,
Strub061859-1itkt,2846707,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,treated,2010,88,,,,"45,4",,146,,"9,79",,"82,1",,"108,2",,,,"121,1",,,,,,1,
Granamaxitkfi,2846762,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,,,"58,6",,142,,"9,91",,"82,1",,"107,2",,1,,"90,3",,1,,,,1,
RE07019itknt,2846694,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,88,,1,,"46,8",,142,,,,84,,"106,6",,1,,"110,2",,"1,5",,"2,5",,1,
AO10001itknt,2846736,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,49021,https://doi.org/10.15454/JP7IQ2,AO10001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,95,,1,,53,,145,,,,85,,"96,5",,1,,"99,8",,"1,5",,"3,5",,1,
Bermudeitkt,2846692,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,"51,7",,144,,"9,84",,"84,6",,"105,1",,,,"117,6",,,,,,1,
RE07093itkt,2846725,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,55,,141,,"11,44",,"83,1",,98,,,,"109,7",,,,,,1,
RE07093itkfi,2846723,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,,,"55,8",,140,,"10,79",,"83,2",,"93,6",,1,,"78,9",,1,,,,1,
AO10003itkfi,2846732,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,,,"51,5",,144,,"10,09",,"83,2",,"99,6",,1,,84,,1,,,,1,
AO10001itkt,2846737,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,49021,https://doi.org/10.15454/JP7IQ2,AO10001,VIRTUAL_TRIAL,,,,,,,,treated,2010,90,,,,"51,5",,146,,"10,68",,"84,4",,"96,4",,,,"107,9",,,,,,1,
AO10001itkfi,2846735,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,49021,https://doi.org/10.15454/JP7IQ2,AO10001,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,,,"53,4",,145,,"10,02",,"84,2",,96,,1,,"80,9",,1,,,,1,
RE07093itknt,2846724,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,1,,"55,2",,140,,,,"83,3",,"100,6",,"1,5",,"103,9",,1,,"2,5",,1,
CF07267itknt,2846769,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,92,,1,,"57,9",,140,,,,"83,6",,"95,1",,1,,"98,3",,1,,2,,1,
Soissonsitknt,2846772,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,1,,"47,4",,136,,,,"85,4",,"95,9",,1,,"99,1",,1,,4,,1,
RE07095itkt,2846731,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,"56,7",,141,,"10,3",,"83,1",,"104,9",,,,"117,4",,,,,,1,
RE07095itknt,2846730,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,1,,58,,141,,,,"83,6",,"107,3",,1,,"110,9",,1,,2,,1,
Hendrixitknt,2846673,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,94,,1,,"50,3",,142,,,,"84,9",,"94,9",,1,,"98,1",,1,,"1,5",,1,
Hendrixitkfi,2846672,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,,,"51,4",,142,,"10,66",,"84,6",,"101,5",,1,,"85,5",,1,,,,1,
Lyrikitkt,2846782,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,50,,145,,"10,18",,"82,9",,111,,,,"124,3",,,,,,1,
Hendrixitkt,2846674,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2010,85,,,,"51,4",,141,,"12,67",,"84,4",,"93,5",,,,"104,6",,,,,,1,
Caphornitkt,2846740,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,"50,3",,142,,"11,38",,83,,"94,5",,,,"105,8",,,,,,1,
Lyrikitknt,2846781,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,1,,"50,8",,143,,,,"83,6",,"108,3",,1,,"111,9",,1,,2,,1,
