observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI06007itkfi,2815125,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,"42,4",,144,,"11,02",,"70,6",,"111,1",,"94,8",,NA,
CF05087itkfi,2815071,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,48444,gnpis_pui:holding-921_taxon-4898_accession-48444,CF05087,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,78,,"40,8",,143,,"10,5",,"71,2",,"98,2",,"83,8",,3,
Chargeritkt,2815098,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2006,78,,,,146,,"11,84",,72,,101,,"104,7",,,
RE05147itkt,2815066,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,49548,gnpis_pui:holding-921_taxon-4898_accession-49548,RE05147,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,141,,"12,46",,"70,7",,"92,2",,"95,5",,,
RE05073itkt,2815110,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,48629,gnpis_pui:holding-921_taxon-4898_accession-48629,RE05073,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,,,"140,5",,"11,69",,"69,1",,"97,9",,"101,5",,,
RE05009itkt,2815060,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,48566,https://doi.org/10.15454/PNQ6BX,RE05009,VIRTUAL_TRIAL,,,,,,,,treated,2006,70,,,,"140,5",,"11,82",,"69,2",,"96,6",,"100,2",,,
RE05009itkfi,2815059,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,48566,https://doi.org/10.15454/PNQ6BX,RE05009,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"49,6",,142,,"11,33",,"63,4",,"109,5",,"93,4",,NA,
RE05073itkfi,2815109,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,48629,gnpis_pui:holding-921_taxon-4898_accession-48629,RE05073,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,"46,9",,141,,"10,64",,66,,"109,5",,"93,4",,NA,
EM05055itkt,2815100,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,"141,5",,"11,74",,"71,6",,"98,7",,"102,4",,,
EM05055itkfi,2815099,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,"46,4",,"141,5",,"10,98",,"70,8",,"104,1",,"88,8",,NA,
CF05017itkfi,2815115,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,48654,gnpis_pui:holding-921_taxon-4898_accession-48654,CF05017,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,"43,1",,"139,5",,"10,22",,"67,8",,"99,6",,85,,5,
DI06003itkfi,2815133,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,48595,gnpis_pui:holding-921_taxon-4898_accession-48595,DI06003,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,"48,3",,143,,"10,47",,"73,2",,"102,5",,"87,4",,3,
RE05074itkfi,2815105,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"49,1",,142,,"10,11",,"66,2",,"105,5",,90,,5,
Caphornitkfi,2815091,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"45,8",,143,,"10,88",,"70,5",,"106,5",,"90,9",,6,
CF05017itkt,2815116,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,48654,gnpis_pui:holding-921_taxon-4898_accession-48654,CF05017,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,,,140,,"11,84",,74,,"97,6",,"101,2",,,
Apacheitkt,2815086,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,,,142,,"11,16",,"74,5",,"94,4",,"97,9",,,
Apacheitkfi,2815085,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,44,,"142,5",,"9,68",,"70,9",,"95,5",,"81,5",,8,
CF05091itkt,2815096,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,treated,2006,70,,,,"142,5",,"12,3",,"74,4",,"99,1",,"102,8",,,
CF05091itkfi,2815095,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,"46,2",,"141,5",,"11,68",,70,,"101,4",,"86,5",,4,
DI06003itkt,2815134,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,48595,gnpis_pui:holding-921_taxon-4898_accession-48595,DI06003,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,,,142,,"11,74",,"75,2",,"101,9",,"105,6",,,
CF05007itkfi,2815077,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,48785,gnpis_pui:holding-921_taxon-4898_accession-48785,CF05007,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,"45,2",,"144,5",,"10,56",,"70,8",,"107,1",,"91,4",,4,
Caphornitkt,2815092,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,,,"142,5",,"11,88",,"74,6",,"101,1",,"104,8",,,
RE05007itkt,2815062,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,,,144,,"11,06",,"73,6",,"101,4",,"105,1",,,
RE05007itkfi,2815061,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,"47,6",,"145,5",,"10,62",,"65,8",,"112,1",,"95,6",,NA,
DI06004itkt,2815128,BTH_Le_Moulon_2006_SetB1,BTH_Le_Moulon_2006_SetB1,49291,https://doi.org/10.15454/RCJVYZ,DI06004,VIRTUAL_TRIAL,,,,,,,,treated,2006,78,,,,"147,5",,"11,78",,"72,3",,"97,4",,101,,,
