observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE09079itkfi,2852205,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,95,,144,,"73,8",,"107,2",,"60,5",
HadmF11326itkfi,2852214,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,76,,144,,"76,7",,"113,6",,"64,1",
CF09226itkfi,2852236,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48589,gnpis_pui:holding-921_taxon-4898_accession-48589,CF09226,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,142,,"78,2",,115,,"64,9",
DI10014itkfi,2852199,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48493,gnpis_pui:holding-921_taxon-4898_accession-48493,DI10014,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,96,,144,,"74,9",,"107,2",,"60,5",
Premioitkfi,2852203,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,142,,"76,8",,"98,7",,"55,7",
RE09080itkfi,2852216,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48783,gnpis_pui:holding-921_taxon-4898_accession-48783,RE09080,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,93,,145,,"73,5",,"99,6",,"56,2",
Apacheitkfi,2852215,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,142,,"76,5",,"109,6",,"61,8",
DI10017itkfi,2852204,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48346,gnpis_pui:holding-921_taxon-4898_accession-48346,DI10017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,144,,"78,2",,97,,"54,7",
RE09073itkfi,2852220,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,144,,"72,2",,"102,4",,"57,8",
AO10027itkfi,2852228,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49344,gnpis_pui:holding-921_taxon-4898_accession-49344,AO10027,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,142,,"77,6",,"99,7",,"56,2",
AO10024itkfi,2852225,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49722,gnpis_pui:holding-921_taxon-4898_accession-49722,AO10024,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,76,,143,,77,,"91,7",,"51,7",
CF09284itkfi,2852200,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49521,gnpis_pui:holding-921_taxon-4898_accession-49521,CF09284,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,137,,"77,4",,"98,6",,"55,6",
DI10013itkfi,2852202,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49728,gnpis_pui:holding-921_taxon-4898_accession-49728,DI10013,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,145,,78,,"108,9",,"61,4",
RE09084itkfi,2852218,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48758,gnpis_pui:holding-921_taxon-4898_accession-48758,RE09084,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,87,,144,,"76,5",,"103,8",,"58,5",
AO10026itkfi,2852227,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,87,,143,,"76,8",,"108,4",,"61,2",
AO10025itkfi,2852226,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49420,gnpis_pui:holding-921_taxon-4898_accession-49420,AO10025,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,145,,"75,7",,"114,7",,"64,7",
AO10028itkfi,2852223,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,141,,"78,4",,"105,9",,"59,7",
RE09074itkfi,2852207,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48534,gnpis_pui:holding-921_taxon-4898_accession-48534,RE09074,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,143,,"81,4",,"102,1",,"57,6",
