observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2773575,BTH_Rennes_2001_SetB2,BTH_Rennes_2001_SetB2,49686,gnpis_pui:holding-921_taxon-4898_accession-49686,RE00137,REPLICATION,1,,,,,,REPLICATION:1,treated,2001,"100,42",
1,2773531,BTH_Rennes_2001_SetB2,BTH_Rennes_2001_SetB2,26094,https://doi.org/10.15454/KQXNER,RE01004,REPLICATION,1,,,,,,REPLICATION:1,treated,2001,"92,58",
1,2773549,BTH_Rennes_2001_SetB2,BTH_Rennes_2001_SetB2,49617,gnpis_pui:holding-921_taxon-4898_accession-49617,EM00261,REPLICATION,1,,,,,,REPLICATION:1,treated,2001,"89,73",
2,2773550,BTH_Rennes_2001_SetB2,BTH_Rennes_2001_SetB2,49617,gnpis_pui:holding-921_taxon-4898_accession-49617,EM00261,REPLICATION,2,,,,,,REPLICATION:2,treated,2001,"106,05",
2,2773556,BTH_Rennes_2001_SetB2,BTH_Rennes_2001_SetB2,49630,gnpis_pui:holding-921_taxon-4898_accession-49630,RE01005,REPLICATION,2,,,,,,REPLICATION:2,treated,2001,"105,44",
1,2773555,BTH_Rennes_2001_SetB2,BTH_Rennes_2001_SetB2,49630,gnpis_pui:holding-921_taxon-4898_accession-49630,RE01005,REPLICATION,1,,,,,,REPLICATION:1,treated,2001,"104,71",
2,2773552,BTH_Rennes_2001_SetB2,BTH_Rennes_2001_SetB2,48365,gnpis_pui:holding-921_taxon-4898_accession-48365,CF00156,REPLICATION,2,,,,,,REPLICATION:2,treated,2001,"93,24",
1,2773551,BTH_Rennes_2001_SetB2,BTH_Rennes_2001_SetB2,48365,gnpis_pui:holding-921_taxon-4898_accession-48365,CF00156,REPLICATION,1,,,,,,REPLICATION:1,treated,2001,"101,01",
1,2773527,BTH_Rennes_2001_SetB2,BTH_Rennes_2001_SetB2,48918,gnpis_pui:holding-921_taxon-4898_accession-48918,RE00163,REPLICATION,1,,,,,,REPLICATION:1,treated,2001,"92,88",
2,2773528,BTH_Rennes_2001_SetB2,BTH_Rennes_2001_SetB2,48918,gnpis_pui:holding-921_taxon-4898_accession-48918,RE00163,REPLICATION,2,,,,,,REPLICATION:2,treated,2001,"105,44",
