observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fr(CO_321:1000271),fr(CO_321:1000271).date
DI02008,2779708,BTH_Chaux_des_Prés_2002_SetB1,BTH_Chaux_des_Prés_2002_SetB1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,2002,4,
RE01015,2779679,BTH_Chaux_des_Prés_2002_SetB1,BTH_Chaux_des_Prés_2002_SetB1,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,2002,"2,5",
DI02005,2779705,BTH_Chaux_des_Prés_2002_SetB1,BTH_Chaux_des_Prés_2002_SetB1,48580,gnpis_pui:holding-921_taxon-4898_accession-48580,DI02005,VIRTUAL_TRIAL,,,,,,,,2002,"3,5",
DI02009,2779709,BTH_Chaux_des_Prés_2002_SetB1,BTH_Chaux_des_Prés_2002_SetB1,48570,gnpis_pui:holding-921_taxon-4898_accession-48570,DI02009,VIRTUAL_TRIAL,,,,,,,,2002,4,
DI02006,2779702,BTH_Chaux_des_Prés_2002_SetB1,BTH_Chaux_des_Prés_2002_SetB1,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,2002,3,
RE01020,2779718,BTH_Chaux_des_Prés_2002_SetB1,BTH_Chaux_des_Prés_2002_SetB1,49034,gnpis_pui:holding-921_taxon-4898_accession-49034,RE01020,VIRTUAL_TRIAL,,,,,,,,2002,"1,5",
DI02002,2779699,BTH_Chaux_des_Prés_2002_SetB1,BTH_Chaux_des_Prés_2002_SetB1,49036,gnpis_pui:holding-921_taxon-4898_accession-49036,DI02002,VIRTUAL_TRIAL,,,,,,,,2002,"2,5",
RE01018,2779685,BTH_Chaux_des_Prés_2002_SetB1,BTH_Chaux_des_Prés_2002_SetB1,49331,gnpis_pui:holding-921_taxon-4898_accession-49331,RE01018,VIRTUAL_TRIAL,,,,,,,,2002,2,
DI02007,2779703,BTH_Chaux_des_Prés_2002_SetB1,BTH_Chaux_des_Prés_2002_SetB1,48514,gnpis_pui:holding-921_taxon-4898_accession-48514,DI02007,VIRTUAL_TRIAL,,,,,,,,2002,"3,5",
DI02004,2779704,BTH_Chaux_des_Prés_2002_SetB1,BTH_Chaux_des_Prés_2002_SetB1,48439,gnpis_pui:holding-921_taxon-4898_accession-48439,DI02004,VIRTUAL_TRIAL,,,,,,,,2002,5,
