observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI12011itkt,2874551,BTH_Estrées-Mons_2013_SetA2,BTH_Estrées-Mons_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,79,,,,158,,"11,4",,"79,1",,"100,9",,,,"103,3",,,,,,"4,5",
DI12011itkfi,2874549,BTH_Estrées-Mons_2013_SetA2,BTH_Estrées-Mons_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,79,,1,,158,,"11,1",,"77,4",,"107,6",,5,,"81,5",,1,,"4,5",,3,
DI12011itknt,2874550,BTH_Estrées-Mons_2013_SetA2,BTH_Estrées-Mons_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,1,,,,,,,,"110,1",,6,,"87,8",,1,,5,,"5,5",
EM11537itkt,2874452,BTH_Estrées-Mons_2013_SetA2,BTH_Estrées-Mons_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,75,,,,160,,"10,8",,81,,"111,7",,,,"114,4",,,,,,5,
EM11441itkfi,2874501,BTH_Estrées-Mons_2013_SetA2,BTH_Estrées-Mons_2013_SetA2,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,2,,80,,1,,158,,"11,1",,"78,7",,"110,1",,"4,5",,"83,4",,"4,5",,5,,3,
RE11087itkfi,2874537,BTH_Estrées-Mons_2013_SetA2,BTH_Estrées-Mons_2013_SetA2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"2,5",,90,,1,,160,,"11,3",,"80,3",,"112,5",,"2,5",,"85,2",,1,,4,,5,
AO13010itknt,2874526,BTH_Estrées-Mons_2013_SetA2,BTH_Estrées-Mons_2013_SetA2,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"1,5",,,,1,,,,,,,,"110,1",,7,,"87,8",,1,,"6,5",,"4,5",
EM11537itknt,2874451,BTH_Estrées-Mons_2013_SetA2,BTH_Estrées-Mons_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"2,5",,,,1,,,,,,,,"120,8",,1,,"96,3",,1,,"7,5",,5,
EM11579itkt,2874560,BTH_Estrées-Mons_2013_SetA2,BTH_Estrées-Mons_2013_SetA2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,80,,,,158,,"11,6",,"79,3",,"108,8",,,,"111,5",,,,,,2,
CF11029itkt,2874506,BTH_Estrées-Mons_2013_SetA2,BTH_Estrées-Mons_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,86,,,,162,,"10,6",,"77,8",,"109,7",,,,"112,3",,,,,,2,
CF11029itkfi,2874504,BTH_Estrées-Mons_2013_SetA2,BTH_Estrées-Mons_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,86,,1,,164,,"10,9",,"75,2",,94,,"2,5",,"71,2",,"8,5",,4,,2,
EM11537itkfi,2874450,BTH_Estrées-Mons_2013_SetA2,BTH_Estrées-Mons_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,2,,79,,1,,161,,11,,"79,2",,"116,9",,"3,5",,"88,5",,1,,6,,"3,5",
