observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
LM01004itkt,2773997,BTH_Dijon_2001_SetB3,BTH_Dijon_2001_SetB3,48413,gnpis_pui:holding-921_taxon-4898_accession-48413,LM01004,VIRTUAL_TRIAL,,,,,,,,treated,2001,"110,7",,"97,3",
DI01007itkt,2773966,BTH_Dijon_2001_SetB3,BTH_Dijon_2001_SetB3,48550,gnpis_pui:holding-921_taxon-4898_accession-48550,DI01007,VIRTUAL_TRIAL,,,,,,,,treated,2001,"98,3",,"86,5",
DI01023itkt,2773976,BTH_Dijon_2001_SetB3,BTH_Dijon_2001_SetB3,48506,gnpis_pui:holding-921_taxon-4898_accession-48506,DI01023,VIRTUAL_TRIAL,,,,,,,,treated,2001,"81,4",,"71,6",
DI01034itkt,2773995,BTH_Dijon_2001_SetB3,BTH_Dijon_2001_SetB3,49727,gnpis_pui:holding-921_taxon-4898_accession-49727,DI01034,VIRTUAL_TRIAL,,,,,,,,treated,2001,97,,"85,3",
DI01020itkt,2773975,BTH_Dijon_2001_SetB3,BTH_Dijon_2001_SetB3,49323,gnpis_pui:holding-921_taxon-4898_accession-49323,DI01020,VIRTUAL_TRIAL,,,,,,,,treated,2001,96,,"84,4",
DI01025itkt,2773970,BTH_Dijon_2001_SetB3,BTH_Dijon_2001_SetB3,49360,gnpis_pui:holding-921_taxon-4898_accession-49360,DI01025,VIRTUAL_TRIAL,,,,,,,,treated,2001,"92,1",,81,
DI01019itkt,2773991,BTH_Dijon_2001_SetB3,BTH_Dijon_2001_SetB3,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,VIRTUAL_TRIAL,,,,,,,,treated,2001,"97,7",,"85,9",
DI01021itkt,2773974,BTH_Dijon_2001_SetB3,BTH_Dijon_2001_SetB3,49218,gnpis_pui:holding-921_taxon-4898_accession-49218,DI01021,VIRTUAL_TRIAL,,,,,,,,treated,2001,"99,3",,"87,3",
DI01008itkt,2773973,BTH_Dijon_2001_SetB3,BTH_Dijon_2001_SetB3,49483,gnpis_pui:holding-921_taxon-4898_accession-49483,DI01008,VIRTUAL_TRIAL,,,,,,,,treated,2001,"96,6",,85,
DI01012itkt,2773985,BTH_Dijon_2001_SetB3,BTH_Dijon_2001_SetB3,49107,gnpis_pui:holding-921_taxon-4898_accession-49107,DI01012,VIRTUAL_TRIAL,,,,,,,,treated,2001,"105,3",,"92,6",
DI01010itkt,2773983,BTH_Dijon_2001_SetB3,BTH_Dijon_2001_SetB3,49607,gnpis_pui:holding-921_taxon-4898_accession-49607,DI01010,VIRTUAL_TRIAL,,,,,,,,treated,2001,"92,8",,"81,6",
