observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI02008itkfi,2787507,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"9,5",,"121,4",,"87,9",
DI02008itkt,2787509,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,142,,"12,2",,"113,5",,"107,9",
EM01063itknt,2787472,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"99,5",,"75,8",
EM01325itkfi,2787477,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,2",,"100,1",,"72,5",
DI02028itkfi,2787513,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,5",,"112,9",,"81,7",
DI02028itkt,2787515,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,135,,"11,8",,"97,9",,"93,1",
RE01092itkt,2787464,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,136,,"13,8",,"100,4",,"95,5",
RE01092itkfi,2787462,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,7",,"112,5",,"81,4",
EM01324itknt,2787481,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"107,6",,"82,1",
EM01324itkfi,2787480,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"9,3",,"100,6",,"72,8",
RE01092itknt,2787463,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"112,2",,"85,6",
Soissonsitkfi,2787537,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,4",,"99,3",,"71,8",
EM01328itknt,2787490,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"109,4",,"83,4",
EM01328itkfi,2787489,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,1",,"105,3",,"76,2",
RE01015itkt,2787443,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,138,,"12,1",,101,,96,
DI02028itknt,2787514,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"110,2",,84,
EM01023itkfi,2787510,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"9,6",,"112,2",,"81,2",
RE01015itkfi,2787441,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,4",,"109,2",,79,
Apacheitkt,2787485,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,136,,"12,5",,"96,9",,"92,1",
CF00060itknt,2787454,BTH_Le_Moulon_2003_SetA2,BTH_Le_Moulon_2003_SetA2,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"106,8",,"81,4",
