observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO14011,2886468,BTH_Rennes_2014_SetB2_PIETIN-VERSE,BTH_Rennes_2014_SetB2_PIETIN-VERSE,61971,https://doi.org/10.15454/O3PVS1,AO14011,VIRTUAL_TRIAL,,,,,,,,2014,"5,5",,NA,,2,,4,,1,
CF13042,2886480,BTH_Rennes_2014_SetB2_PIETIN-VERSE,BTH_Rennes_2014_SetB2_PIETIN-VERSE,61005,https://doi.org/10.15454/ONQVGT,CF13042,VIRTUAL_TRIAL,,,,,,,,2014,5,,NA,,5,,1,,6,
CF13057,2886462,BTH_Rennes_2014_SetB2_PIETIN-VERSE,BTH_Rennes_2014_SetB2_PIETIN-VERSE,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,2014,"3,5",,NA,,2,,3,,5,
DI14003,2886459,BTH_Rennes_2014_SetB2_PIETIN-VERSE,BTH_Rennes_2014_SetB2_PIETIN-VERSE,61289,https://doi.org/10.15454/SINHNW,DI14003,VIRTUAL_TRIAL,,,,,,,,2014,6,,NA,,2,,4,,2,
EM13073,2886487,BTH_Rennes_2014_SetB2_PIETIN-VERSE,BTH_Rennes_2014_SetB2_PIETIN-VERSE,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,2014,"5,5",,NA,,5,,6,,1,
EM12595,2886457,BTH_Rennes_2014_SetB2_PIETIN-VERSE,BTH_Rennes_2014_SetB2_PIETIN-VERSE,61370,https://doi.org/10.15454/IO8K98,EM12595,VIRTUAL_TRIAL,,,,,,,,2014,8,,NA,,5,,4,,1,
RE13093,2886464,BTH_Rennes_2014_SetB2_PIETIN-VERSE,BTH_Rennes_2014_SetB2_PIETIN-VERSE,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,2014,4,,NA,,2,,4,,1,
RE13094,2886466,BTH_Rennes_2014_SetB2_PIETIN-VERSE,BTH_Rennes_2014_SetB2_PIETIN-VERSE,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,2014,"7,5",,NA,,2,,5,,2,
RE13095,2886465,BTH_Rennes_2014_SetB2_PIETIN-VERSE,BTH_Rennes_2014_SetB2_PIETIN-VERSE,61691,https://doi.org/10.15454/MEO27U,RE13095,VIRTUAL_TRIAL,,,,,,,,2014,4,,NA,,2,,5,,2,
AO14010,2886469,BTH_Rennes_2014_SetB2_PIETIN-VERSE,BTH_Rennes_2014_SetB2_PIETIN-VERSE,61955,https://doi.org/10.15454/FQDNVS,AO14010,VIRTUAL_TRIAL,,,,,,,,2014,8,,NA,,2,,NA,,8,
