observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE07004itkt,2831955,BTH_Estrées-Mons_2008_SetB1,BTH_Estrées-Mons_2008_SetB1,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,90,,140,,"12,54",,90,,"91,4",,,,,,1,
RE07004itkfi,2831954,BTH_Estrées-Mons_2008_SetB1,BTH_Estrées-Mons_2008_SetB1,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"3,5",,"92,5",,"139,5",,"12,06",,"101,4",,"79,7",,"3,5",,4,,1,
RE07025itkfi,2831994,BTH_Estrées-Mons_2008_SetB1,BTH_Estrées-Mons_2008_SetB1,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,95,,"145,5",,"12,45",,"99,5",,"78,3",,1,,3,,1,
RE07025itkt,2831995,BTH_Estrées-Mons_2008_SetB1,BTH_Estrées-Mons_2008_SetB1,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,95,,"146,5",,"12,08",,"89,3",,"90,6",,,,,,1,
RE07011itkt,2831947,BTH_Estrées-Mons_2008_SetB1,BTH_Estrées-Mons_2008_SetB1,48617,gnpis_pui:holding-921_taxon-4898_accession-48617,RE07011,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"82,5",,139,,"11,95",,99,,"100,5",,,,,,1,
DI08006itkfi,2831990,BTH_Estrées-Mons_2008_SetB1,BTH_Estrées-Mons_2008_SetB1,49329,gnpis_pui:holding-921_taxon-4898_accession-49329,DI08006,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"92,5",,146,,"10,96",,109,,"85,7",,1,,3,,1,
DI08006itkt,2831991,BTH_Estrées-Mons_2008_SetB1,BTH_Estrées-Mons_2008_SetB1,49329,gnpis_pui:holding-921_taxon-4898_accession-49329,DI08006,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,90,,146,,"11,26",,"98,5",,100,,,,,,1,
EM07085itkt,2831945,BTH_Estrées-Mons_2008_SetB1,BTH_Estrées-Mons_2008_SetB1,49461,gnpis_pui:holding-921_taxon-4898_accession-49461,EM07085,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"82,5",,141,,"12,22",,"93,1",,"94,6",,,,,,1,
CF07008itkfi,2832010,BTH_Estrées-Mons_2008_SetB1,BTH_Estrées-Mons_2008_SetB1,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,90,,144,,"11,36",,"114,3",,"89,9",,1,,"2,5",,1,
Caphornitkt,2831979,BTH_Estrées-Mons_2008_SetB1,BTH_Estrées-Mons_2008_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"82,5",,144,,"11,07",,"101,8",,"103,4",,,,,,1,
