observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Barokitkt,2797438,BTH_Estrées-Mons_2004_SetB1,BTH_Estrées-Mons_2004_SetB1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,41",,"111,8",,"104,4",
Barokitkfi,2797437,BTH_Estrées-Mons_2004_SetB1,BTH_Estrées-Mons_2004_SetB1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,96",,"106,1",,"94,6",
RE03101itkt,2797458,BTH_Estrées-Mons_2004_SetB1,BTH_Estrées-Mons_2004_SetB1,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,62",,"109,8",,"102,6",
EM01058.3itkt,2797496,BTH_Estrées-Mons_2004_SetB1,BTH_Estrées-Mons_2004_SetB1,49582,gnpis_pui:holding-921_taxon-4898_accession-49582,EM01058.3,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,2",,"87,6",,"81,8",
CF03305itkt,2797474,BTH_Estrées-Mons_2004_SetB1,BTH_Estrées-Mons_2004_SetB1,49537,gnpis_pui:holding-921_taxon-4898_accession-49537,CF03305,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,78",,"106,7",,"99,7",
CF03198itkfi,2797527,BTH_Estrées-Mons_2004_SetB1,BTH_Estrées-Mons_2004_SetB1,48845,gnpis_pui:holding-921_taxon-4898_accession-48845,CF03198,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,5",,"99,1",,"88,4",
DI04002itkfi,2797521,BTH_Estrées-Mons_2004_SetB1,BTH_Estrées-Mons_2004_SetB1,48882,gnpis_pui:holding-921_taxon-4898_accession-48882,DI04002,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,58",,"101,9",,"90,9",
CF03201itkt,2797488,BTH_Estrées-Mons_2004_SetB1,BTH_Estrées-Mons_2004_SetB1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,33",,"98,7",,"92,2",
CF03201itkfi,2797487,BTH_Estrées-Mons_2004_SetB1,BTH_Estrées-Mons_2004_SetB1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,94",,"104,5",,"93,2",
CF03198itkt,2797528,BTH_Estrées-Mons_2004_SetB1,BTH_Estrées-Mons_2004_SetB1,48845,gnpis_pui:holding-921_taxon-4898_accession-48845,CF03198,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,46",,"97,7",,"91,3",
