observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF08031itkfi,2840971,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61166,https://doi.org/10.15454/6UH9IO,CF08031,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,"49,8",,143,,"10,52",,"76,9",,"92,6",,"55,1",
DI09003itkfi,2840967,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61481,https://doi.org/10.15454/RV2BAB,DI09003,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"49,2",,144,,"9,02",,"72,4",,"103,5",,"61,6",
DI09003itkt,2840968,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61481,https://doi.org/10.15454/RV2BAB,DI09003,VIRTUAL_TRIAL,,,,,,,,treated,2009,78,,51,,144,,"9,12",,"76,3",,"98,1",,"89,7",
CF08031itkt,2840972,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61166,https://doi.org/10.15454/6UH9IO,CF08031,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"49,9",,142,,"10,24",,"77,8",,"91,7",,"83,8",
EM08019itkfi,2841001,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,"44,1",,143,,"8,22",,"67,1",,"105,3",,"62,6",
CF08029itkfi,2841011,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27796,https://doi.org/10.15454/9MSP5Q,CF08029,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,50,,138,,"9,83",,"75,9",,"101,4",,"60,3",
Koreliitkfi,2840959,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"52,6",,144,,"9,89",,"77,8",,"113,9",,"67,8",
RE08009itkfi,2841009,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62099,https://doi.org/10.15454/OQXFMF,RE08009,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,"46,4",,140,,"11,14",,"74,2",,"90,8",,54,
EM08082itkt,2840964,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,49654,gnpis_pui:holding-921_taxon-4898_accession-49654,EM08082,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"44,7",,144,,"8,86",,74,,"109,7",,"100,2",
EM08082itkfi,2840963,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,49654,gnpis_pui:holding-921_taxon-4898_accession-49654,EM08082,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,45,,145,,"8,62",,"72,8",,"110,6",,"65,8",
RE08009itkt,2841010,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62099,https://doi.org/10.15454/OQXFMF,RE08009,VIRTUAL_TRIAL,,,,,,,,treated,2009,72,,"46,4",,139,,"11,82",,"74,6",,"82,6",,"75,6",
EM08019itkt,2841002,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"49,1",,142,,"8,06",,"71,6",,"101,7",,93,
RE08003itkt,2841006,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62068,https://doi.org/10.15454/JFPOJQ,RE08003,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"42,7",,142,,"11,38",,79,,"80,6",,"73,7",
Koreliitkt,2840960,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2009,90,,52,,144,,"9,49",,"79,1",,"96,6",,"88,3",
CF08027itkfi,2841021,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"44,5",,147,,"7,96",,"73,8",,"112,1",,"66,7",
