observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE02005itkt,2790328,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48411,gnpis_pui:holding-921_taxon-4898_accession-48411,RE02005,VIRTUAL_TRIAL,,,,,,,,treated,2003,"11,9",,"109,1",,"104,6",
EM02054itkt,2790344,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2003,"11,9",,"104,3",,"100,1",
EM02069itkfi,2790331,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48634,gnpis_pui:holding-921_taxon-4898_accession-48634,EM02069,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"112,6",,"76,6",
EM02069itkt,2790332,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48634,gnpis_pui:holding-921_taxon-4898_accession-48634,EM02069,VIRTUAL_TRIAL,,,,,,,,treated,2003,"11,9",,"99,6",,"95,5",
DI03018itkt,2790300,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48463,gnpis_pui:holding-921_taxon-4898_accession-48463,DI03018,VIRTUAL_TRIAL,,,,,,,,treated,2003,"13,2",,"104,1",,"99,9",
DI03018itkfi,2790299,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48463,gnpis_pui:holding-921_taxon-4898_accession-48463,DI03018,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"110,5",,"75,2",
CF02045itkfi,2790305,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49486,gnpis_pui:holding-921_taxon-4898_accession-49486,CF02045,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"108,9",,"74,2",
CF02045itkt,2790306,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49486,gnpis_pui:holding-921_taxon-4898_accession-49486,CF02045,VIRTUAL_TRIAL,,,,,,,,treated,2003,"12,6",,"103,9",,"99,7",
CF02097itkt,2790360,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49504,gnpis_pui:holding-921_taxon-4898_accession-49504,CF02097,VIRTUAL_TRIAL,,,,,,,,treated,2003,"12,6",,"103,4",,"99,2",
CF02097itkfi,2790359,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49504,gnpis_pui:holding-921_taxon-4898_accession-49504,CF02097,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"105,1",,"71,6",
DI03009itkfi,2790345,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48976,gnpis_pui:holding-921_taxon-4898_accession-48976,DI03009,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,102,,"69,4",
DI03009itkt,2790346,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48976,gnpis_pui:holding-921_taxon-4898_accession-48976,DI03009,VIRTUAL_TRIAL,,,,,,,,treated,2003,"12,8",,"104,6",,"100,4",
DI03017itkt,2790314,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49292,gnpis_pui:holding-921_taxon-4898_accession-49292,DI03017,VIRTUAL_TRIAL,,,,,,,,treated,2003,"12,9",,"103,7",,"99,4",
DI03017itkfi,2790313,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49292,gnpis_pui:holding-921_taxon-4898_accession-49292,DI03017,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,114,,"77,6",
DI03014itkt,2790316,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49293,gnpis_pui:holding-921_taxon-4898_accession-49293,DI03014,VIRTUAL_TRIAL,,,,,,,,treated,2003,"12,2",,"110,1",,"105,6",
DI03014itkfi,2790315,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49293,gnpis_pui:holding-921_taxon-4898_accession-49293,DI03014,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"125,6",,"85,5",
CF02139itkt,2790348,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49244,gnpis_pui:holding-921_taxon-4898_accession-49244,CF02139,VIRTUAL_TRIAL,,,,,,,,treated,2003,"12,7",,"100,3",,"96,2",
CF02139itkfi,2790347,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49244,gnpis_pui:holding-921_taxon-4898_accession-49244,CF02139,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"109,7",,"74,7",
CF02096itkt,2790362,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49287,gnpis_pui:holding-921_taxon-4898_accession-49287,CF02096,VIRTUAL_TRIAL,,,,,,,,treated,2003,"12,7",,"97,6",,"93,6",
CF02096itkfi,2790361,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49287,gnpis_pui:holding-921_taxon-4898_accession-49287,CF02096,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"108,4",,"73,8",
DI03010itkfi,2790307,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49346,gnpis_pui:holding-921_taxon-4898_accession-49346,DI03010,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"114,4",,"77,9",
DI03010itkt,2790308,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49346,gnpis_pui:holding-921_taxon-4898_accession-49346,DI03010,VIRTUAL_TRIAL,,,,,,,,treated,2003,"13,3",,"103,9",,"99,6",
CF02098itkfi,2790353,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48547,gnpis_pui:holding-921_taxon-4898_accession-48547,CF02098,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"106,5",,"72,5",
CF02098itkt,2790354,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48547,gnpis_pui:holding-921_taxon-4898_accession-48547,CF02098,VIRTUAL_TRIAL,,,,,,,,treated,2003,"13,1",,"104,8",,"100,5",
CF02033itkfi,2790339,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48585,gnpis_pui:holding-921_taxon-4898_accession-48585,CF02033,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,119,,81,
CF02033itkt,2790340,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48585,gnpis_pui:holding-921_taxon-4898_accession-48585,CF02033,VIRTUAL_TRIAL,,,,,,,,treated,2003,"12,9",,"105,6",,"101,2",
Apacheitkfi,2790337,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"96,1",,"65,4",
Apacheitkt,2790338,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,"12,3",,"97,7",,"93,7",
EM02120itkt,2790342,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48658,gnpis_pui:holding-921_taxon-4898_accession-48658,EM02120,VIRTUAL_TRIAL,,,,,,,,treated,2003,"11,5",,"101,2",,"97,1",
EM02120itkfi,2790341,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48658,gnpis_pui:holding-921_taxon-4898_accession-48658,EM02120,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"117,8",,"80,2",
EM02018itkfi,2790333,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48897,gnpis_pui:holding-921_taxon-4898_accession-48897,EM02018,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"112,3",,"76,4",
EM02018itkt,2790334,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,48897,gnpis_pui:holding-921_taxon-4898_accession-48897,EM02018,VIRTUAL_TRIAL,,,,,,,,treated,2003,12,,"103,4",,"99,2",
EM02024itkfi,2790363,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,26410,https://doi.org/10.15454/XJYZVF,EM02024,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"110,5",,"75,2",
EM02024itkt,2790364,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,26410,https://doi.org/10.15454/XJYZVF,EM02024,VIRTUAL_TRIAL,,,,,,,,treated,2003,"12,7",,"99,6",,"95,5",
EM02096itkt,2790322,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,26413,https://doi.org/10.15454/T6MNTV,EM02096,VIRTUAL_TRIAL,,,,,,,,treated,2003,"13,2",,"109,6",,"105,1",
EM02096itkfi,2790321,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,26413,https://doi.org/10.15454/T6MNTV,EM02096,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"115,5",,"78,6",
Chargeritkfi,2790349,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"109,2",,"74,3",
Chargeritkt,2790350,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2003,"12,6",,"102,8",,"98,6",
CF02326itkfi,2790301,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49731,gnpis_pui:holding-921_taxon-4898_accession-49731,CF02326,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"112,4",,"76,5",
CF02326itkt,2790302,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,49731,gnpis_pui:holding-921_taxon-4898_accession-49731,CF02326,VIRTUAL_TRIAL,,,,,,,,treated,2003,13,,"105,4",,"101,1",
DI03011itkt,2790310,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,26428,https://doi.org/10.15454/QSCEEU,DI03011,VIRTUAL_TRIAL,,,,,,,,treated,2003,13,,109,,"104,5",
DI03011itkfi,2790309,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,26428,https://doi.org/10.15454/QSCEEU,DI03011,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"115,2",,"78,4",
EM02065itkfi,2790351,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,26412,https://doi.org/10.15454/8UNSOD,EM02065,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"118,3",,"80,5",
EM02065itkt,2790352,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,26412,https://doi.org/10.15454/8UNSOD,EM02065,VIRTUAL_TRIAL,,,,,,,,treated,2003,11,,"106,2",,"101,9",
EM02026itkt,2790382,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,26411,https://doi.org/10.15454/CYWIQW,EM02026,VIRTUAL_TRIAL,,,,,,,,treated,2003,13,,"97,2",,"93,2",
EM02026itkfi,2790381,BTH_Le_Moulon_2003_SetB2,BTH_Le_Moulon_2003_SetB2,26411,https://doi.org/10.15454/CYWIQW,EM02026,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"112,4",,"76,5",
