observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
EM08227itkt,2842170,BTH_Le_Moulon_2009_SetB2,BTH_Le_Moulon_2009_SetB2,49083,https://doi.org/10.15454/APNWRY,EM08227,VIRTUAL_TRIAL,,,,,,,,treated,2009,78,,"43,9",,141,,"8,82",,"72,1",,"98,9",,"92,9",
CF07261itkfi,2842223,BTH_Le_Moulon_2009_SetB2,BTH_Le_Moulon_2009_SetB2,61122,https://doi.org/10.15454/BSBAJR,CF07261,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,"53,9",,142,,"10,15",,"74,6",,"111,7",,"64,6",
CF07261itkt,2842224,BTH_Le_Moulon_2009_SetB2,BTH_Le_Moulon_2009_SetB2,61122,https://doi.org/10.15454/BSBAJR,CF07261,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"52,9",,142,,"10,19",,"72,4",,"89,7",,"84,2",
RE08029itkfi,2842221,BTH_Le_Moulon_2009_SetB2,BTH_Le_Moulon_2009_SetB2,61199,https://doi.org/10.15454/FKXNNO,RE08029,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,"46,8",,144,,"11,2",,"77,6",,"100,6",,"58,2",
RE08029itkt,2842222,BTH_Le_Moulon_2009_SetB2,BTH_Le_Moulon_2009_SetB2,61199,https://doi.org/10.15454/FKXNNO,RE08029,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"45,4",,144,,"11,14",,"78,2",,"81,5",,"76,6",
CF08066itkfi,2842181,BTH_Le_Moulon_2009_SetB2,BTH_Le_Moulon_2009_SetB2,61240,https://doi.org/10.15454/I7RHV6,CF08066,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,"45,8",,142,,"8,61",,"72,9",,"107,6",,"62,3",
CF08066itkt,2842182,BTH_Le_Moulon_2009_SetB2,BTH_Le_Moulon_2009_SetB2,61240,https://doi.org/10.15454/I7RHV6,CF08066,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"43,2",,142,,"9,07",,74,,"97,1",,"91,2",
CF08083itkt,2842202,BTH_Le_Moulon_2009_SetB2,BTH_Le_Moulon_2009_SetB2,61256,https://doi.org/10.15454/STVND6,CF08083,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,48,,148,,"8,13",,"73,4",,"103,5",,"97,2",
CF08083itkfi,2842201,BTH_Le_Moulon_2009_SetB2,BTH_Le_Moulon_2009_SetB2,61256,https://doi.org/10.15454/STVND6,CF08083,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"52,2",,147,,"8,32",,"72,9",,"117,6",,"68,1",
RE08040itkfi,2842213,BTH_Le_Moulon_2009_SetB2,BTH_Le_Moulon_2009_SetB2,61548,https://doi.org/10.15454/KUNSYC,RE08040,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"41,6",,144,,"9,58",,"76,7",,"100,1",,"57,9",
RE08040itkt,2842214,BTH_Le_Moulon_2009_SetB2,BTH_Le_Moulon_2009_SetB2,61548,https://doi.org/10.15454/KUNSYC,RE08040,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"39,5",,142,,"9,84",,"77,1",,94,,"88,4",
