observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
AO12002itkt,2873016,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,150,,"76,1",,"105,8",,"78,46",,3,
AO13009itkt,2873012,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,148,,"76,8",,"102,4",,"75,95",,3,
CF08027itkt,2873041,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,153,,"77,5",,"107,3",,"79,6",,3,
EM10126itkt,2873021,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,147,,"73,2",,"95,6",,"70,89",,4,
DI11014itkt,2873040,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,151,,"77,1",,110,,"81,6",,3,
CF10185itkt,2873043,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2013,100,,154,,"78,1",,"104,2",,"77,25",,3,
Gallixeitkt,2873036,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,151,,"73,2",,"109,9",,"81,5",,3,
AO12021itkt,2873008,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2013,100,,152,,"76,7",,"111,4",,"82,57",,3,
Altigoitkt,2873025,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,145,,"75,6",,"98,6",,"73,14",,6,
Granamaxitkt,2873022,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,151,,73,,"119,3",,"88,44",,4,
AO13007itkt,2873009,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,152,,"77,2",,"100,8",,"74,74",,"3,5",
AO11011itkt,2873024,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,152,,"77,4",,"110,7",,"82,09",,4,
AO13001itkt,2873007,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,150,,"76,6",,"100,8",,"74,73",,"4,5",
Croustyitkt,2873028,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2013,100,,153,,"77,6",,"88,8",,"65,87",,4,
EM09222itkt,2873032,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,144,,"76,3",,"103,7",,"76,89",,3,
EM09320itkt,2873005,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,147,,"75,7",,"115,7",,"85,77",,3,
CF10064itkt,2873010,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2013,100,,150,,"76,1",,"113,3",,"84,03",,3,
Gotikitkt,2873030,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,100,,153,,"78,2",,"110,6",,82,,2,
AO12006itkt,2873019,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,150,,80,,"102,9",,"76,3",,3,
Galibieritkt,2873015,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,treated,2013,105,,142,,"77,8",,"86,4",,"64,04",,6,
CF09169itkt,2873017,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,149,,"78,9",,"95,4",,"70,75",,"3,5",
AO12016itkt,2873035,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,152,,"77,5",,"102,5",,"75,99",,4,
AO12011itkt,2873034,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,treated,2013,100,,151,,"76,3",,"105,2",,"77,98",,2,
AO12033itkt,2873029,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,149,,"77,8",,"91,9",,"68,18",,4,
AO12014itkt,2873013,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,150,,"77,5",,"108,3",,"80,27",,2,
CF09117itkt,2873037,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,151,,"77,1",,97,,"71,89",,4,
EM08231itkt,2873031,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,151,,"72,2",,"101,8",,"75,49",,2,
AO12013itkt,2873033,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,treated,2013,100,,151,,"78,3",,"91,8",,"68,07",,6,
Pakitoitkt,2873018,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,147,,"77,7",,"99,7",,"73,95",,"5,5",
