observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI02008itkfi,2786703,BTH_Clermont-Ferrand_2003_SetA2,BTH_Clermont-Ferrand_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,134,,"13,3",,"118,4",,"54,4",
RE01092itkfi,2786673,BTH_Clermont-Ferrand_2003_SetA2,BTH_Clermont-Ferrand_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,131,,"14,2",,"99,4",,"45,7",
DI02028itkfi,2786707,BTH_Clermont-Ferrand_2003_SetA2,BTH_Clermont-Ferrand_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,129,,13,,"100,4",,"46,1",
EM01324itkfi,2786685,BTH_Clermont-Ferrand_2003_SetA2,BTH_Clermont-Ferrand_2003_SetA2,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,134,,"11,9",,"103,1",,"47,4",
EM01024itkt,2786676,BTH_Clermont-Ferrand_2003_SetA2,BTH_Clermont-Ferrand_2003_SetA2,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,"14,3",,"92,8",,"39,8",
RE01092itkt,2786674,BTH_Clermont-Ferrand_2003_SetA2,BTH_Clermont-Ferrand_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,"15,7",,"93,1",,"39,9",
EM01325itkt,2786684,BTH_Clermont-Ferrand_2003_SetA2,BTH_Clermont-Ferrand_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"14,8",,100,,"42,9",
RE01015itkt,2786660,BTH_Clermont-Ferrand_2003_SetA2,BTH_Clermont-Ferrand_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,"12,4",,"117,1",,"50,2",
EM01328itkt,2786692,BTH_Clermont-Ferrand_2003_SetA2,BTH_Clermont-Ferrand_2003_SetA2,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,treated,2003,136,,"14,9",,"103,4",,"44,4",
Apacheitkt,2786688,BTH_Clermont-Ferrand_2003_SetA2,BTH_Clermont-Ferrand_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,129,,"13,3",,"95,5",,41,
