observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI02015,2782583,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,48985,gnpis_pui:holding-921_taxon-4898_accession-48985,DI02015,VIRTUAL_TRIAL,,,,,,,,2002,"7,5",,4,,5,,1,,3,
DI02022,2782618,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,49030,gnpis_pui:holding-921_taxon-4898_accession-49030,DI02022,VIRTUAL_TRIAL,,,,,,,,2002,8,,1,,5,,1,,1,
DI02020,2782616,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,49478,gnpis_pui:holding-921_taxon-4898_accession-49478,DI02020,VIRTUAL_TRIAL,,,,,,,,2002,8,,3,,5,,1,,4,
RE01025,2782614,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,49682,gnpis_pui:holding-921_taxon-4898_accession-49682,RE01025,VIRTUAL_TRIAL,,,,,,,,2002,6,,1,,5,,1,,1,
EM01216,2782608,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,2002,"4,5",,6,,5,,1,,1,
EM01138,2782626,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,49418,gnpis_pui:holding-921_taxon-4898_accession-49418,EM01138,VIRTUAL_TRIAL,,,,,,,,2002,6,,3,,3,,1,,7,
EM01150,2782621,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,2002,6,,3,,5,,1,,7,
EM01288,2782624,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,2002,6,,1,,2,,1,,1,
EM01206,2782598,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,48429,gnpis_pui:holding-921_taxon-4898_accession-48429,EM01206,VIRTUAL_TRIAL,,,,,,,,2002,9,,4,,2,,1,,1,
CF01184,2782619,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,2002,"4,5",,3,,2,,1,,1,
RE01027,2782592,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,48707,gnpis_pui:holding-921_taxon-4898_accession-48707,RE01027,VIRTUAL_TRIAL,,,,,,,,2002,7,,4,,2,,1,,6,
EM01152,2782623,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,48802,gnpis_pui:holding-921_taxon-4898_accession-48802,EM01152,VIRTUAL_TRIAL,,,,,,,,2002,"7,5",,3,,5,,1,,4,
DI02017,2782585,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,48804,gnpis_pui:holding-921_taxon-4898_accession-48804,DI02017,VIRTUAL_TRIAL,,,,,,,,2002,8,,4,,5,,1,,8,
RE01032,2782599,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,48816,gnpis_pui:holding-921_taxon-4898_accession-48816,RE01032,VIRTUAL_TRIAL,,,,,,,,2002,"7,5",,3,,2,,1,,4,
RE01038,2782595,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,48817,gnpis_pui:holding-921_taxon-4898_accession-48817,RE01038,VIRTUAL_TRIAL,,,,,,,,2002,7,,6,,5,,1,,1,
RE01078,2782589,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,48557,gnpis_pui:holding-921_taxon-4898_accession-48557,RE01078,VIRTUAL_TRIAL,,,,,,,,2002,6,,6,,2,,1,,6,
RE01073,2782594,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,48594,gnpis_pui:holding-921_taxon-4898_accession-48594,RE01073,VIRTUAL_TRIAL,,,,,,,,2002,5,,6,,2,,1,,1,
DI02019,2782590,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,48627,gnpis_pui:holding-921_taxon-4898_accession-48627,DI02019,VIRTUAL_TRIAL,,,,,,,,2002,6,,4,,5,,1,,1,
Apache,2782605,BTH_Rennes_2002_SetB2_PIETIN-VERSE,BTH_Rennes_2002_SetB2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2002,NA,,NA,,NA,,NA,,NA,
