observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08019-2itkfi,2863300,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,90,,152,,"9,67",,"113,2",,3,,"76,1",,2,,2,,1,
AO10013itkt,2863314,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,85,,148,,"12,55",,"103,1",,,,"87,6",,"1,5",,2,,9,
AO10013itknt,2863313,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,85,,150,,,,"100,2",,4,,"73,3",,"2,5",,4,,"7,5",
DI08019-2itkt,2863302,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,90,,150,,"10,12",,"106,2",,,,"90,2",,1,,2,,"2,5",
AO10013itkfi,2863312,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"3,5",,82,,150,,"10,66",,"100,3",,"4,5",,"67,4",,1,,2,,5,
DI08019-2itknt,2863301,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"2,5",,88,,150,,,,"95,2",,3,,"69,6",,1,,3,,1,
Lyrikitkfi,2863384,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,92,,152,,"9,64",,"113,9",,"3,5",,"76,6",,3,,3,,1,
Soissonsitknt,2863379,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,90,,146,,,,93,,5,,68,,1,,2,,1,
Lyrikitknt,2863385,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,92,,152,,,,"83,3",,5,,"60,9",,1,,"3,5",,1,
Bermudeitkfi,2863303,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"3,5",,82,,154,,"10,5",,"96,8",,"2,5",,"65,1",,1,,"2,5",,1,
