observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
EM01343itkt,2783971,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,treated,2002,"108,5",,87,
CF01188itkt,2783987,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48355,gnpis_pui:holding-921_taxon-4898_accession-48355,CF01188,VIRTUAL_TRIAL,,,,,,,,treated,2002,"103,1",,"82,7",
Apacheitkt,2783966,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2002,"109,2",,"87,6",
DI02029itkt,2783975,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49029,gnpis_pui:holding-921_taxon-4898_accession-49029,DI02029,VIRTUAL_TRIAL,,,,,,,,treated,2002,"103,1",,"82,7",
CF01092itkt,2783947,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,26051,https://doi.org/10.15454/PBOUMT,CF01092,VIRTUAL_TRIAL,,,,,,,,treated,2002,"94,5",,"75,8",
RE02101itkt,2783983,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,treated,2002,"107,6",,"86,3",
RE02105itkt,2783977,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49635,gnpis_pui:holding-921_taxon-4898_accession-49635,RE02105,VIRTUAL_TRIAL,,,,,,,,treated,2002,"92,6",,"74,3",
DI02031itkt,2783953,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49327,gnpis_pui:holding-921_taxon-4898_accession-49327,DI02031,VIRTUAL_TRIAL,,,,,,,,treated,2002,"102,1",,"81,9",
DI02026itkt,2783981,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49711,gnpis_pui:holding-921_taxon-4898_accession-49711,DI02026,VIRTUAL_TRIAL,,,,,,,,treated,2002,"98,2",,"78,8",
RE01097itkt,2783958,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48572,gnpis_pui:holding-921_taxon-4898_accession-48572,RE01097,VIRTUAL_TRIAL,,,,,,,,treated,2002,"108,7",,"87,2",
RE01091itkt,2783961,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48577,gnpis_pui:holding-921_taxon-4898_accession-48577,RE01091,VIRTUAL_TRIAL,,,,,,,,treated,2002,"103,6",,"83,1",
RE02087itkt,2783956,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48974,gnpis_pui:holding-921_taxon-4898_accession-48974,RE02087,VIRTUAL_TRIAL,,,,,,,,treated,2002,"83,8",,"67,3",
RE02103itkt,2783948,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48405,gnpis_pui:holding-921_taxon-4898_accession-48405,RE02103,VIRTUAL_TRIAL,,,,,,,,treated,2002,"116,7",,"93,6",
RE02133itkt,2783950,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49384,gnpis_pui:holding-921_taxon-4898_accession-49384,RE02133,VIRTUAL_TRIAL,,,,,,,,treated,2002,"107,5",,"86,2",
EM01352itkt,2783989,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,treated,2002,"99,6",,"79,9",
DI02023itkt,2783978,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49051,gnpis_pui:holding-921_taxon-4898_accession-49051,DI02023,VIRTUAL_TRIAL,,,,,,,,treated,2002,"98,8",,"79,2",
DI02025itkt,2783980,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48848,gnpis_pui:holding-921_taxon-4898_accession-48848,DI02025,VIRTUAL_TRIAL,,,,,,,,treated,2002,"99,5",,"79,8",
RE01095itkt,2783959,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49084,gnpis_pui:holding-921_taxon-4898_accession-49084,RE01095,VIRTUAL_TRIAL,,,,,,,,treated,2002,"83,6",,"67,1",
DI02024itkt,2783979,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49660,gnpis_pui:holding-921_taxon-4898_accession-49660,DI02024,VIRTUAL_TRIAL,,,,,,,,treated,2002,"100,4",,"80,6",
DI02032itkt,2783952,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,treated,2002,"116,7",,"93,6",
Chargeritkt,2783970,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2002,"94,6",,"75,9",
RE02132itkt,2783949,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49262,gnpis_pui:holding-921_taxon-4898_accession-49262,RE02132,VIRTUAL_TRIAL,,,,,,,,treated,2002,"95,6",,"76,7",
CF00060itkt,2783955,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,treated,2002,"94,5",,"75,8",
Soissonsitkt,2783988,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2002,"114,4",,"91,8",
DI02030itkt,2783954,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48372,gnpis_pui:holding-921_taxon-4898_accession-48372,DI02030,VIRTUAL_TRIAL,,,,,,,,treated,2002,"82,6",,"66,2",
EM01328itkt,2783967,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,treated,2002,88,,"70,6",
CF01183itkt,2783986,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48732,https://doi.org/10.15454/LGORJG,CF01183,VIRTUAL_TRIAL,,,,,,,,treated,2002,"108,1",,"86,7",
Isengrainitkt,2783984,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2002,"81,7",,"65,6",
RE01086itkt,2783976,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,treated,2002,89,,"71,4",
RE01092itkt,2783960,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,treated,2002,"100,9",,"80,9",
RE01101itkt,2783968,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48790,gnpis_pui:holding-921_taxon-4898_accession-48790,RE01101,VIRTUAL_TRIAL,,,,,,,,treated,2002,107,,"85,8",
EM01346itkt,2783973,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48932,gnpis_pui:holding-921_taxon-4898_accession-48932,EM01346,VIRTUAL_TRIAL,,,,,,,,treated,2002,"116,4",,"93,4",
EM01308itkt,2783963,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48674,gnpis_pui:holding-921_taxon-4898_accession-48674,EM01308,VIRTUAL_TRIAL,,,,,,,,treated,2002,"86,7",,"69,6",
RE01096itkt,2783957,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,48865,gnpis_pui:holding-921_taxon-4898_accession-48865,RE01096,VIRTUAL_TRIAL,,,,,,,,treated,2002,"103,1",,"82,7",
Autanitkt,2783969,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,25805,https://doi.org/10.15454/ZA6HMJ,AUTAN,VIRTUAL_TRIAL,,,,,,,,treated,2002,"83,9",,"67,3",
DI02028itkt,2783974,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,treated,2002,"103,1",,"82,7",
RE01089itkt,2783985,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49165,gnpis_pui:holding-921_taxon-4898_accession-49165,RE01089,VIRTUAL_TRIAL,,,,,,,,treated,2002,"95,8",,"76,8",
DI02027itkt,2783982,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49062,gnpis_pui:holding-921_taxon-4898_accession-49062,DI02027,VIRTUAL_TRIAL,,,,,,,,treated,2002,"90,6",,"72,7",
EM01324itkt,2783965,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,treated,2002,"91,4",,"73,3",
EM01322itkt,2783962,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49004,gnpis_pui:holding-921_taxon-4898_accession-49004,EM01322,VIRTUAL_TRIAL,,,,,,,,treated,2002,"100,5",,"80,7",
RE02088itkt,2783951,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49709,gnpis_pui:holding-921_taxon-4898_accession-49709,RE02088,VIRTUAL_TRIAL,,,,,,,,treated,2002,"104,9",,"84,1",
EM01338itkt,2783990,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49457,gnpis_pui:holding-921_taxon-4898_accession-49457,EM01338,VIRTUAL_TRIAL,,,,,,,,treated,2002,"100,7",,"80,8",
EM01363itkt,2783972,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49464,gnpis_pui:holding-921_taxon-4898_accession-49464,EM01363,VIRTUAL_TRIAL,,,,,,,,treated,2002,"100,4",,"80,6",
EM01325itkt,2783964,BTH_Lusignan_2002_SetB3,BTH_Lusignan_2002_SetB3,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,treated,2002,102,,"81,8",
