observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,volC(CO_321:1000235),volC(CO_321:1000235).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Ressoritkt,2767211,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2000,22,,98,,142,,54,,196,,38,,"0,39",,112,,2,,110,,82,,"10,5",,72,,34,,1564,,"1,55",,18,
DI00005itkt,2767188,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26857,https://doi.org/10.15454/HTU2TO,DI00005,VIRTUAL_TRIAL,,,,,,,,treated,2000,"26,2",,139,,160,,67,,227,,56,,"0,4",,215,,25,,292,,135,,"11,5",,75,,51,,1747,,"1,69",,32,
DI00016itkt,2767220,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,treated,2000,"16,5",,56,,142,,67,,209,,78,,"1,41",,172,,1,,170,,84,,"10,5",,77,,37,,1485,,"2,5",,20,
CF99005itkt,2767212,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2000,"18,1",,66,,132,,56,,188,,72,,"1,09",,198,,25,,296,,177,,"10,4",,77,,50,,1450,,"1,7",,31,
RE99009itkt,2767221,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,treated,2000,"18,2",,67,,134,,64,,198,,48,,"0,71",,129,,10,,110,,124,,"10,3",,70,,35,,1397,,"1,45",,21,
CF00193itkt,2767185,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2000,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF00189itkt,2767197,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,treated,2000,"24,1",,118,,144,,64,,208,,49,,"0,41",,163,,1,,188,,90,,"11,5",,73,,45,,1565,,"2,45",,24,
CF99105itkt,2767219,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,treated,2000,"24,9",,126,,142,,59,,201,,62,,"0,49",,228,,44,,153,,148,,"10,8",,77,,55,,1547,,"2,58",,35,
CF00191itkt,2767217,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,treated,2000,"20,1",,82,,132,,69,,201,,60,,"0,72",,182,,5,,175,,137,,"10,9",,74,,44,,1448,,"2,25",,26,
CF99031itkt,2767195,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,treated,2000,17,,58,,132,,62,,194,,81,,"1,39",,176,,38,,292,,188,,"10,9",,80,,39,,1531,,"2,47",,28,
