observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08019-2itkt,2863662,BTH_Le_Moulon_2012_SetA1,BTH_Le_Moulon_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,95,,"39,9",,142,,"11,1",,71,,"99,5",,,,"103,3",,,,,,4,
AO10013itkfi,2863672,BTH_Le_Moulon_2012_SetA1,BTH_Le_Moulon_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,93,,"43,2",,140,,"10,21",,"70,4",,103,,"2,5",,79,,1,,"4,5",,"4,5",
EM07117itkt,2863668,BTH_Le_Moulon_2012_SetA1,BTH_Le_Moulon_2012_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2012,104,,"42,9",,145,,"10,7",,"73,6",,"97,2",,,,"100,9",,,,,,"3,5",
DI08019-2itknt,2863661,BTH_Le_Moulon_2012_SetA1,BTH_Le_Moulon_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,94,,,,142,,,,"67,4",,122,,1,,"90,4",,1,,3,,1,
Apacheitkfi,2863684,BTH_Le_Moulon_2012_SetA1,BTH_Le_Moulon_2012_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,"35,5",,138,,"11,61",,"67,8",,"90,7",,1,,"69,5",,1,,8,,1,
Apacheitkt,2863686,BTH_Le_Moulon_2012_SetA1,BTH_Le_Moulon_2012_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,88,,"41,2",,138,,"11,7",,"75,2",,"99,6",,,,"103,5",,,,,,"1,5",
DI08019-2itkfi,2863660,BTH_Le_Moulon_2012_SetA1,BTH_Le_Moulon_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,"43,3",,142,,"9,67",,"77,4",,120,,1,,92,,1,,"1,5",,1,
AO10013itkt,2863674,BTH_Le_Moulon_2012_SetA1,BTH_Le_Moulon_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2012,96,,46,,142,,"11,88",,"66,1",,"102,2",,,,"106,1",,,,,,8,
Lyrikitknt,2863745,BTH_Le_Moulon_2012_SetA1,BTH_Le_Moulon_2012_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,93,,,,142,,,,"71,4",,"127,7",,1,,"94,6",,1,,3,,2,
AO10013itknt,2863673,BTH_Le_Moulon_2012_SetA1,BTH_Le_Moulon_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,86,,,,140,,,,"67,6",,"104,8",,2,,"77,7",,1,,8,,6,
RE09055itknt,2863742,BTH_Le_Moulon_2012_SetA1,BTH_Le_Moulon_2012_SetA1,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,91,,,,138,,,,"64,7",,"106,2",,1,,"78,7",,"1,5",,5,,2,
AO11002itkfi,2863705,BTH_Le_Moulon_2012_SetA1,BTH_Le_Moulon_2012_SetA1,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,96,,"47,1",,143,,"10,81",,72,,"104,7",,1,,"80,3",,1,,"3,5",,1,
