observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Galibieritkt,2872839,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,treated,2013,99,,148,,"14,2",,"65,6",,"84,4",,"88,2",,,,,,2,
AO12002itkt,2872842,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,154,,"11,1",,"75,8",,103,,"107,7",,,,,,1,
AO12002itkfi,2872840,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,154,,11,,"73,9",,"100,4",,"86,5",,1,,,,1,
EM10126itkfi,2872855,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,154,,"11,1",,"71,8",,104,,"89,7",,1,,,,1,
EM10126itkt,2872857,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2013,89,,154,,"11,4",,"72,2",,"101,5",,106,,,,,,"1,5",
EM10126itknt,2872856,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,89,,154,,,,"73,4",,"106,6",,99,,1,,5,,1,
CF10185itknt,2872922,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,91,,156,,,,"73,2",,"107,3",,"99,6",,1,,5,,1,
CF10185itkt,2872923,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,156,,"11,6",,"74,6",,"102,1",,"106,7",,,,,,1,
CF10185itkfi,2872921,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,156,,"10,8",,75,,"104,2",,"89,8",,1,,,,1,
AO13007itknt,2872820,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,80,,155,,,,"75,9",,105,,"97,5",,1,,"3,8",,1,
AO13007itkfi,2872819,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,154,,"10,2",,"76,5",,"102,1",,88,,1,,,,1,
AO13007itkt,2872821,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,treated,2013,81,,155,,"11,4",,"74,4",,"94,4",,"98,6",,,,,,1,
AO13001itknt,2872814,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,85,,154,,,,"75,3",,"99,8",,"92,6",,1,,5,,1,
AO13001itkt,2872815,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,154,,"12,1",,"74,8",,97,,"101,4",,,,,,1,
AO13001itkfi,2872813,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,81,,154,,"11,2",,"75,7",,"100,1",,"86,3",,1,,,,1,
CF10064itkfi,2872822,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,154,,"10,7",,"75,2",,"111,8",,"96,4",,1,,,,1,
CF10064itknt,2872823,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,91,,156,,,,"72,8",,"113,5",,"105,4",,1,,"3,8",,1,
CF10064itkt,2872824,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2013,93,,156,,"12,4",,"74,2",,"96,6",,"100,9",,,,,,1,
AO12006itkfi,2872849,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,155,,"11,4",,"75,4",,"106,7",,"91,9",,1,,,,1,
AO12006itknt,2872850,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,88,,154,,,,"75,6",,"110,7",,"102,8",,1,,"3,8",,1,
AO12006itkt,2872851,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,156,,"11,4",,"73,2",,"97,9",,"102,2",,,,,,1,
AO12016itkt,2872899,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,156,,"10,6",,"75,2",,"94,3",,"98,5",,,,,,1,
AO12016itknt,2872898,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,155,,,,72,,"98,8",,"91,7",,1,,"5,5",,1,
