observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,vp(CO_321:1000225),vp(CO_321:1000225).date
DI02008itkt,2801782,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2004,12,,29,,100,,"8,1",,"59,9",,168,,127,,"4,38",,167,,77,,392,,"12,725",,NA,,1165,,"3,01",
Koreliitkt,2801809,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2004,"12,8",,33,,100,,"56,9",,"84,4",,241,,154,,"4,67",,226,,81,,389,,"11,74",,NA,,1635,,"3,12",
Barokitkt,2801761,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2004,"19,8",,79,,88,,59,,88,,236,,71,,"0,89",,215,,77,,NA,,"11,1",,"80,7",,1588,,"2,14",
CF03201itkt,2801787,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2004,22,,98,,97,,69,,85,,251,,87,,"0,89",,323,,76,,NA,,"10,9",,"84,3",,1213,,"2,92",
EM02224itkt,2801805,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,treated,2004,"23,3",,110,,100,,"87,1",,97,,284,,73,,"0,66",,256,,29,,376,,"13,53",,NA,,1825,,"2,69",
EM02054itkt,2801775,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2004,"16,5",,55,,100,,"78,1",,97,,275,,104,,"1,89",,216,,94,,341,,"12,275",,NA,,1740,,"2,83",
EM01343itkt,2801789,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,treated,2004,"20,1",,82,,82,,30,,66,,178,,90,,"1,1",,284,,81,,NA,,"11,8",,"79,9",,1288,,"2,17",
LM03017itkt,2801796,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,treated,2004,"18,5",,69,,97,,28,,75,,201,,63,,"0,9",,174,,54,,NA,,"9,3",,79,,1289,,"2,43",
DI02006itkt,2801769,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,8",,28,,97,,"8,1",,"75,5",,181,,161,,"5,75",,206,,97,,425,,"12,115",,NA,,1137,,"2,72",
DI01022itkt,2801781,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2004,"15,7",,50,,97,,51,,"83,3",,231,,90,,"1,8",,196,,20,,371,,"11,625",,NA,,1657,,"2,74",
LM03004itkt,2801767,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,treated,2004,"21,6",,95,,97,,50,,97,,244,,75,,"0,79",,239,,90,,NA,,"11,8",,"83,3",,1501,,"2,17",
EM00264itkt,2801800,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2004,"17,3",,60,,67,,7,,50,,124,,114,,"1,88",,310,,69,,NA,,"11,5",,"79,6",,1073,,"2,3",
LM03001itkt,2801765,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,treated,2004,"16,8",,58,,73,,29,,69,,171,,97,,"1,68",,236,,70,,NA,,"11,3",,"78,1",,1301,,"2,27",
Apacheitkt,2801780,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2004,"20,5",,85,,100,,"84,1",,"98,5",,283,,90,,"1,06",,274,,NA,,364,,"12,96",,NA,,1767,,NA,
Skerzzoitkt,2801803,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"23,5",,112,,100,,"78,7",,"84,4",,263,,100,,"0,9",,407,,70,,344,,"13,83",,NA,,1740,,"2,84",
Tamaroitkt,2801808,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"26,55",,143,,"77,5",,"49,9",,"71,7",,199,,89,,"0,625",,"465,5",,91,,343,,"14,9",,"85,5",,"1700,5",,"2,54",
