observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF99351itkt,2775372,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,8",,64,,78,,47,,125,,123,,"1,91",,340,,24,,337,,294,,"34,85",,"13,8",,81,,78,,"3,1",,55,
CF00064itkt,2775350,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,25898,https://doi.org/10.15454/CH5SFE,CF00064,VIRTUAL_TRIAL,,,,,,,,treated,2001,15,,46,,63,,44,,107,,103,,"2,26",,215,,49,,319,,312,,"48,5",,"12,8",,81,,60,,"2,36",,40,
Voltigeitkt,2775367,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2001,"16,5",,56,,109,,49,,158,,39,,"0,71",,99,,11,,282,,131,,"39,05",,"11,2",,"78,5",,45,,"1,56",,26,
EM99012itkt,2775400,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,1",,74,,NA,,NA,,NA,,65,,"0,88",,207,,39,,NA,,155,,"42,9",,"12,6",,80,,55,,"1,74",,42,
DI00008itkt,2775360,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,6",,113,,130,,62,,192,,49,,"0,43",,184,,4,,335,,114,,"42,65",,"11,8",,"76,5",,43,,"2,38",,30,
EM00018itkt,2775385,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,4",,76,,127,,62,,189,,48,,"0,63",,149,,11,,292,,147,,42,,"11,1",,"78,5",,45,,"1,72",,28,
RE99017itkt,2775396,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,6",,70,,105,,51,,156,,36,,"0,51",,112,,6,,220,,162,,"35,2",,"11,4",,"77,5",,47,,"1,44",,27,
DI00010itkt,2775348,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,7",,63,,135,,70,,205,,60,,"0,95",,159,,3,,312,,98,,"40,85",,"11,4",,"80,5",,47,,"2,8",,26,
CF00116itkt,2775379,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,4",,102,,128,,59,,187,,50,,"0,49",,179,,NA,,264,,132,,46,,NA,,78,,59,,"2,8",,32,
EM00072itkt,2775388,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,1",,74,,143,,63,,206,,50,,"0,68",,146,,18,,305,,106,,42,,"11,4",,76,,43,,"2,07",,24,
