observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI02008itknt,2793995,BTH_Le_Moulon_2004_SetA1,BTH_Le_Moulon_2004_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"104,7",,"97,5",,,
Oratorioitkt,2794008,BTH_Le_Moulon_2004_SetA1,BTH_Le_Moulon_2004_SetA1,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,52",,"80,5",,"96,2",,"102,3",,1,
Isengrainitknt,2794019,BTH_Le_Moulon_2004_SetA1,BTH_Le_Moulon_2004_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,104,,"96,8",,,
DI02008itkt,2793996,BTH_Le_Moulon_2004_SetA1,BTH_Le_Moulon_2004_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,62",,"80,4",,"104,7",,"111,3",,1,
DI02008itkfi,2793994,BTH_Le_Moulon_2004_SetA1,BTH_Le_Moulon_2004_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,8",,"77,9",,"103,4",,"89,1",,1,
Farandoleitkt,2793987,BTH_Le_Moulon_2004_SetA1,BTH_Le_Moulon_2004_SetA1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2004,11,,"76,4",,"111,7",,"118,7",,1,
EM01214itknt,2793980,BTH_Le_Moulon_2004_SetA1,BTH_Le_Moulon_2004_SetA1,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"90,4",,"84,2",,,
Rytmicitkfi,2793976,BTH_Le_Moulon_2004_SetA1,BTH_Le_Moulon_2004_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,46",,"75,2",,109,,"93,9",,1,
Koreliitkfi,2793955,BTH_Le_Moulon_2004_SetA1,BTH_Le_Moulon_2004_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,31",,82,,"112,6",,97,,2,
Koreliitknt,2793956,BTH_Le_Moulon_2004_SetA1,BTH_Le_Moulon_2004_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"115,2",,"107,2",,,
