observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI05020-2itkfi,2818508,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,,
DI05020-2itkt,2818509,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,"26,1",,138,,97,,NA,,69,,NA,,65,,NA,,232,,NA,,50,,"0,36",,196,,"50,5",,400,,"12,45",,"73,8",,1620,,NA,,38,
DI06007itkt,2818549,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,treated,2006,"25,9",,136,,NA,,100,,NA,,"49,4",,NA,,"92,5",,NA,,"241,8",,46,,"0,34",,216,,26,,352,,"12,8",,"79,2",,NA,,1620,,NA,
DI06007itkfi,2818548,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"25,9",,136,,,,100,,,,"29,3",,,,72,,,,"201,3",,43,,"0,31",,206,,20,,371,,"11,6",,"77,8",,,,1310,,,
DI05022itkt,2818437,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2006,"23,8",,115,,84,,NA,,35,,NA,,52,,NA,,171,,NA,,72,,"0,63",,211,,66,,461,,"13,6",,"75,6",,1430,,NA,,50,
DI05022itkfi,2818436,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,,
Barokitkfi,2818434,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,,
Barokitkt,2818435,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2006,"19,8",,80,,97,,NA,,70,,NA,,80,,NA,,247,,NA,,74,,"0,94",,184,,73,,433,,"12,9",,"77,1",,1700,,NA,,40,
EM05055itkfi,2818502,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"26,8",,146,,,,100,,,,"45,8",,,,"56,1",,,,"201,9",,35,,"0,24",,157,,22,,318,,"11,7",,"76,5",,,,1500,,,
EM05055itkt,2818503,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,treated,2006,"28,4",,164,,NA,,100,,NA,,51,,NA,,"77,4",,NA,,"228,4",,34,,"0,2",,160,,32,,340,,"12,8",,"77,8",,NA,,1600,,NA,
CF05173itkfi,2818528,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"24,3",,120,,,,100,,,,"40,1",,,,87,,,,"227,1",,68,,"0,57",,286,,23,,418,,"12,9",,79,,,,1620,,,
CF05173itkt,2818529,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2006,"22,7",,105,,NA,,100,,NA,,"51,6",,NA,,100,,NA,,"251,6",,72,,"0,69",,285,,26,,385,,"12,4",,"80,8",,NA,,1620,,NA,
EM03332itkt,2818537,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,treated,2006,"20,2",,83,,97,,NA,,83,,NA,,75,,NA,,255,,NA,,99,,"1,21",,268,,65,,455,,"12,55",,"77,8",,1780,,NA,,47,
EM03332itkfi,2818536,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,,
CF05079itkfi,2818526,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"19,4",,76,,,,100,,,,29,,,,"70,9",,,,"199,9",,98,,"1,28",,304,,73,,389,,12,,"80,4",,,,1200,,,
CF05079itkt,2818527,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2006,"19,1",,74,,NA,,91,,NA,,"33,2",,NA,,"73,2",,NA,,"197,4",,118,,"1,59",,362,,84,,402,,"13,1",,"80,9",,NA,,1290,,NA,
CF05091itkt,2818499,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,treated,2006,22,,98,,NA,,100,,NA,,"61,1",,NA,,91,,NA,,"252,1",,133,,"1,36",,455,,94,,437,,"13,3",,"80,1",,NA,,1600,,NA,
CF05091itkfi,2818498,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"21,5",,94,,,,100,,,,58,,,,"91,1",,,,"249,2",,118,,"1,25",,386,,74,,465,,13,,"78,6",,,,1610,,,
DI05014itkt,2818473,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2006,"21,6",,95,,97,,NA,,63,,NA,,74,,NA,,234,,NA,,60,,"0,64",,210,,28,,351,,"12,65",,"79,4",,1690,,NA,,33,
DI05014itkfi,2818472,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,,
RE05007itkfi,2818442,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"25,5",,132,,,,100,,,,"48,8",,,,"88,5",,,,"237,2",,51,,"0,39",,192,,53,,294,,12,,"75,4",,,,1600,,,
RE05007itkt,2818443,BTH_Estrées-Mons_2006_TECH,BTH_Estrées-Mons_2006_TECH,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,treated,2006,"25,3",,130,,NA,,100,,NA,,"53,8",,NA,,"86,2",,NA,,"240,1",,58,,"0,44",,209,,82,,291,,12,,"77,4",,NA,,1620,,NA,
