observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Koreliitkfi,2824630,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,129,,"9,72",,"75,4",,"105,9",,"2,5",,"78,5",,"2,5",,1,
RE06068itkt,2824669,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49628,gnpis_pui:holding-921_taxon-4898_accession-49628,RE06068,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,132,,"10,87",,"73,1",,"97,9",,,,"100,6",,,,1,
DI07010itkt,2824653,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,129,,"10,5",,"72,2",,"98,7",,,,"101,4",,,,1,
RE06068itkfi,2824668,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49628,gnpis_pui:holding-921_taxon-4898_accession-49628,RE06068,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"129,5",,"9,64",,"69,7",,"112,7",,3,,"83,6",,"1,5",,1,
CF06193itkt,2824657,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,"131,5",,"10,94",,"74,5",,"101,5",,,,"104,3",,,,1,
RE06061itkt,2824679,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,132,,"10,9",,"70,4",,92,,,,"94,6",,,,1,
RE06061itkfi,2824678,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"130,5",,"8,18",,"69,7",,"120,4",,"1,5",,"89,3",,1,,1,
CF06193itkfi,2824656,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"128,5",,"9,48",,"71,8",,"104,9",,3,,"77,8",,1,,1,
EM06170itkfi,2824600,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48712,gnpis_pui:holding-921_taxon-4898_accession-48712,EM06170,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,119,,"8,56",,"68,2",,"103,8",,5,,77,,"3,5",,1,
RE06065itkfi,2824596,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49641,gnpis_pui:holding-921_taxon-4898_accession-49641,RE06065,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,129,,"9,75",,"69,8",,100,,1,,"74,2",,"5,5",,1,
DI07014itkfi,2824604,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49677,gnpis_pui:holding-921_taxon-4898_accession-49677,DI07014,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,131,,"8,93",,"71,6",,"101,2",,3,,"75,1",,1,,1,
RE06065itkt,2824597,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49641,gnpis_pui:holding-921_taxon-4898_accession-49641,RE06065,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,131,,"11,2",,"72,4",,100,,,,"102,7",,,,1,
AO07301itkfi,2824618,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,126,,"8,68",,"69,9",,"97,3",,"5,5",,"72,2",,1,,1,
CF06194itkt,2824659,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49708,gnpis_pui:holding-921_taxon-4898_accession-49708,CF06194,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,132,,"10,26",,70,,"101,2",,,,104,,,,1,
AO07218itkfi,2824670,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27758,https://doi.org/10.15454/HQFX9Y,AO07218,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"124,5",,"9,94",,"70,7",,"100,1",,3,,"74,2",,5,,1,
AO07218itkt,2824671,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27758,https://doi.org/10.15454/HQFX9Y,AO07218,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,124,,"10,28",,"71,2",,"106,5",,,,"109,4",,,,1,
RE06062itkfi,2824676,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49221,https://doi.org/10.15454/ORAOPN,RE06062,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,"126,5",,"11,36",,"70,8",,"105,1",,1,,"77,9",,1,,1,
Apacheitkt,2824637,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,"123,5",,"10,77",,"74,4",,"104,2",,,,"107,1",,,,1,
RE06062itkt,2824677,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49221,https://doi.org/10.15454/ORAOPN,RE06062,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,130,,"11,84",,70,,"88,9",,,,"91,4",,,,1,
Apacheitkfi,2824636,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"122,5",,"8,96",,"69,2",,"99,7",,"5,5",,74,,2,,1,
AO07302itkfi,2824620,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,124,,"9,29",,"71,7",,"103,9",,"3,5",,77,,1,,1,
AO07302itkt,2824621,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,128,,"11,18",,"70,4",,"88,2",,,,"90,7",,,,1,
AO07311itkfi,2824664,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27760,https://doi.org/10.15454/RMDMGI,AO07311,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,124,,"9,3",,"72,9",,"113,2",,2,,84,,1,,5,
EM06110itkfi,2824680,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"119,5",,"9,8",,"69,6",,"113,9",,2,,"84,4",,1,,1,
RE06078itkfi,2824624,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49672,gnpis_pui:holding-921_taxon-4898_accession-49672,RE06078,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,125,,"10,04",,"72,4",,"99,4",,2,,"73,7",,1,,1,
EM06110itkt,2824681,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,"119,5",,"10,6",,"67,6",,"94,9",,,,"97,6",,,,1,
AO07311itkt,2824665,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27760,https://doi.org/10.15454/RMDMGI,AO07311,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,"124,5",,"10,76",,"72,8",,"98,2",,,,"100,9",,,,3,
CF06167itkfi,2824632,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48968,gnpis_pui:holding-921_taxon-4898_accession-48968,CF06167,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"128,5",,"8,35",,67,,97,,6,,"71,9",,1,,1,
AO07301itkt,2824619,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,129,,"11,18",,71,,"92,4",,,,"94,9",,,,1,
RE06083itkfi,2824646,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49633,gnpis_pui:holding-921_taxon-4898_accession-49633,RE06083,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"127,5",,"9,47",,"70,9",,"106,8",,1,,"79,2",,2,,1,
