observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO13044itkfi,2878684,BTH_Estrées-Mons_2013_SetB3,BTH_Estrées-Mons_2013_SetB3,61303,https://doi.org/10.15454/O5PDFN,AO13044,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,2,,81,,1,,162,,"11,1",,"79,2",,"101,4",,7,,"74,8",,"1,5",,4,,"5,5",
AO13044itkt,2878685,BTH_Estrées-Mons_2013_SetB3,BTH_Estrées-Mons_2013_SetB3,61303,https://doi.org/10.15454/O5PDFN,AO13044,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,,,162,,"12,4",,"80,6",,"96,9",,,,"94,2",,,,,,7,
EM12340itkt,2878727,BTH_Estrées-Mons_2013_SetB3,BTH_Estrées-Mons_2013_SetB3,48377,https://doi.org/10.15454/KP9UFC,EM12340,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,69,,,,162,,"12,6",,"80,8",,"103,1",,,,"100,2",,,,,,"3,5",
RE12073itkt,2878705,BTH_Estrées-Mons_2013_SetB3,BTH_Estrées-Mons_2013_SetB3,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,86,,,,158,,"12,8",,"82,2",,"95,7",,,,93,,,,,,8,
RE12073itkfi,2878704,BTH_Estrées-Mons_2013_SetB3,BTH_Estrées-Mons_2013_SetB3,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"1,5",,93,,1,,158,,"11,9",,"79,2",,"114,7",,1,,"84,6",,1,,"3,5",,"5,5",
AO13029itkt,2878663,BTH_Estrées-Mons_2013_SetB3,BTH_Estrées-Mons_2013_SetB3,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,76,,,,158,,12,,"82,1",,"103,3",,,,"100,4",,,,,,4,
CF12352itkt,2878713,BTH_Estrées-Mons_2013_SetB3,BTH_Estrées-Mons_2013_SetB3,61703,https://doi.org/10.15454/NAJGZ1,CF12352,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,,,158,,"13,2",,"81,3",,"96,3",,,,"93,6",,,,,,8,
AO13030itkt,2878671,BTH_Estrées-Mons_2013_SetB3,BTH_Estrées-Mons_2013_SetB3,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,75,,,,158,,"12,1",,"82,1",,"107,8",,,,"104,8",,,,,,"3,5",
CF12352itkfi,2878712,BTH_Estrées-Mons_2013_SetB3,BTH_Estrées-Mons_2013_SetB3,61703,https://doi.org/10.15454/NAJGZ1,CF12352,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"3,5",,80,,1,,158,,"11,8",,"77,3",,"92,5",,4,,"68,2",,1,,7,,4,
AO13029itkfi,2878662,BTH_Estrées-Mons_2013_SetB3,BTH_Estrées-Mons_2013_SetB3,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,2,,85,,3,,158,,"11,1",,"78,5",,"115,3",,2,,85,,"2,5",,7,,"2,5",
