observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI08011,2839933,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,2009,4,,2,,1,
RE07004,2839930,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,2009,"6,5",,3,,1,
RE07083,2839939,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,5,,1,
RE07025,2839931,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,2009,4,,5,,1,
AO09009,2839902,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27778,https://doi.org/10.15454/H1V79U,AO09009,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,5,,6,
CF07097,2839917,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,2,,1,
AO09011,2839928,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27780,https://doi.org/10.15454/RVET6J,AO09011,VIRTUAL_TRIAL,,,,,,,,2009,3,,5,,1,
AO09008,2839912,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27777,https://doi.org/10.15454/KBQRVN,AO09008,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,5,,6,
AO09007,2839903,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27776,https://doi.org/10.15454/4JXOGF,AO09007,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,5,,5,
CF07008,2839940,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,2,,1,
AO09010,2839929,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27779,https://doi.org/10.15454/NTANDH,AO09010,VIRTUAL_TRIAL,,,,,,,,2009,"2,5",,5,,5,
AO09002,2839919,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27771,https://doi.org/10.15454/DLZRR4,AO09002,VIRTUAL_TRIAL,,,,,,,,2009,7,,3,,1,
CF07002,2839938,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,2009,"2,5",,2,,1,
AO09005,2839909,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27774,https://doi.org/10.15454/SE9ESL,AO09005,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,5,,6,
AO09003,2839907,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27772,https://doi.org/10.15454/OARDBZ,AO09003,VIRTUAL_TRIAL,,,,,,,,2009,3,,5,,5,
CF07021,2839904,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,2009,"2,5",,2,,3,
AO09001,2839905,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27770,https://doi.org/10.15454/1LC9E6,AO09001,VIRTUAL_TRIAL,,,,,,,,2009,8,,5,,1,
AO09004,2839908,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27773,https://doi.org/10.15454/VLLBEN,AO09004,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,5,,7,
CF07018,2839922,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,2009,3,,2,,1,
RE07114,2839911,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,2,,1,
