observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI06007itkt,2821893,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,"131,5",,"11,69",,"76,2",,"96,6",,,,"76,9",,1,
Mendelitkfi,2821860,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,,,"12,92",,66,,"93,6",,6,,"43,8",,1,
Apacheitkt,2821859,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,125,,"10,72",,"78,5",,"110,5",,,,88,,2,
Apacheitkfi,2821858,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,,,"12,58",,"69,9",,"106,3",,8,,"49,8",,1,
RE05005itkfi,2821828,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,,,"13,43",,"68,5",,"110,8",,1,,"51,9",,1,
Koreliitkt,2821853,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,"133,5",,"12,1",,"79,6",,"100,4",,,,"79,9",,1,
Koreliitkfi,2821852,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,,,"12,2",,75,,114,,4,,"53,4",,1,
RE05011itkfi,2821876,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26899,https://doi.org/10.15454/3NYQAY,RE05011,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"12,31",,"69,2",,"111,2",,3,,"52,1",,1,
Caphornitkt,2821867,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,127,,12,,"73,5",,"97,9",,,,78,,2,
RE05016itkt,2821889,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,133,,"11,68",,77,,98,,,,"78,1",,"2,5",
EM05055itkfi,2821874,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,,,"11,91",,"68,9",,105,,"4,8",,"49,2",,1,
EM05055itkt,2821875,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,treated,2007,"97,5",,"128,5",,"11,04",,"75,2",,"99,6",,,,"79,3",,"1,5",
Sankaraitkfi,2821864,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"14,49",,"68,3",,"93,5",,6,,"43,8",,1,
RE05047itkt,2821843,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,131,,"12,18",,"77,2",,"96,4",,,,"76,7",,2,
Sankaraitkt,2821865,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,134,,"12,54",,"76,6",,"96,4",,,,"76,7",,1,
CF05173itkt,2821885,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,132,,"12,26",,"76,4",,"95,3",,,,"75,9",,"3,2",
DI06004itkt,2821895,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49291,https://doi.org/10.15454/RCJVYZ,DI06004,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,"133,5",,"11,98",,"71,6",,"95,4",,,,76,,1,
DI06004itkfi,2821894,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49291,https://doi.org/10.15454/RCJVYZ,DI06004,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"13,74",,"67,4",,"101,7",,"3,8",,"47,6",,1,
CF05173itkfi,2821884,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"13,6",,69,,"101,2",,"5,5",,"47,4",,1,
RE05038itkt,2821873,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,131,,"10,88",,"75,5",,"99,7",,,,"79,4",,"5,2",
RE05038itkfi,2821872,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,,,"11,31",,"70,2",,"126,4",,3,,"59,2",,"3,5",
CF05079itkt,2821883,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2007,"97,5",,131,,"12,82",,"79,2",,"100,9",,,,"80,3",,1,
RE05047itkfi,2821842,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,,,"12,27",,"74,6",,"124,2",,"3,2",,"58,2",,1,
CF05079itkfi,2821882,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,,,"13,36",,"74,6",,"115,7",,"3,5",,"54,2",,1,
RE05016itkfi,2821888,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,,,"11,64",,"71,4",,"117,9",,"3,5",,"55,2",,2,
CF05070itkt,2821887,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49098,https://doi.org/10.15454/YQH6B1,CF05070,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,136,,"13,26",,"73,7",,"86,9",,,,"69,2",,1,
EM05312itkt,2821835,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,48450,https://doi.org/10.15454/XWZ3V6,EM05312,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,129,,"11,81",,"75,9",,"94,4",,,,"75,2",,1,
