observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fr(CO_321:1000271),fr(CO_321:1000271).date
DI05022,2809042,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,2005,"6,5",
DI05021,2809040,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,2005,"6,5",
EM03332,2809043,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,2005,4,
CF04043,2809021,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",
CF04022,2809019,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,2005,2,
CF04052,2809014,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,26897,https://doi.org/10.15454/Q627QP,CF04052,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",
RE04097,2809028,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48464,gnpis_pui:holding-921_taxon-4898_accession-48464,RE04097,VIRTUAL_TRIAL,,,,,,,,2005,5,
CF04101,2809035,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,49054,gnpis_pui:holding-921_taxon-4898_accession-49054,CF04101,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",
RE04124,2809012,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,49453,gnpis_pui:holding-921_taxon-4898_accession-49453,RE04124,VIRTUAL_TRIAL,,,,,,,,2005,3,
DI05026,2809046,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48489,gnpis_pui:holding-921_taxon-4898_accession-48489,DI05026,VIRTUAL_TRIAL,,,,,,,,2005,4,
DI05027,2809045,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48705,gnpis_pui:holding-921_taxon-4898_accession-48705,DI05027,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
CF04159,2809030,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48809,gnpis_pui:holding-921_taxon-4898_accession-48809,CF04159,VIRTUAL_TRIAL,,,,,,,,2005,4,
EM03271,2809041,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48565,gnpis_pui:holding-921_taxon-4898_accession-48565,EM03271,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",
EM03204,2809020,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48628,gnpis_pui:holding-921_taxon-4898_accession-48628,EM03204,VIRTUAL_TRIAL,,,,,,,,2005,4,
Apache,2809026,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",
RE04100,2809018,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,49735,gnpis_pui:holding-921_taxon-4898_accession-49735,RE04100,VIRTUAL_TRIAL,,,,,,,,2005,5,
RE04098,2809024,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48437,gnpis_pui:holding-921_taxon-4898_accession-48437,RE04098,VIRTUAL_TRIAL,,,,,,,,2005,"5,5",
CF04164,2809025,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48363,gnpis_pui:holding-921_taxon-4898_accession-48363,CF04164,VIRTUAL_TRIAL,,,,,,,,2005,5,
Charger,2809034,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",
Caphorn,2809032,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
RE04101,2809017,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,26834,https://doi.org/10.15454/NMELF4,RE04101,VIRTUAL_TRIAL,,,,,,,,2005,5,
Orvantis,2809038,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
DI05025,2809013,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,2005,2,
CF04048,2809031,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,2005,2,
CF04114,2809016,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48527,https://doi.org/10.15454/5LEWVH,CF04114,VIRTUAL_TRIAL,,,,,,,,2005,"5,5",
EM03234,2809039,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,2005,"5,5",
RE04096,2809029,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48421,gnpis_pui:holding-921_taxon-4898_accession-48421,RE04096,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",
DI05028,2809037,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48436,gnpis_pui:holding-921_taxon-4898_accession-48436,DI05028,VIRTUAL_TRIAL,,,,,,,,2005,3,
RE04094,2809027,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48721,gnpis_pui:holding-921_taxon-4898_accession-48721,RE04094,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
RE04082,2809047,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48348,gnpis_pui:holding-921_taxon-4898_accession-48348,RE04082,VIRTUAL_TRIAL,,,,,,,,2005,2,
DI05023,2809048,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48851,gnpis_pui:holding-921_taxon-4898_accession-48851,DI05023,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",
RE04099,2809023,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48855,gnpis_pui:holding-921_taxon-4898_accession-48855,RE04099,VIRTUAL_TRIAL,,,,,,,,2005,4,
DI05029,2809036,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,49554,gnpis_pui:holding-921_taxon-4898_accession-49554,DI05029,VIRTUAL_TRIAL,,,,,,,,2005,2,
DI05024,2809044,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,49558,gnpis_pui:holding-921_taxon-4898_accession-49558,DI05024,VIRTUAL_TRIAL,,,,,,,,2005,5,
RE04108,2809015,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48339,gnpis_pui:holding-921_taxon-4898_accession-48339,RE04108,VIRTUAL_TRIAL,,,,,,,,2005,8,
Farandole,2809033,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,2005,NA,
EM03264,2809022,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,49705,gnpis_pui:holding-921_taxon-4898_accession-49705,EM03264,VIRTUAL_TRIAL,,,,,,,,2005,2,
RE04125,2809011,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,48485,gnpis_pui:holding-921_taxon-4898_accession-48485,RE04125,VIRTUAL_TRIAL,,,,,,,,2005,3,
