observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO12002itkt,2871629,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,142,,"11,2",,77,,"92,3",,,,"107,7",,,,1,
RE10042itkt,2871651,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,147,,"11,3",,80,,"90,1",,,,"105,1",,,,1,
AO13009itkt,2871621,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,143,,"11,1",,80,,"94,7",,,,"110,5",,,,1,
AO13009itkfi,2871620,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,144,,"10,8",,77,,"96,8",,1,,"102,7",,1,,1,
AO12002itkfi,2871628,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,144,,"10,5",,73,,"94,9",,1,,"100,7",,7,,1,
CF08027itkfi,2871678,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,152,,"10,8",,"76,5",,"93,4",,1,,"99,1",,1,,2,
CF08027itkt,2871679,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,150,,"11,2",,80,,"88,9",,,,"103,7",,,,1,
DI11014itkt,2871677,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,147,,"10,8",,79,,"104,8",,,,"122,2",,,,2,
AO12014itkt,2871623,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,146,,"10,7",,80,,"106,1",,,,"123,7",,,,5,
EM10126itkfi,2871638,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,143,,"10,4",,"74,5",,"92,2",,1,,"97,8",,1,,1,
EM10126itkt,2871639,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,142,,"11,1",,"75,5",,"97,1",,,,"113,3",,,,3,
Altigoitkfi,2871646,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,141,,"10,7",,"74,5",,"100,9",,1,,"107,1",,1,,1,
AO12021itkt,2871613,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,142,,"10,9",,"79,5",,98,,,,"114,3",,,,2,
Gallixeitkt,2871669,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,148,,"11,1",,77,,"96,3",,,,"112,3",,,,1,
AO12021itkfi,2871612,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,148,,"10,4",,74,,"100,3",,1,,"106,4",,1,,2,
CF10185itkfi,2871682,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,153,,"10,9",,"75,5",,"101,3",,1,,"107,5",,1,,1,
CF10185itkt,2871683,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,151,,"11,9",,78,,"105,6",,,,"123,2",,,,1,
Granamaxitkt,2871641,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,143,,11,,78,,"97,4",,,,"113,7",,,,1,
AO12035itkt,2871649,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,145,,"10,8",,"82,5",,"96,7",,,,"112,8",,,,1,
AO13007itkt,2871615,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,146,,"10,6",,"77,5",,"92,6",,,,108,,,,1,
Gallixeitkfi,2871668,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,149,,"10,6",,"69,5",,"95,3",,1,,"101,1",,1,,1,
AO13007itkfi,2871614,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,150,,"10,5",,"76,5",,"98,7",,1,,"104,8",,1,,1,
Granamaxitkfi,2871640,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,150,,"10,6",,"74,5",,"97,6",,1,,"103,6",,1,,1,
AO11011itkfi,2871644,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,150,,"10,1",,"73,5",,"94,4",,1,,"100,2",,1,,1,
