observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI02015itknt,2781792,BTH_Estrées-Mons_2002_SetB2,BTH_Estrées-Mons_2002_SetB2,48985,gnpis_pui:holding-921_taxon-4898_accession-48985,DI02015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,"98,8",,"70,2",
DI02015itkfi,2781791,BTH_Estrées-Mons_2002_SetB2,BTH_Estrées-Mons_2002_SetB2,48985,gnpis_pui:holding-921_taxon-4898_accession-48985,DI02015,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"101,4",,70,
DI02016itkfi,2781800,BTH_Estrées-Mons_2002_SetB2,BTH_Estrées-Mons_2002_SetB2,48370,gnpis_pui:holding-921_taxon-4898_accession-48370,DI02016,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"105,3",,"72,7",
RE01078itknt,2781810,BTH_Estrées-Mons_2002_SetB2,BTH_Estrées-Mons_2002_SetB2,48557,gnpis_pui:holding-921_taxon-4898_accession-48557,RE01078,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,"99,7",,"70,8",
EM01271itkt,2781856,BTH_Estrées-Mons_2002_SetB2,BTH_Estrées-Mons_2002_SetB2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,treated,2002,"107,8",,"97,2",
DI02015itkt,2781793,BTH_Estrées-Mons_2002_SetB2,BTH_Estrées-Mons_2002_SetB2,48985,gnpis_pui:holding-921_taxon-4898_accession-48985,DI02015,VIRTUAL_TRIAL,,,,,,,,treated,2002,"95,1",,"85,8",
EM01271itkfi,2781854,BTH_Estrées-Mons_2002_SetB2,BTH_Estrées-Mons_2002_SetB2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"106,7",,"73,7",
DI02022itknt,2781897,BTH_Estrées-Mons_2002_SetB2,BTH_Estrées-Mons_2002_SetB2,49030,gnpis_pui:holding-921_taxon-4898_accession-49030,DI02022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,"103,3",,"73,3",
RE01078itkfi,2781809,BTH_Estrées-Mons_2002_SetB2,BTH_Estrées-Mons_2002_SetB2,48557,gnpis_pui:holding-921_taxon-4898_accession-48557,RE01078,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"101,9",,"70,3",
RE01031itkfi,2781851,BTH_Estrées-Mons_2002_SetB2,BTH_Estrées-Mons_2002_SetB2,49543,gnpis_pui:holding-921_taxon-4898_accession-49543,RE01031,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"92,4",,"63,8",
Chargeritkt,2781880,BTH_Estrées-Mons_2002_SetB2,BTH_Estrées-Mons_2002_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2002,"90,6",,"81,7",
DI02022itkt,2781898,BTH_Estrées-Mons_2002_SetB2,BTH_Estrées-Mons_2002_SetB2,49030,gnpis_pui:holding-921_taxon-4898_accession-49030,DI02022,VIRTUAL_TRIAL,,,,,,,,treated,2002,"99,5",,"89,8",
