observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,vp(CO_321:1000225),vp(CO_321:1000225).date
DI03003itkfi,2792435,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,26426,https://doi.org/10.15454/PIXJ6I,DI03003,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,"20,1",,82,,61,,58,,54,,174,,41,,"0,49",,127,,21,,350,,"10,5",,"79,3",,1614,,"1,83",
DI03003itkt,2792436,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,26426,https://doi.org/10.15454/PIXJ6I,DI03003,VIRTUAL_TRIAL,,,,,,,,treated,2003,"24,4",,121,,70,,66,,64,,199,,40,,"0,33",,163,,24,,351,,"11,9",,77,,1565,,"1,81",
DI02008itkt,2792420,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2003,20,,81,,100,,"89,5",,77,,266,,101,,"1,24",,311,,NA,,368,,"12,68",,NA,,1937,,NA,
DI02008itkfi,2792419,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Recitalitkt,2792434,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,24059,https://doi.org/10.15454/WL6NIE,RECITAL,VIRTUAL_TRIAL,,,,,,,,treated,2003,"22,7",,104,,100,,"82,9",,"75,2",,258,,80,,"0,76",,269,,NA,,361,,"13,88",,NA,,1992,,NA,
Recitalitkfi,2792433,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,24059,https://doi.org/10.15454/WL6NIE,RECITAL,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,23,,107,,79,,89,,61,,229,,63,,"0,59",,227,,66,,309,,"12,3",,83,,2080,,"2,31",
Koreliitkfi,2792409,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Koreliitkt,2792410,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2003,"21,9",,98,,100,,"86,2",,"83,7",,270,,92,,"0,94",,303,,NA,,388,,"12,22",,NA,,1757,,NA,
RE01047itkt,2792430,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,26097,https://doi.org/10.15454/3W80FR,RE01047,VIRTUAL_TRIAL,,,,,,,,treated,2003,"23,7",,114,,100,,86,,61,,247,,49,,"0,43",,187,,31,,324,,"11,7",,"83,4",,1849,,"3,54",
RE01047itkfi,2792429,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,26097,https://doi.org/10.15454/3W80FR,RE01047,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,23,,107,,100,,88,,59,,246,,48,,"0,45",,173,,21,,365,,"10,9",,"82,2",,1890,,"3,85",
RE02080itkfi,2792399,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,26100,https://doi.org/10.15454/AM3GAN,RE02080,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,"20,8",,88,,85,,71,,61,,216,,39,,"0,45",,135,,25,,335,,"10,8",,"80,6",,1833,,"2,45",
RE02080itkt,2792400,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,26100,https://doi.org/10.15454/AM3GAN,RE02080,VIRTUAL_TRIAL,,,,,,,,treated,2003,"23,5",,112,,88,,87,,60,,234,,39,,"0,34",,153,,24,,336,,"11,8",,"79,4",,1865,,"2,35",
CF00193itkfi,2792379,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF00193itkt,2792380,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2003,"23,3",,110,,100,,"60,3",,"78,5",,239,,95,,"0,86",,324,,NA,,439,,"13,86",,NA,,1732,,NA,
RE01015itkt,2792446,BTH_Estrées-Mons_2003_TECH,BTH_Estrées-Mons_2003_TECH,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,treated,2003,21,,89,,100,,"87,7",,"63,6",,251,,51,,"0,58",,161,,NA,,345,,"12,3",,NA,,1942,,NA,
