observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE99102itkt,2771616,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,26002,https://doi.org/10.15454/4NCDUP,RE99102,VIRTUAL_TRIAL,,,,,,,,treated,2001,70,,142,,"99,9",,"89,1",
RE00108itkt,2771649,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,26004,https://doi.org/10.15454/6Q72BN,RE00108,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,150,,"78,8",,"70,2",
Farandoleitkt,2771625,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,144,,"88,4",,"78,9",
Chargeritkt,2771628,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2001,72,,146,,"94,8",,"84,5",
CF01002itkt,2771637,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,49326,gnpis_pui:holding-921_taxon-4898_accession-49326,CF01002,VIRTUAL_TRIAL,,,,,,,,treated,2001,72,,146,,"83,5",,"74,5",
Rytmicitkt,2771619,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2001,42,,150,,"86,3",,77,
CF00150itkt,2771641,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,49429,gnpis_pui:holding-921_taxon-4898_accession-49429,CF00150,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,142,,"97,1",,"86,6",
CF99351itkt,2771620,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,146,,"73,8",,"65,9",
EM00040itkt,2771611,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,49182,gnpis_pui:holding-921_taxon-4898_accession-49182,EM00040,VIRTUAL_TRIAL,,,,,,,,treated,2001,72,,144,,"84,2",,"75,1",
RE00119itkt,2771645,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,48886,gnpis_pui:holding-921_taxon-4898_accession-48886,RE00119,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,141,,"79,3",,"70,7",
LM00005itkt,2771613,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,49304,gnpis_pui:holding-921_taxon-4898_accession-49304,LM00005,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,142,,"101,3",,"90,4",
RE00116itkt,2771647,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,48651,gnpis_pui:holding-921_taxon-4898_accession-48651,RE00116,VIRTUAL_TRIAL,,,,,,,,treated,2001,68,,150,,"78,7",,"70,2",
CF00064itkt,2771614,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,25898,https://doi.org/10.15454/CH5SFE,CF00064,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,142,,"88,6",,79,
RE00102itkt,2771622,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,49066,gnpis_pui:holding-921_taxon-4898_accession-49066,RE00102,VIRTUAL_TRIAL,,,,,,,,treated,2001,70,,148,,"72,1",,"64,3",
CF01003itkt,2771636,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,49514,gnpis_pui:holding-921_taxon-4898_accession-49514,CF01003,VIRTUAL_TRIAL,,,,,,,,treated,2001,68,,144,,"86,2",,"76,9",
Soissonsitkt,2771646,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,138,,"91,5",,"81,6",
CF00048itkt,2771612,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,48524,gnpis_pui:holding-921_taxon-4898_accession-48524,CF00048,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,147,,"93,8",,"83,7",
Isengrainitkt,2771643,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,142,,"107,7",,"96,1",
Tremieitkt,2771638,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,140,,106,,"94,6",
RE99120itkt,2771642,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,48532,gnpis_pui:holding-921_taxon-4898_accession-48532,RE99120,VIRTUAL_TRIAL,,,,,,,,treated,2001,72,,146,,"87,9",,"78,4",
CF00010itkt,2771631,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,48350,https://doi.org/10.15454/YIXHGN,CF00010,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,145,,"86,5",,"77,2",
RE00113itkt,2771630,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,49700,gnpis_pui:holding-921_taxon-4898_accession-49700,RE00113,VIRTUAL_TRIAL,,,,,,,,treated,2001,72,,150,,"85,3",,"76,1",
CF00012itkt,2771633,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,48689,gnpis_pui:holding-921_taxon-4898_accession-48689,CF00012,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,146,,"84,2",,"75,1",
EM00073itkt,2771640,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,48841,gnpis_pui:holding-921_taxon-4898_accession-48841,EM00073,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,148,,"85,2",,76,
CF00116itkt,2771626,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,144,,"91,5",,"81,6",
CF99085itkt,2771650,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,48774,gnpis_pui:holding-921_taxon-4898_accession-48774,CF99085,VIRTUAL_TRIAL,,,,,,,,treated,2001,88,,144,,96,,"85,6",
EM00087itkt,2771635,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,49626,gnpis_pui:holding-921_taxon-4898_accession-49626,EM00087,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,146,,"87,4",,"77,9",
EM00074itkt,2771617,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,147,,"92,5",,"82,5",
EM00072itkt,2771639,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,146,,"90,9",,"81,1",
RE00109itkt,2771621,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,49703,gnpis_pui:holding-921_taxon-4898_accession-49703,RE00109,VIRTUAL_TRIAL,,,,,,,,treated,2001,70,,149,,"74,7",,"66,6",
EM00088itkt,2771610,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,48588,gnpis_pui:holding-921_taxon-4898_accession-48588,EM00088,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,146,,"77,3",,"68,9",
CF00110itkt,2771623,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,treated,2001,72,,146,,"87,8",,"78,3",
CF00017itkt,2771629,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,48962,gnpis_pui:holding-921_taxon-4898_accession-48962,CF00017,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,143,,"91,7",,"81,8",
CF99126itkt,2771648,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,49740,gnpis_pui:holding-921_taxon-4898_accession-49740,CF99126,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,148,,"74,2",,"66,2",
CF00117itkt,2771627,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,144,,88,,"78,4",
CF00113itkt,2771624,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,48890,gnpis_pui:holding-921_taxon-4898_accession-48890,CF00113,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,144,,"95,5",,"85,2",
CF00013itkt,2771632,BTH_Lusignan_2001_SetB1,BTH_Lusignan_2001_SetB1,48641,gnpis_pui:holding-921_taxon-4898_accession-48641,CF00013,VIRTUAL_TRIAL,,,,,,,,treated,2001,68,,146,,73,,"65,1",
