observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE10042itkt,2968577,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,traite,2015,135,,9.9,,79.5,,,,98.5,,,
AO13026itkt,2968531,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,traite,2015,133,,10.3,,81.5,,,,94,,,
AO13029itkfi,2968534,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,133,,9.7,,76,,3,,75.5,,1,
AO13029itkt,2968535,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,traite,2015,131,,10.6,,77.5,,,,101.7,,,
AO13031itkt,2968587,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,traite,2015,131,,10.6,,80.5,,,,102.5,,,
AO13031itkfi,2968586,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,133,,9.4,,79.5,,3,,81.6,,1,
DI14001itkt,2968573,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,traite,2015,135,,10.1,,77,,,,91,,,
DI14001itkfi,2968572,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,135,,9.2,,76.5,,2,,80.1,,1,
AO13042itkfi,2968558,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,136,,9.2,,77,,3,,80.9,,1,
AO13042itkt,2968559,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,traite,2015,135,,10,,75,,,,104.8,,,
DI14004itkt,2968527,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,traite,2015,136,,10.4,,75,,,,91.2,,,
DI14004itkfi,2968526,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,137,,9.5,,77,,2,,78,,1,
RE12080itkt,2968547,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,traite,2015,133,,10.9,,79.5,,,,83,,,
RE12080itkfi,2968546,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,133,,9.9,,78.5,,1,,73.9,,1,
AO14001itkt,2968599,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,traite,2015,135,,9.8,,79,,,,97.7,,,
AO14001itkfi,2968598,BTH_Clermont-Ferrand_2015_SetA1,BTH_Clermont-Ferrand_2015_SetA1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,136,,9,,78,,3,,81.2,,3,
