observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO11009itkfi,2860039,BTH_Lusignan_2011_SetB2,BTH_Lusignan_2011_SetB2,61334,https://doi.org/10.15454/FHFPK2,AO11009,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,128,,"81,3",,"102,8",,"65,4",,1,
RE10081itkfi,2860053,BTH_Lusignan_2011_SetB2,BTH_Lusignan_2011_SetB2,61975,https://doi.org/10.15454/WIBYI7,RE10081,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,131,,"81,2",,"94,7",,"60,2",,1,
DI11009itkfi,2860035,BTH_Lusignan_2011_SetB2,BTH_Lusignan_2011_SetB2,60916,https://doi.org/10.15454/SLLOAU,DI11009,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,130,,"83,8",,"93,6",,"59,6",,1,
CF10064itkfi,2860026,BTH_Lusignan_2011_SetB2,BTH_Lusignan_2011_SetB2,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,128,,"79,8",,"103,6",,"65,9",,1,
AO11010itkfi,2860037,BTH_Lusignan_2011_SetB2,BTH_Lusignan_2011_SetB2,61350,https://doi.org/10.15454/U7J4EQ,AO11010,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,74,,130,,81,,"88,6",,"56,4",,1,
RE10085itkfi,2860032,BTH_Lusignan_2011_SetB2,BTH_Lusignan_2011_SetB2,48649,https://doi.org/10.15454/KBZ1TN,RE10085,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,130,,"80,1",,95,,"60,4",,1,
RE10080itkfi,2860054,BTH_Lusignan_2011_SetB2,BTH_Lusignan_2011_SetB2,61959,https://doi.org/10.15454/9SDYX3,RE10080,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,128,,"79,5",,"93,9",,"59,7",,1,
AO11012itkfi,2860019,BTH_Lusignan_2011_SetB2,BTH_Lusignan_2011_SetB2,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,72,,130,,"82,2",,"99,3",,"63,2",,1,
CF10082itkfi,2860031,BTH_Lusignan_2011_SetB2,BTH_Lusignan_2011_SetB2,61957,https://doi.org/10.15454/M4RPQP,CF10082,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,132,,"78,8",,"93,1",,"59,2",,1,
AO11011itkfi,2860038,BTH_Lusignan_2011_SetB2,BTH_Lusignan_2011_SetB2,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,75,,130,,"80,2",,"97,8",,"62,2",,1,
EM10306itkfi,2860043,BTH_Lusignan_2011_SetB2,BTH_Lusignan_2011_SetB2,61526,https://doi.org/10.15454/MRWRT2,EM10306,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,130,,"80,6",,"97,1",,"61,8",,1,
EM10304itkfi,2860044,BTH_Lusignan_2011_SetB2,BTH_Lusignan_2011_SetB2,61512,https://doi.org/10.15454/4AWA2B,EM10304,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,129,,79,,"97,1",,"61,8",,1,
CF10125itkfi,2860029,BTH_Lusignan_2011_SetB2,BTH_Lusignan_2011_SetB2,61989,https://doi.org/10.15454/IBHUHA,CF10125,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,128,,"78,2",,"98,2",,"62,5",,1,
