observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2824697,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48548,gnpis_pui:holding-921_taxon-4898_accession-48548,DI07008,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"62,8",,"3,5",,"37,31",
1,2824718,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"72,6",,4,,"48,64",
2,2824719,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"74,5",,"6,2",,"52,16",
1,2824760,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"71,6",,3,,"57,06",
2,2824761,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"69,8",,"6,5",,"43,48",
1,2824736,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"67,7",,"2,5",,"53,95",
2,2824737,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"67,6",,6,,"52,25",
1,2824710,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"74,4",,"1,5",,"49,96",
2,2824711,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"74,8",,"3,5",,"47,68",
2,2824745,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"71,4",,5,,"45,93",
1,2824744,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"71,7",,"1,5",,"50,36",
2,2824765,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49221,https://doi.org/10.15454/ORAOPN,RE06062,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"74,1",,1,,"47,78",
1,2824764,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49221,https://doi.org/10.15454/ORAOPN,RE06062,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"73,6",,1,,"53,15",
2,2824705,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,4",,3,,"54,81",
1,2824704,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"72,9",,1,,"53,52",
1,2824726,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"64,4",,"5,2",,"39,83",
2,2824727,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"65,6",,8,,"40,57",
1,2824694,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"69,7",,"2,5",,"49,51",
2,2824695,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"68,4",,"4,8",,"47,77",
1,2824738,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"73,7",,1,,"59,65",
2,2824739,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,4",,"2,5",,"54,03",
2,2824715,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"78,4",,6,,"58,75",
1,2824714,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"73,8",,1,,"54,93",
2,2824769,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"72,8",,"6,5",,"55,29",
1,2824768,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"72,4",,"3,5",,"57,91",
2,2824755,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"69,5",,5,,"52,59",
1,2824754,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"70,9",,"2,8",,"56,43",
2,2824751,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"69,9",,"7,5",,"47,43",
1,2824750,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"69,9",,3,,"45,21",
1,2824688,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48712,gnpis_pui:holding-921_taxon-4898_accession-48712,EM06170,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"71,8",,"4,5",,"46,84",
2,2824689,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48712,gnpis_pui:holding-921_taxon-4898_accession-48712,EM06170,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"75,8",,"8,5",,"60,05",
2,2824707,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"70,1",,8,,"45,7",
1,2824706,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"69,7",,"5,2",,"46,14",
