observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,vp(CO_321:1000225),vp(CO_321:1000225).date
DI05022itkt,2810163,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2005,"25,8",,135,,100,,85,,70,,255,,55,,"0,4",,232,,45,,NA,,"11,2",,"72,5",,1790,,"2,89",
DI05004itkt,2810206,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,treated,2005,"27,7",,156,,82,,57,,77,,215,,32,,"0,2",,136,,10,,NA,,"11,1",,"69,4",,1569,,"2,97",
DI05021itkt,2810203,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,treated,2005,"25,5",,132,,85,,63,,84,,232,,42,,"0,32",,185,,43,,NA,,"10,9",,"74,9",,1700,,"2,06",
DI05020itkt,2810204,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,treated,2005,"29,4",,175,,97,,76,,67,,240,,44,,"0,25",,239,,35,,NA,,11,,"74,9",,1550,,"2,12",
Barokitkt,2810162,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2005,23,,107,,97,,"77,5",,"59,8",,234,,54,,"0,5",,180,,66,,372,,"11,7",,NA,,1875,,NA,
EM03332itkt,2810185,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,treated,2005,"22,9",,106,,94,,30,,66,,190,,90,,"0,85",,345,,64,,NA,,"11,6",,"72,6",,1369,,"2,7",
DI05014itkt,2810209,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2005,"16,8",,58,,61,,4,,38,,103,,51,,"0,89",,129,,-1,,NA,,"10,8",,74,,1021,,"2,52",
CF03201itkt,2810181,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2005,"21,7",,96,,97,,82,,"79,1",,258,,84,,"0,88",,289,,50,,346,,"12,6",,NA,,1795,,NA,
CF04043itkt,2810189,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2005,"27,1",,149,,88,,82,,69,,239,,42,,"0,28",,188,,54,,NA,,"10,8",,76,,1806,,"2,32",
Hendrixitkt,2810169,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2005,"23,1",,108,,64,,21,,53,,138,,82,,"0,76",,343,,54,,NA,,12,,"76,7",,1228,,"3,02",
RE04022itkt,2810165,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,treated,2005,"27,4",,152,,64,,19,,74,,157,,46,,"0,31",,213,,64,,NA,,"10,9",,"75,8",,1673,,"2,4",
CF04022itkt,2810200,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,treated,2005,"24,1",,118,,94,,39,,67,,200,,50,,"0,42",,200,,45,,NA,,"11,4",,"72,4",,1568,,"2,18",
CF04184itkt,2810201,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,treated,2005,24,,117,,94,,58,,68,,221,,60,,"0,51",,267,,13,,NA,,12,,"77,2",,1698,,"2,83",
CF04052itkt,2810168,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26897,https://doi.org/10.15454/Q627QP,CF04052,VIRTUAL_TRIAL,,,,,,,,treated,2005,"18,1",,66,,76,,28,,56,,160,,122,,"1,84",,342,,NA,,NA,,NA,,"78,1",,1343,,"3,32",
AO05004itkt,2810175,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,treated,2005,"21,7",,96,,97,,"70,3",,65,,232,,54,,"0,57",,186,,22,,298,,"11,6",,NA,,"1742,5",,NA,
Tamaroitkt,2810210,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,treated,2005,"28,2",,161,,94,,34,,66,,194,,78,,"0,48",,447,,56,,NA,,"13,7",,"80,7",,1453,,"2,46",
Tremieitkt,2810196,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2005,"21,2",,"91,5",,"89,5",,"66,9",,"60,05",,216,,"54,5",,"0,6",,161,,50,,291,,"10,6",,"73,6",,"1880,5",,"2,38",
DI04018itkt,2810173,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,treated,2005,"22,9",,106,,97,,"79,6",,"70,5",,247,,66,,"0,62",,232,,45,,244,,"11,5",,NA,,"1832,5",,NA,
DI05030itkt,2810170,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,treated,2005,"23,7",,114,,97,,"82,9",,"77,5",,257,,65,,"0,58",,256,,30,,284,,"11,4",,NA,,1800,,NA,
CF03287itkt,2810195,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,treated,2005,"19,5",,77,,97,,"78,1",,91,,266,,104,,"1,35",,317,,59,,345,,"12,4",,NA,,"1897,5",,NA,
EM04181itkt,2810194,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,treated,2005,"23,3",,110,,97,,52,,72,,221,,61,,"0,55",,263,,59,,NA,,"11,5",,"73,4",,1471,,"2,08",
DI05001itkt,2810208,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,treated,2005,"20,7",,87,,94,,46,,80,,220,,54,,"0,62",,183,,46,,NA,,"11,5",,"73,5",,1445,,"1,98",
RE03019itkt,2810202,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,treated,2005,"29,4",,175,,100,,53,,66,,219,,49,,"0,28",,191,,72,,NA,,"12,8",,"75,4",,1450,,"1,7",
RE04009itkt,2810167,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,treated,2005,"18,5",,69,,91,,33,,67,,192,,55,,"0,79",,171,,18,,NA,,"11,6",,"71,8",,1371,,"2,13",
RE04043itkt,2810180,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,treated,2005,21,,89,,97,,54,,76,,227,,44,,"0,5",,150,,14,,NA,,"12,1",,"72,4",,1545,,"2,68",
RE04101itkt,2810172,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26834,https://doi.org/10.15454/NMELF4,RE04101,VIRTUAL_TRIAL,,,,,,,,treated,2005,"17,8",,64,,100,,66,,43,,210,,82,,"1,27",,240,,51,,NA,,"11,5",,"79,1",,1733,,"1,7",
CF01085itkt,2810188,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,treated,2005,"20,9",,89,,97,,79,,72,,248,,74,,"0,84",,233,,55,,167,,"11,4",,NA,,1835,,NA,
RE03111itkt,2810199,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,treated,2005,"22,9",,106,,100,,"54,8",,"53,9",,209,,49,,"0,46",,155,,36,,262,,"10,9",,NA,,1715,,NA,
DI02001itkt,2810187,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2005,"13,9",,39,,88,,"5,5",,"59,5",,153,,88,,"2,26",,147,,46,,344,,"10,5",,NA,,"1022,5",,NA,
Soissonsitkt,2810177,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2005,"18,5",,"69,5",,"92,5",,"42,45",,"70,45",,"205,5",,82,,"1,2",,"247,5",,42,,367,,"11,65",,"78,2",,"1457,5",,"1,51",
LM03015itkt,2810198,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,treated,2005,"21,8",,96,,88,,45,,69,,202,,72,,"0,75",,261,,40,,NA,,"11,3",,"70,5",,1414,,"2,74",
LM03014itkt,2810174,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,treated,2005,"25,5",,132,,76,,39,,82,,197,,64,,"0,49",,283,,40,,NA,,11,,"72,2",,1531,,"2,84",
EM02207itkt,2810192,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,treated,2005,"22,6",,104,,97,,59,,68,,224,,50,,"0,48",,188,,6,,NA,,11,,"73,6",,1718,,"3,12",
EM03149itkt,2810178,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,treated,2005,"23,4",,111,,91,,48,,72,,211,,55,,"0,49",,215,,4,,NA,,"10,6",,"73,9",,1505,,"2,54",
DI05025itkt,2810166,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,treated,2005,"23,7",,114,,97,,63,,77,,236,,59,,"0,52",,250,,32,,NA,,"12,2",,"75,1",,1769,,"2,64",
CF03342itkt,2810190,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,treated,2005,22,,98,,88,,55,,74,,216,,61,,"0,62",,222,,33,,NA,,11,,73,,1533,,"2,91",
CF04048itkt,2810186,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,treated,2005,"30,8",,192,,100,,76,,84,,260,,40,,"0,21",,197,,45,,NA,,11,,"74,4",,1614,,"2,63",
CF04114itkt,2810171,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,48527,https://doi.org/10.15454/5LEWVH,CF04114,VIRTUAL_TRIAL,,,,,,,,treated,2005,19,,73,,70,,26,,52,,148,,74,,"1,01",,239,,38,,NA,,"11,1",,"72,5",,1265,,"2,17",
EM03234itkt,2810193,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,treated,2005,"25,1",,128,,100,,73,,68,,241,,54,,"0,42",,204,,40,,NA,,"11,4",,"69,5",,1605,,"2,93",
EM04081itkt,2810184,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,treated,2005,"16,1",,52,,67,,6,,44,,117,,56,,"1,06",,137,,33,,NA,,"11,6",,"77,3",,1036,,"2,01",
DI04017itkt,2810191,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,treated,2005,"23,6",,113,,97,,"81,7",,"52,3",,231,,52,,"0,46",,188,,42,,246,,"10,9",,NA,,"1857,5",,NA,
DI04024itkt,2810205,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,treated,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,18,,NA,,"11,5",,NA,,NA,,NA,
EM03193itkt,2810183,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,treated,2005,"19,1",,74,,97,,70,,82,,249,,71,,"0,96",,198,,49,,308,,"11,2",,NA,,"1797,5",,NA,
CF04076itkt,2810164,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,treated,2005,"22,6",,104,,88,,62,,75,,225,,47,,"0,45",,169,,13,,NA,,"10,9",,"72,7",,1470,,"2,56",
EM04241itkt,2810197,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,treated,2005,"20,5",,85,,100,,56,,77,,233,,61,,"0,72",,207,,59,,NA,,"11,8",,"76,5",,1670,,"2,21",
AO05001itkt,2810176,BTH_Estrées-Mons_2005_TECH,BTH_Estrées-Mons_2005_TECH,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,treated,2005,"15,6",,49,,82,,"11,4",,61,,154,,85,,"1,73",,188,,46,,215,,"11,3",,NA,,"1327,5",,NA,
