observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Soissonsitkt,2818606,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2006,"23,05",,"107,5",,97,,100,,58,,"29,6",,90,,"79,2",,245,,"208,8",,"71,5",,"0,67",,"290,5",,67,,"365,5",,"11,8",,"79,65",,1550,,1320,,38,
AO06801itkt,2818577,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,49266,gnpis_pui:holding-921_taxon-4898_accession-49266,AO06801,VIRTUAL_TRIAL,,,,,,,,treated,2006,"22,5",,103,,NA,,100,,NA,,35,,NA,,"77,8",,NA,,"212,8",,68,,"0,66",,290,,56,,354,,"12,9",,"79,2",,NA,,1400,,NA,
DI04017itkt,2818584,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,treated,2006,"24,9",,126,,87,,NA,,28,,NA,,54,,NA,,169,,NA,,62,,"0,5",,212,,"65,5",,419,,12,,"75,1",,1550,,NA,,40,
DI04024itkt,2818603,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,treated,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,21,,NA,,"11,5",,NA,,NA,,NA,,NA,
EM03193itkt,2818610,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,treated,2006,"23,5",,112,,97,,NA,,88,,NA,,69,,NA,,254,,NA,,52,,"0,47",,181,,67,,407,,"11,75",,"77,2",,1940,,NA,,31,
CF04076itkt,2818556,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,treated,2006,"23,9",,116,,97,,NA,,52,,NA,,65,,NA,,214,,NA,,55,,"0,48",,170,,24,,334,,"12,8",,"74,2",,1595,,NA,,25,
EM04241itkt,2818596,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,treated,2006,"22,3",,101,,81,,NA,,82,,NA,,89,,NA,,252,,NA,,72,,"0,72",,248,,"70,5",,420,,"13,5",,"78,8",,1690,,NA,,40,
AO05001itkt,2818572,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,treated,2006,"19,1",,74,,94,,NA,,37,,NA,,75,,NA,,206,,NA,,88,,"1,19",,254,,56,,410,,"12,5",,"76,5",,1455,,NA,,41,
RE05039itkt,2818582,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,treated,2006,"24,6",,123,,NA,,97,,NA,,"51,6",,NA,,79,,NA,,"227,6",,52,,"0,42",,211,,23,,376,,"11,6",,73,,NA,,1620,,NA,
RE05074itkt,2818562,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,treated,2006,"27,5",,153,,NA,,100,,NA,,"53,1",,NA,,"81,9",,NA,,235,,37,,"0,24",,160,,13,,329,,"11,8",,75,,NA,,1520,,NA,
EM04145itkt,2818580,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,treated,2006,"23,3",,110,,97,,NA,,73,,NA,,67,,NA,,237,,NA,,48,,"0,44",,167,,17,,396,,"12,4",,"75,7",,1745,,NA,,26,
