observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Koreliitkfi,2834622,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,"47,7",,,,"9,64",,"80,7",,"110,3",,1,,"86,8",,1,,"1,5",,4,
RE07092itkt,2834635,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,49499,gnpis_pui:holding-921_taxon-4898_accession-49499,RE07092,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,"49,5",,136,,"11,06",,"76,6",,"107,2",,,,"123,8",,,,,,1,
RE07113itkt,2834617,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48963,gnpis_pui:holding-921_taxon-4898_accession-48963,RE07113,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,"45,6",,143,,"11,54",,"77,1",,"94,8",,,,"109,5",,,,,,"1,5",
Koreliitkt,2834623,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2008,102,,"48,7",,144,,"10,32",,"80,8",,105,,,,"121,2",,,,,,2,
Mendelitkt,2834633,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2008,75,,"54,9",,136,,"10,23",,"73,8",,"100,9",,,,"116,6",,,,,,1,
RE07114itkfi,2834608,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,"46,9",,,,"9,81",,"78,1",,"121,7",,1,,"95,8",,1,,1,,1,
CF07208itkt,2834663,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,49017,gnpis_pui:holding-921_taxon-4898_accession-49017,CF07208,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,"56,5",,138,,"10,8",,"76,6",,"102,6",,,,"118,4",,,,,,1,
Sankaraitkfi,2834644,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,"41,6",,,,"10,28",,76,,"107,5",,1,,"84,6",,1,,"1,5",,1,
RE07113itkfi,2834616,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48963,gnpis_pui:holding-921_taxon-4898_accession-48963,RE07113,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,"46,7",,,,"9,87",,"77,2",,"118,8",,1,,"93,5",,1,,1,,1,
RE07114itkt,2834609,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,treated,2008,85,,"45,4",,141,,"11,3",,"77,3",,"98,2",,,,"113,4",,,,,,2,
Sankaraitkt,2834645,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,"46,6",,144,,"11,25",,77,,"103,3",,,,"119,3",,,,,,1,
Toisondoritkt,2834597,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,75,,"45,6",,142,,"10,64",,75,,"98,8",,,,"114,1",,,,,,1,
RE07093itkt,2834637,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,"49,6",,136,,"10,65",,"76,6",,"111,8",,,,"129,1",,,,,,1,
RE07093itkfi,2834636,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,"45,2",,,,"10,08",,"75,9",,"121,8",,1,,"95,8",,1,,3,,1,
Toisondoritkfi,2834596,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,82,,"36,6",,,,"9,07",,"72,6",,"103,2",,1,,"81,2",,"3,5",,1,,1,
CF07259itkt,2834629,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48398,gnpis_pui:holding-921_taxon-4898_accession-48398,CF07259,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,"48,9",,136,,"10,85",,"77,2",,106,,,,"122,4",,,,,,1,
RE07096itkfi,2834642,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48483,gnpis_pui:holding-921_taxon-4898_accession-48483,RE07096,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,98,,"50,7",,,,"10,6",,"76,9",,"127,5",,1,,"100,4",,1,,1,,1,
DI08023itkt,2834655,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,49693,gnpis_pui:holding-921_taxon-4898_accession-49693,DI08023,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,"40,9",,144,,"11,13",,"75,6",,"74,6",,,,"86,1",,,,,,"8,5",
CF07208itkfi,2834662,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,49017,gnpis_pui:holding-921_taxon-4898_accession-49017,CF07208,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,47,,,,10,,"75,6",,"108,7",,1,,"85,5",,1,,"2,5",,1,
RE07115itkfi,2834598,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48742,gnpis_pui:holding-921_taxon-4898_accession-48742,RE07115,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,"51,2",,,,"10,1",,79,,"117,4",,1,,"92,4",,1,,1,,1,
RE07115itkt,2834599,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48742,gnpis_pui:holding-921_taxon-4898_accession-48742,RE07115,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,"49,7",,142,,"11,7",,"76,8",,"85,7",,,,99,,,,,,2,
DI08020itkfi,2834656,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,49557,gnpis_pui:holding-921_taxon-4898_accession-49557,DI08020,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,"43,3",,,,"10,26",,"76,2",,"125,1",,1,,"98,4",,1,,1,,1,
Lyrikitkt,2834669,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2008,95,,"52,4",,142,,"10,16",,78,,"113,4",,,,"130,99",,,,,,1,
AO08515itkfi,2834660,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,49033,gnpis_pui:holding-921_taxon-4898_accession-49033,AO08515,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,"42,2",,,,"10,05",,73,,"100,2",,1,,"78,8",,1,,6,,1,
CF07259itkfi,2834628,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48398,gnpis_pui:holding-921_taxon-4898_accession-48398,CF07259,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,45,,,,"9,94",,"76,4",,"122,5",,1,,"96,4",,1,,3,,1,
DI08022itkfi,2834652,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,49223,gnpis_pui:holding-921_taxon-4898_accession-49223,DI08022,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,"39,6",,,,"9,54",,"77,1",,"119,5",,1,,"94,1",,1,,1,,1,
Lyrikitkfi,2834668,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,98,,"46,4",,,,9,,"77,8",,"132,1",,1,,104,,1,,1,,1,
AO08817itkt,2834649,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48597,gnpis_pui:holding-921_taxon-4898_accession-48597,AO08817,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,"45,4",,144,,"10,5",,"81,1",,"101,3",,,,117,,,,,,1,
AO08515itkt,2834661,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,49033,gnpis_pui:holding-921_taxon-4898_accession-49033,AO08515,VIRTUAL_TRIAL,,,,,,,,treated,2008,85,,52,,136,,"10,67",,"75,1",,"100,7",,,,"116,3",,,,,,1,
RE07112itkfi,2834618,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48859,gnpis_pui:holding-921_taxon-4898_accession-48859,RE07112,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,"51,7",,,,"8,7",,"75,4",,"118,6",,1,,"93,3",,1,,1,,"3,5",
CF07292itkt,2834607,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48492,gnpis_pui:holding-921_taxon-4898_accession-48492,CF07292,VIRTUAL_TRIAL,,,,,,,,treated,2008,85,,"48,1",,138,,11,,"78,2",,"98,5",,,,"113,7",,,,,,1,
AO08817itkfi,2834648,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48597,gnpis_pui:holding-921_taxon-4898_accession-48597,AO08817,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,98,,"37,6",,,,"9,74",,"74,2",,"95,4",,1,,"75,1",,1,,3,,1,
CF07292itkfi,2834606,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48492,gnpis_pui:holding-921_taxon-4898_accession-48492,CF07292,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,"45,3",,,,"10,79",,"76,6",,"111,4",,1,,"87,7",,1,,3,,1,
DI08022itkt,2834653,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,49223,gnpis_pui:holding-921_taxon-4898_accession-49223,DI08022,VIRTUAL_TRIAL,,,,,,,,treated,2008,82,,40,,142,,"11,02",,76,,"99,1",,,,"114,4",,,,,,1,
Caphornitkt,2834647,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,"50,5",,138,,"11,18",,"75,6",,"96,6",,,,"111,5",,,,,,1,
DI08017itkfi,2834600,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48701,gnpis_pui:holding-921_taxon-4898_accession-48701,DI08017,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,"37,8",,,,"9,62",,"75,4",,"112,5",,1,,"88,6",,1,,1,,"1,5",
Caphornitkfi,2834646,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,82,,42,,,,"10,68",,"71,4",,91,,1,,"71,7",,1,,"2,5",,1,
DI08020itkt,2834657,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,49557,gnpis_pui:holding-921_taxon-4898_accession-49557,DI08020,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,"42,8",,140,,"11,19",,"73,4",,"99,8",,,,"115,2",,,,,,"2,5",
DI08017itkt,2834601,BTH_Le_Moulon_2008_SetB3,BTH_Le_Moulon_2008_SetB3,48701,gnpis_pui:holding-921_taxon-4898_accession-48701,DI08017,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,"40,5",,141,,"10,01",,76,,"96,1",,,,111,,,,,,6,
