observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,volC(CO_321:1000235),volC(CO_321:1000235).date,vp(CO_321:1000225),vp(CO_321:1000225).date
Ressor,2784520,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,2002,"22,6",,104,,156,,67,,223,,36,,"0,34",,136,,35,,310,,"12,5",,"82,2",,47,,1649,,"1,44",
DI02008,2784519,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,2002,22,,98,,116,,65,,181,,86,,"0,87",,307,,83,,346,,"12,6",,"82,6",,61,,1350,,"2,84",
CF99005,2784525,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,2002,"23,8",,115,,139,,79,,218,,78,,"0,68",,335,,64,,384,,"14,4",,"83,6",,53,,1422,,"1,57",
Koreli,2784501,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2002,19,,73,,149,,69,,218,,82,,"1,12",,210,,71,,340,,"12,9",,85,,45,,1619,,"2,53",
RE01092,2784500,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,2002,"24,5",,122,,126,,61,,187,,41,,"0,33",,150,,27,,299,,13,,"83,4",,46,,1380,,"1,64",
CF00193,2784537,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,2002,NA,,NA,,112,,75,,187,,NA,,NA,,NA,,64,,353,,"15,3",,"83,9",,63,,1325,,"1,97",
RE01015,2784524,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,2002,"21,8",,96,,157,,76,,233,,43,,"0,45",,149,,27,,277,,"11,6",,"80,1",,45,,1505,,"1,63",
CF99105,2784538,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,2002,"24,7",,124,,116,,65,,181,,67,,"0,54",,263,,63,,360,,"13,2",,"83,1",,49,,1355,,"2,79",
EM01352,2784510,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,2002,23,,107,,101,,43,,144,,34,,"0,31",,118,,32,,299,,"12,4",,"81,3",,29,,1270,,"2,2",
EM01216,2784514,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,2002,"25,6",,133,,144,,64,,208,,40,,"0,3",,176,,26,,241,,"12,5",,"82,1",,40,,1608,,"2,03",
DI02006,2784493,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,2002,"22,9",,106,,147,,77,,224,,77,,"0,72",,258,,69,,372,,"12,4",,82,,53,,1569,,"2,5",
EM01150,2784539,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,2002,"20,8",,88,,135,,69,,204,,96,,"1,09",,278,,74,,290,,"13,5",,"79,6",,58,,1482,,"2,48",
EM01288,2784541,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,2002,"29,5",,177,,158,,80,,238,,60,,"0,34",,314,,56,,325,,13,,84,,57,,1707,,"2,58",
DI01022,2784496,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,2002,"22,7",,105,,159,,78,,237,,60,,"0,57",,224,,37,,373,,"11,7",,"84,3",,42,,1665,,"2,53",
CF01184,2784532,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,2002,"25,8",,135,,120,,72,,192,,70,,"0,52",,271,,90,,379,,"12,6",,83,,42,,1477,,"2,83",
