observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF11215itkt,2870871,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,treated,2012,"25,4",,131,,NA,,100,,NA,,"60,15",,NA,,"79,25",,NA,,"239,4",,75,,"0,58",,324,,89,,258,,"34,15",,"11,9",,"76,7",,NA,,1680,,NA,
CF11291itkt,2870916,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,9",,72,,NA,,100,,NA,,"15,78",,NA,,"85,5",,NA,,"201,28",,83,,"1,15",,233,,47,,258,,"32,13",,"11,7",,77,,NA,,1380,,NA,
DI11012itkt,2870922,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2012,13,,34,,85,,NA,,7,,NA,,62,,NA,,154,,NA,,120,,"3,53",,175,,73,,168,,NA,,"11,1",,NA,,1258,,NA,,"38,5",
DI11013itkt,2870921,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2012,"12,4",,31,,85,,NA,,26,,NA,,90,,NA,,201,,NA,,117,,"3,77",,152,,74,,163,,NA,,"11,1",,NA,,1418,,NA,,37,
DI12005itkt,2870928,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2012,"23,5",,112,,NA,,97,,NA,,"36,05",,NA,,97,,NA,,"230,05",,60,,"0,54",,198,,19,,288,,"39,18",,"11,3",,75,,NA,,1510,,NA,
EM11389itkt,2870872,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,treated,2012,"30,2",,185,,NA,,94,,NA,,"12,48",,NA,,"64,63",,NA,,"171,11",,36,,"0,19",,138,,13,,196,,"39,25",,11,,"76,5",,NA,,1320,,NA,
EM11441itkt,2870897,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2012,"29,5",,177,,NA,,91,,NA,,"16,15",,NA,,"60,88",,NA,,"168,03",,50,,"0,28",,180,,55,,267,,"36,02",,"12,7",,"74,2",,NA,,1480,,NA,
EM11579itkt,2870925,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,treated,2012,26,,137,,NA,,100,,NA,,"7,23",,NA,,49,,NA,,"156,23",,52,,"0,38",,152,,65,,290,,"32,01",,"11,9",,"72,4",,NA,,1220,,NA,
EM11604itkt,2870908,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,treated,2012,26,,137,,NA,,100,,NA,,"14,5",,NA,,"88,5",,NA,,203,,54,,"0,39",,187,,80,,299,,"35,71",,"12,7",,"75,9",,NA,,1400,,NA,
RE10042itkt,2870905,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2012,"15,9",,51,,97,,NA,,49,,NA,,54,,NA,,200,,NA,,88,,"1,73",,168,,80,,170,,NA,,"12,1",,NA,,1743,,NA,,"35,5",
