observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,vp(CO_321:1000225),vp(CO_321:1000225).date
DI03003itkt,2792351,BTH_Clermont-Ferrand_2003_TECH,BTH_Clermont-Ferrand_2003_TECH,26426,https://doi.org/10.15454/PIXJ6I,DI03003,VIRTUAL_TRIAL,,,,,,,,treated,2003,22,,98,,82,,52,,54,,187,,44,,"0,45",,164,,35,,335,,13,,"78,1",,1593,,"1,95",
DI02008itkt,2792343,BTH_Clermont-Ferrand_2003_TECH,BTH_Clermont-Ferrand_2003_TECH,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2003,"23,3",,110,,100,,"40,4",,87,,227,,101,,"0,91",,413,,NA,,458,,"15,42",,NA,,1757,,NA,
Recitalitkt,2792350,BTH_Clermont-Ferrand_2003_TECH,BTH_Clermont-Ferrand_2003_TECH,24059,https://doi.org/10.15454/WL6NIE,RECITAL,VIRTUAL_TRIAL,,,,,,,,treated,2003,"16,35",,54,,91,,"86,25",,"80,25",,"257,5",,"105,5",,"1,94",,"238,5",,75,,438,,"11,88",,"82,9",,1930,,"2,81",
Koreliitkt,2792338,BTH_Clermont-Ferrand_2003_TECH,BTH_Clermont-Ferrand_2003_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2003,"16,1",,53,,100,,"82,9",,"85,2",,268,,97,,"1,84",,213,,NA,,453,,"14,31",,NA,,1855,,NA,
RE01047itkt,2792348,BTH_Clermont-Ferrand_2003_TECH,BTH_Clermont-Ferrand_2003_TECH,26097,https://doi.org/10.15454/3W80FR,RE01047,VIRTUAL_TRIAL,,,,,,,,treated,2003,"24,6",,123,,73,,90,,55,,218,,41,,"0,33",,175,,43,,348,,"13,6",,"79,1",,1953,,"3,17",
RE02080itkt,2792333,BTH_Clermont-Ferrand_2003_TECH,BTH_Clermont-Ferrand_2003_TECH,26100,https://doi.org/10.15454/AM3GAN,RE02080,VIRTUAL_TRIAL,,,,,,,,treated,2003,23,,107,,64,,62,,56,,181,,36,,"0,34",,134,,31,,334,,"11,6",,"78,2",,1623,,"2,48",
CF00193itkt,2792323,BTH_Clermont-Ferrand_2003_TECH,BTH_Clermont-Ferrand_2003_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2003,"23,6",,113,,91,,"40,4",,"95,5",,227,,103,,"0,91",,384,,NA,,464,,"14,62",,NA,,1570,,NA,
RE01015itkt,2792356,BTH_Clermont-Ferrand_2003_TECH,BTH_Clermont-Ferrand_2003_TECH,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,treated,2003,"18,2",,67,,100,,"57,3",,"92,6",,250,,66,,"0,98",,183,,NA,,391,,"13,14",,NA,,1707,,NA,
EM02224itkt,2792368,BTH_Clermont-Ferrand_2003_TECH,BTH_Clermont-Ferrand_2003_TECH,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,treated,2003,"24,7",,124,,73,,85,,57,,214,,52,,"0,42",,230,,36,,460,,"13,8",,"77,6",,1799,,"2,97",
EM02054itkt,2792337,BTH_Clermont-Ferrand_2003_TECH,BTH_Clermont-Ferrand_2003_TECH,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2003,"21,1",,90,,94,,76,,54,,224,,68,,"0,76",,204,,96,,480,,"13,1",,"82,6",,1855,,"2,82",
