observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08011itkfi,2833160,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,80,,140,,"10,5",,"101,3",,"79,2",,5,,4,,1,
EM07219itkfi,2833188,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49294,gnpis_pui:holding-921_taxon-4898_accession-49294,EM07219,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"3,5",,"87,5",,137,,"10,46",,"107,2",,"83,8",,5,,4,,1,
CF07098itkt,2833173,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49624,gnpis_pui:holding-921_taxon-4898_accession-49624,CF07098,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,91,,146,,"11,06",,93,,"97,6",,,,,,1,
CF07141itkt,2833209,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27903,https://doi.org/10.15454/EWNN9Q,CF07141,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,85,,144,,"10,85",,"95,5",,"100,2",,,,,,1,
CF07143itkfi,2833206,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"102,5",,146,,"10,86",,120,,"93,8",,1,,3,,2,
DI08014itkt,2833165,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49513,gnpis_pui:holding-921_taxon-4898_accession-49513,DI08014,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"77,5",,146,,"11,04",,"92,1",,"96,7",,,,,,1,
Koreliitkt,2833181,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,100,,146,,"10,98",,"97,5",,"102,4",,,,,,1,
DI08012itkt,2833159,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49381,gnpis_pui:holding-921_taxon-4898_accession-49381,DI08012,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,75,,142,,"10,37",,"107,4",,"112,7",,,,,,1,
DI08014itkfi,2833164,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49513,gnpis_pui:holding-921_taxon-4898_accession-49513,DI08014,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"3,5",,"77,5",,146,,"10,54",,92,,"71,9",,4,,4,,1,
Koreliitkfi,2833180,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,95,,146,,"10,68",,"107,1",,"83,7",,1,,3,,2,
Apacheitkfi,2833184,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"88,5",,139,,"10,62",,98,,"76,6",,5,,5,,1,
RE07083itkt,2833221,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,90,,138,,"10,1",,"96,5",,"101,3",,,,,,"1,5",
RE07083itkfi,2833220,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"92,5",,"136,5",,"10,13",,"107,5",,84,,4,,"3,5",,3,
