observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
EM12359,2884038,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48644,https://doi.org/10.15454/BZ52A8,EM12359,VIRTUAL_TRIAL,,,,,,,,2014,3,,"1,4",,2,,3,,1,
RE12002,2884015,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,2014,"5,5",,"2,2",,2,,2,,1,
RE12020,2884016,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,2014,"3,5",,"1,4",,2,,3,,1,
EM12044,2884024,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49319,https://doi.org/10.15454/QHF1AL,EM12044,VIRTUAL_TRIAL,,,,,,,,2014,"4,5",,"5,1",,5,,4,,6,
Soissons,2884041,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2014,3,,"8,2",,5,,6,,2,
Bermude,2884013,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2014,"7,5",,NA,,2,,4,,4,
Arezzo,2884044,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,2014,2,,NA,,5,,4,,3,
CF12053,2884040,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,2014,5,,"0,9",,2,,3,,6,
CF12181,2884020,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48978,https://doi.org/10.15454/5ZAP8G,CF12181,VIRTUAL_TRIAL,,,,,,,,2014,"2,5",,"1,1",,3,,5,,6,
CF12200,2884022,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,2014,3,,"0,6",,2,,4,,2,
CF12202,2884036,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,2014,"3,5",,"0,8",,2,,4,,2,
CF12273,2884033,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49671,https://doi.org/10.15454/XJPBH3,CF12273,VIRTUAL_TRIAL,,,,,,,,2014,"5,5",,"2,3",,2,,6,,3,
CF12376,2884009,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,2014,5,,2,,2,,6,,3,
DI13002-2,2884011,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49462,https://doi.org/10.15454/9WA3DH,DI13002-2,VIRTUAL_TRIAL,,,,,,,,2014,2,,"1,4",,-Inf,,4,,1,
DI13003,2884039,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,2014,"3,5",,"1,4",,2,,2,,1,
DI13004,2884017,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,2014,3,,"1,8",,2,,2,,1,
DI13005,2884018,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,2014,4,,"6,5",,5,,3,,1,
DI13006,2884019,BTH_Rennes_2014_SetA2_PIETIN-VERSE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,2014,4,,"1,5",,2,,4,,1,
