observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO13014itkfi,2876276,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,60818,https://doi.org/10.15454/CYMV5L,AO13014,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,92,,"1,5",,162,,"11,1",,"75,6",,"120,3",,"3,5",,"87,3",,1,,"4,5",,5,
RE12039itkt,2876279,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61354,https://doi.org/10.15454/D4PG9N,RE12039,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,,,158,,"12,9",,"84,2",,"95,7",,,,"97,2",,,,,,2,
AO13014itkt,2876277,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,60818,https://doi.org/10.15454/CYMV5L,AO13014,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,84,,,,163,,"12,1",,"79,6",,"111,3",,,,113,,,,,,"6,5",
CF12053itkt,2876291,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,79,,,,163,,"12,6",,"81,9",,"106,5",,,,"108,2",,,,,,"2,5",
RE12020itkt,2876251,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,,,160,,"13,8",,"82,2",,"92,1",,,,"93,5",,,,,,3,
RE12039itkfi,2876278,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61354,https://doi.org/10.15454/D4PG9N,RE12039,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,85,,1,,157,,"12,7",,"79,4",,"106,8",,1,,"77,5",,2,,"4,5",,2,
EM12096itkt,2876223,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,80,,,,158,,"12,4",,"83,1",,95,,,,"96,6",,,,,,2,
CF12048itkfi,2876258,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61386,https://doi.org/10.15454/SZ7V8T,CF12048,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,93,,1,,158,,"12,5",,"81,4",,108,,"2,5",,"78,4",,1,,7,,4,
CF12048itkt,2876259,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61386,https://doi.org/10.15454/SZ7V8T,CF12048,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,,,160,,"11,9",,84,,103,,,,"104,6",,,,,,"4,5",
RE12020itkfi,2876250,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,92,,"1,5",,158,,14,,79,,108,,1,,"78,3",,1,,6,,"2,5",
AO13003itkt,2876233,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,,,162,,"11,1",,"80,8",,"109,3",,,,111,,,,,,"5,5",
AO13003itkfi,2876232,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,82,,1,,160,,"10,9",,"77,2",,114,,5,,"82,8",,1,,6,,"2,5",
AO13011itkt,2876273,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,60766,https://doi.org/10.15454/IIFLIA,AO13011,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,75,,,,158,,"12,8",,"81,9",,"104,1",,,,"105,8",,,,,,3,
Apacheitkt,2876267,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,72,,,,157,,"11,1",,80,,"94,1",,,,"95,6",,,,,,"1,5",
CF12042itkt,2876253,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61367,https://doi.org/10.15454/TFKRVB,CF12042,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,,,160,,"11,7",,"80,1",,"95,3",,,,"96,8",,,,,,4,
Apacheitkfi,2876266,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,81,,1,,157,,"11,9",,"75,6",,92,,2,,"66,8",,1,,"8,5",,2,
EM12096itkfi,2876222,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,83,,1,,158,,"13,1",,"79,7",,"110,5",,1,,"80,2",,1,,5,,3,
CF12042itkfi,2876252,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61367,https://doi.org/10.15454/TFKRVB,CF12042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,87,,1,,160,,"11,7",,"76,3",,"113,1",,1,,82,,1,,4,,"3,5",
DI13002itkfi,2876256,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,87,,1,,160,,"11,4",,"77,5",,"126,7",,"3,5",,92,,5,,"4,5",,6,
DI13002itkt,2876257,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,,,162,,"10,8",,"81,1",,"115,7",,,,"117,5",,,,,,"6,5",
CF12062itkfi,2876254,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61428,https://doi.org/10.15454/F7YNUM,CF12062,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"1,5",,80,,1,,159,,"11,4",,"76,8",,"111,7",,"2,5",,81,,1,,7,,"3,5",
CF12062itkt,2876255,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61428,https://doi.org/10.15454/F7YNUM,CF12062,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,,,160,,"11,7",,"81,3",,"110,3",,,,"112,1",,,,,,3,
Bermudeitkt,2876243,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,79,,,,161,,"11,3",,"81,6",,"104,9",,,,"106,6",,,,,,"2,5",
EM12015itkfi,2876294,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61864,https://doi.org/10.15454/ASTFXF,EM12015,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,96,,1,,154,,"13,3",,"79,3",,"102,2",,2,,"74,2",,1,,"6,5",,"5,5",
AO13011itkfi,2876272,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,60766,https://doi.org/10.15454/IIFLIA,AO13011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,88,,1,,156,,"11,9",,"76,7",,"104,7",,"7,5",,"75,9",,1,,6,,"4,5",
EM12044itkt,2876263,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,49319,https://doi.org/10.15454/QHF1AL,EM12044,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,80,,,,158,,"11,2",,"82,3",,"106,4",,,,"108,1",,,,,,3,
CF12130itkfi,2876280,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61462,https://doi.org/10.15454/9YFN5V,CF12130,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,94,,1,,158,,11,,"78,2",,"116,9",,"6,5",,"84,8",,2,,7,,"5,5",
Attlassitkt,2876287,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,76,,,,163,,"10,4",,"79,2",,"112,1",,,,"113,9",,,,,,"2,5",
EM12015itkt,2876295,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61864,https://doi.org/10.15454/ASTFXF,EM12015,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,84,,,,156,,"13,2",,"81,9",,"90,5",,,,"91,9",,,,,,"6,5",
CF12130itkt,2876281,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61462,https://doi.org/10.15454/9YFN5V,CF12130,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,90,,,,159,,"10,8",,"81,7",,"110,6",,,,"112,4",,,,,,"7,5",
Attlassitkfi,2876286,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,3,,82,,1,,162,,"10,7",,74,,"105,5",,3,,"76,6",,6,,6,,3,
EM12040itkt,2876265,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,,,157,,"12,6",,"83,4",,"95,2",,,,"96,7",,,,,,"3,5",
CF12149itkfi,2876224,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61479,https://doi.org/10.15454/LE3Y6P,CF12149,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,91,,3,,158,,"12,2",,"80,2",,"109,1",,1,,"79,2",,1,,"6,5",,5,
CF12149itkt,2876225,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61479,https://doi.org/10.15454/LE3Y6P,CF12149,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,83,,,,160,,"12,3",,"83,2",,"98,4",,,,100,,,,,,6,
AO13008itkt,2876289,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,60717,https://doi.org/10.15454/QBK7AX,AO13008,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,68,,,,159,,"12,8",,"80,9",,"96,7",,,,"98,2",,,,,,"2,5",
Bermudeitkfi,2876242,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"4,5",,84,,1,,158,,"11,5",,"78,9",,"106,9",,1,,"77,6",,1,,"7,5",,"2,5",
RE12002itkfi,2876246,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,87,,1,,162,,"10,8",,"75,3",,"110,9",,2,,"80,5",,1,,4,,5,
EM12040itkfi,2876264,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,90,,1,,154,,"13,1",,"80,2",,"104,4",,1,,"75,8",,1,,"5,5",,"4,5",
CF12164itkfi,2876230,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61495,https://doi.org/10.15454/79MDPU,CF12164,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,80,,1,,160,,"10,9",,"78,8",,"105,6",,6,,"76,7",,3,,"6,5",,3,
CF12164itkt,2876231,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61495,https://doi.org/10.15454/79MDPU,CF12164,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,74,,,,161,,"11,2",,"82,4",,"108,3",,,,110,,,,,,"1,5",
Rubiskoitkt,2876293,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,75,,,,158,,"11,6",,"81,3",,"113,8",,,,"115,6",,,,,,"2,5",
Rubiskoitkfi,2876292,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,82,,1,,158,,"11,4",,78,,"126,4",,1,,"91,8",,1,,"5,5",,3,
Altigoitkt,2876269,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,80,,,,156,,"11,6",,"81,5",,"96,7",,,,"98,3",,,,,,4,
RE12002itkt,2876247,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,84,,,,163,,"10,8",,"79,8",,"100,5",,,,"102,1",,,,,,"2,5",
AO13013itkt,2876275,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,,,160,,"11,9",,"79,8",,"111,3",,,,"113,1",,,,,,5,
AO13004itkt,2876227,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61621,https://doi.org/10.15454/BJPX1S,AO13004,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,86,,,,164,,"11,5",,"75,3",,"110,6",,,,"112,4",,,,,,"6,5",
AO13013itkfi,2876274,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"1,5",,84,,1,,158,,"12,1",,"77,6",,"124,6",,1,,"90,4",,1,,6,,4,
AO13004itkfi,2876226,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61621,https://doi.org/10.15454/BJPX1S,AO13004,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,88,,1,,162,,"10,8",,"73,2",,"115,9",,1,,"84,1",,7,,4,,"5,5",
RE12018itkfi,2876270,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,49597,https://doi.org/10.15454/0WGKSR,RE12018,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,90,,1,,158,,"13,9",,"78,5",,"95,3",,1,,"69,2",,1,,"5,5",,"5,5",
AO13015itkt,2876297,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,,,160,,"11,7",,"81,7",,"112,8",,,,"114,6",,,,,,"3,5",
EM12044itkfi,2876262,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,49319,https://doi.org/10.15454/QHF1AL,EM12044,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,80,,1,,158,,"11,8",,"78,7",,"113,9",,"6,5",,"82,7",,2,,"4,5",,"2,5",
Pakitoitkt,2876261,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,75,,,,158,,"11,1",,"81,7",,"104,2",,,,"105,8",,,,,,"5,5",
DI13001itkfi,2876284,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61775,https://doi.org/10.15454/32FK98,DI13001,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,3,,88,,1,,160,,"11,9",,"74,5",,"114,4",,"2,5",,"83,1",,2,,5,,6,
DI13001itkt,2876285,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61775,https://doi.org/10.15454/32FK98,DI13001,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,86,,,,162,,"12,1",,"79,7",,"111,6",,,,"113,4",,,,,,7,
RE12018itkt,2876271,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,49597,https://doi.org/10.15454/0WGKSR,RE12018,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,,,158,,"14,2",,"82,5",,"88,5",,,,"89,9",,,,,,5,
AO13005itkt,2876241,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61780,https://doi.org/10.15454/IQQH9F,AO13005,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,84,,,,162,,"11,9",,"80,2",,108,,,,"109,8",,,,,,7,
AO13015itkfi,2876296,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,88,,1,,159,,"11,2",,"76,8",,"123,7",,6,,"89,8",,1,,"4,5",,4,
AO13005itkfi,2876240,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,61780,https://doi.org/10.15454/IQQH9F,AO13005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,4,,86,,1,,162,,"12,3",,"75,5",,"118,9",,3,,"86,3",,1,,"4,5",,7,
Altigoitkfi,2876268,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,3,,90,,1,,154,,"11,5",,"78,5",,"97,9",,1,,71,,1,,"8,5",,4,
