observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI10015itkfi,2852059,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,1,,145,,"10,16",,"75,3",,"95,9",,2,,"95,6",,4,
AO10028itkt,2852090,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,,,144,,"10,27",,82,,"101,8",,,,"112,1",,1,
AO10024itkfi,2852093,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49722,gnpis_pui:holding-921_taxon-4898_accession-49722,AO10024,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,74,,1,,145,,"9,86",,"81,3",,"95,7",,"1,5",,"95,4",,1,
DI10015itkt,2852060,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,,,145,,"9,36",,"77,8",,"100,1",,,,"110,2",,1,
Koreliitkfi,2852069,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,"1,5",,150,,"10,32",,"82,6",,"93,1",,"1,5",,"92,9",,"1,5",
Koreliitkt,2852070,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2010,86,,,,150,,"9,92",,"84,8",,"100,3",,,,"110,4",,2,
EM08147itkt,2852066,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49183,gnpis_pui:holding-921_taxon-4898_accession-49183,EM08147,VIRTUAL_TRIAL,,,,,,,,treated,2010,73,,,,152,,"10,04",,"78,5",,"98,1",,,,108,,1,
CF09257itkfi,2852105,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48873,gnpis_pui:holding-921_taxon-4898_accession-48873,CF09257,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,1,,144,,"11,18",,"81,2",,"93,5",,2,,"93,3",,1,
DI10016itkfi,2852039,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49397,gnpis_pui:holding-921_taxon-4898_accession-49397,DI10016,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,77,,1,,145,,"10,5",,"80,6",,"95,6",,1,,"95,4",,1,
RE09074itkt,2852058,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48534,gnpis_pui:holding-921_taxon-4898_accession-48534,RE09074,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,144,,"12,04",,"83,1",,"85,8",,,,"94,4",,"1,5",
EM08147itkfi,2852065,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49183,gnpis_pui:holding-921_taxon-4898_accession-49183,EM08147,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,1,,150,,"10,18",,"78,4",,105,,1,,"104,7",,"4,5",
AO10028itkfi,2852089,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,83,,"1,5",,144,,"10,36",,"80,9",,"101,5",,1,,"101,2",,1,
Barokitkt,2852038,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,77,,,,145,,"9,86",,"81,7",,"100,8",,,,111,,"1,5",
Barokitkfi,2852037,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,1,,145,,"10,46",,"79,4",,"101,3",,1,,101,,4,
EM08012itkfi,2852091,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49328,gnpis_pui:holding-921_taxon-4898_accession-49328,EM08012,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,1,,150,,"9,76",,"79,4",,"100,3",,1,,100,,1,
CF09206itkfi,2852107,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48768,gnpis_pui:holding-921_taxon-4898_accession-48768,CF09206,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,96,,"2,5",,148,,"11,24",,"80,8",,"91,1",,"1,5",,"90,8",,1,
EM08012itkt,2852092,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49328,gnpis_pui:holding-921_taxon-4898_accession-49328,EM08012,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,150,,"9,86",,"80,2",,"104,4",,,,"114,9",,1,
CF09225itkt,2852110,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,150,,"9,91",,"81,6",,"99,8",,,,"109,8",,1,
Caphornitkfi,2852085,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,1,,144,,"10,32",,"81,1",,"92,3",,1,,"92,1",,1,
CF09225itkfi,2852109,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,"1,5",,150,,"10,26",,"79,8",,94,,"2,5",,"93,8",,1,
Caphornitkt,2852086,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,,,144,,"10,74",,"80,8",,"93,5",,,,"102,9",,1,
CF09216itkfi,2852077,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48561,gnpis_pui:holding-921_taxon-4898_accession-48561,CF09216,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,"2,5",,144,,"12,16",,"82,4",,"97,1",,2,,"96,9",,4,
DI10012itkfi,2852045,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48684,gnpis_pui:holding-921_taxon-4898_accession-48684,DI10012,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,"1,5",,150,,"11,16",,"80,4",,91,,1,,"90,8",,1,
EM09320itkfi,2852055,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,"2,5",,144,,"9,9",,"79,4",,"98,8",,2,,"98,6",,1,
CF09227itkt,2852114,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,144,,"9,36",,"81,2",,"98,8",,,,"108,7",,2,
EM09320itkt,2852056,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,144,,"10,14",,"80,2",,"98,9",,,,"108,9",,1,
Bermudeitkt,2852062,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,145,,"9,51",,"82,4",,"106,9",,,,"117,7",,1,
CF09227itkfi,2852113,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,144,,"9,64",,80,,"95,5",,1,,"95,3",,1,
DI10012itkt,2852046,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48684,gnpis_pui:holding-921_taxon-4898_accession-48684,DI10012,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,,,150,,"11,16",,"80,8",,"91,7",,,,"100,9",,1,
CF09276itkfi,2852067,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,94,,"1,5",,144,,"11,07",,"81,5",,"94,6",,1,,"94,4",,"4,5",
EM08215itkfi,2852111,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49231,gnpis_pui:holding-921_taxon-4898_accession-49231,EM08215,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,1,,150,,"10,16",,"80,8",,"99,7",,1,,"99,5",,1,
EM08222itkt,2852064,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49122,gnpis_pui:holding-921_taxon-4898_accession-49122,EM08222,VIRTUAL_TRIAL,,,,,,,,treated,2010,60,,,,143,,"11,52",,"81,2",,"80,4",,,,"88,5",,1,
CF09276itkt,2852068,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,144,,"10,66",,"81,4",,"101,7",,,,112,,1,
EM08222itkfi,2852063,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49122,gnpis_pui:holding-921_taxon-4898_accession-49122,EM08222,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,66,,1,,144,,"10,85",,"81,2",,90,,1,,"89,8",,1,
EM08231itkfi,2852101,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,1,,150,,"10,22",,"78,1",,"96,8",,1,,"96,6",,"4,5",
Bermudeitkfi,2852061,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,1,,145,,"9,7",,"81,2",,"104,2",,"1,5",,"103,9",,1,
EM08231itkt,2852102,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2010,86,,,,150,,"10,36",,"78,4",,"97,9",,,,"107,7",,"3,5",
AO10024itkt,2852094,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49722,gnpis_pui:holding-921_taxon-4898_accession-49722,AO10024,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,,,145,,"10,72",,"82,8",,"99,4",,,,"109,4",,1,
RE09080itkfi,2852075,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48783,gnpis_pui:holding-921_taxon-4898_accession-48783,RE09080,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,148,,"11,9",,"77,3",,"94,3",,1,,"94,1",,1,
HadmF11326itkfi,2852071,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,"1,5",,150,,"11,28",,"79,2",,"104,4",,"1,5",,"104,2",,1,
HadmF11326itkt,2852072,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,,,150,,"10,04",,"81,2",,"100,9",,,,"111,1",,1,
EM08215itkt,2852112,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49231,gnpis_pui:holding-921_taxon-4898_accession-49231,EM08215,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,150,,"10,46",,"81,8",,106,,,,"116,7",,1,
RE09063itkt,2852088,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2010,79,,,,152,,"10,35",,"77,4",,"94,1",,,,"103,6",,"1,5",
RE09063itkfi,2852087,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,153,,"10,78",,"76,9",,"98,2",,1,,"97,9",,"4,5",
HadmF11340itkt,2852082,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49601,gnpis_pui:holding-921_taxon-4898_accession-49601,HadmF11340,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,150,,"10,15",,"81,1",,"98,9",,,,"108,9",,1,
Stru061884itkt,2852104,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48384,gnpis_pui:holding-921_taxon-4898_accession-48384,Stru061884,VIRTUAL_TRIAL,,,,,,,,treated,2010,86,,,,152,,"10,04",,"81,3",,"101,8",,,,112,,1,
HadmF11340itkfi,2852081,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49601,gnpis_pui:holding-921_taxon-4898_accession-49601,HadmF11340,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,1,,150,,"10,82",,"80,8",,"103,7",,1,,"103,4",,1,
RE09080itkt,2852076,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48783,gnpis_pui:holding-921_taxon-4898_accession-48783,RE09080,VIRTUAL_TRIAL,,,,,,,,treated,2010,84,,,,150,,"11,44",,"79,1",,"92,7",,,,102,,1,
RE09079itkfi,2852053,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,150,,"11,34",,"74,2",,"91,9",,1,,"91,6",,"4,5",
RE09079itkt,2852054,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,150,,"10,72",,"76,4",,"93,9",,,,"103,4",,1,
DI10014itkt,2852042,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48493,gnpis_pui:holding-921_taxon-4898_accession-48493,DI10014,VIRTUAL_TRIAL,,,,,,,,treated,2010,88,,,,150,,"10,14",,"79,5",,"100,2",,,,"110,3",,1,
CF09226itkfi,2852115,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48589,gnpis_pui:holding-921_taxon-4898_accession-48589,CF09226,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,"1,5",,144,,"11,45",,"81,6",,"96,2",,1,,96,,"2,5",
CF09206itkt,2852108,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48768,gnpis_pui:holding-921_taxon-4898_accession-48768,CF09206,VIRTUAL_TRIAL,,,,,,,,treated,2010,94,,,,144,,"11,1",,"81,7",,"95,6",,,,"105,3",,1,
DI10014itkfi,2852041,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48493,gnpis_pui:holding-921_taxon-4898_accession-48493,DI10014,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,89,,1,,150,,"10,09",,"77,6",,"97,4",,1,,"97,2",,1,
Premioitkt,2852050,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,,,144,,"10,09",,"81,1",,"101,9",,,,"112,2",,1,
Premioitkfi,2852049,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,"1,5",,144,,"10,32",,"80,6",,"104,2",,1,,104,,"2,5",
