observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2822853,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,49687,gnpis_pui:holding-921_taxon-4898_accession-49687,EM06062,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,83",,"69,4",,"44,81",,5,
2,2822905,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,39",,"86,5",,"77,67",,6,
2,2822859,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,32",,"69,8",,"86,9",,6,
2,2822857,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,24",,"67,5",,"64,45",,"4,5",
1,2822856,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,98",,"68,6",,"68,35",,3,
1,2822858,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,85",,"71,4",,"79,97",,1,
2,2822827,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,47",,74,,"68,94",,7,
2,2822825,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"10,47",,"88,7",,"64,58",,6,
1,2822826,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,18",,"75,5",,"74,89",,"1,5",
1,2822824,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,19",,"73,6",,"59,07",,2,
2,2822911,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,52",,"73,5",,"76,59",,7,
2,2822909,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,31",,"74,5",,"68,65",,6,
1,2822908,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,03",,"73,1",,"61,1",,3,
1,2822910,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,43",,"74,2",,"74,88",,"1,5",
2,2822757,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,99",,"83,7",,"69,73",,"3,5",
2,2822759,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,19",,"72,9",,"78,03",,6,
1,2822758,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,02",,"74,7",,"81,98",,2,
1,2822756,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,86",,"75,6",,"67,53",,1,
1,2822802,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27066,https://doi.org/10.15454/PVLGW3,CF06107,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,01",,"75,1",,"83,52",,1,
2,2822801,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27066,https://doi.org/10.15454/PVLGW3,CF06107,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,51",,"72,4",,"64,29",,"2,5",
2,2822803,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27066,https://doi.org/10.15454/PVLGW3,CF06107,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,64",,"74,3",,"84,72",,"3,5",
1,2822800,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27066,https://doi.org/10.15454/PVLGW3,CF06107,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,33",,"70,2",,"69,89",,1,
1,2822838,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,04",,"68,8",,"78,08",,1,
2,2822839,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,12,,"69,2",,"75,18",,2,
2,2822837,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,47",,"63,7",,"55,45",,2,
1,2822836,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,27",,"66,6",,"62,55",,1,
2,2822919,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,48401,gnpis_pui:holding-921_taxon-4898_accession-48401,CF06153,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,8",,"68,5",,"64,53",,"6,5",
1,2822918,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,48401,gnpis_pui:holding-921_taxon-4898_accession-48401,CF06153,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,39",,"70,1",,"72,56",,1,
1,2822916,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,48401,gnpis_pui:holding-921_taxon-4898_accession-48401,CF06153,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,51",,"69,4",,"56,06",,1,
2,2822917,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,48401,gnpis_pui:holding-921_taxon-4898_accession-48401,CF06153,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,74",,"68,2",,"48,38",,3,
2,2822863,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,9",,"75,9",,"69,48",,7,
1,2822860,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,25",,"74,1",,"48,65",,1,
1,2822862,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,49",,"76,4",,"72,8",,1,
